   GoodVibes v3.0.1 2023/07/27 10:08:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_1000_reactant_1,0.084359,0.111268,0.202041,0.035437,0.035188,0.166604,0.166853,
o  ts_endo_1000_reactant_2,0.046670,0.068237,0.119999,0.030482,0.030337,0.089518,0.089662,
o  ts_endo_1001_reactant_1,0.041825,0.116285,0.165510,0.038188,0.037876,0.127322,0.127634,
o  ts_endo_1001_reactant_2,0.039017,0.069009,0.112735,0.029344,0.029346,0.083390,0.083388,
o  ts_endo_1003_reactant_1,0.085246,0.074405,0.165374,0.034499,0.034504,0.130875,0.130870,
o  ts_endo_1003_reactant_2,0.038915,0.068987,0.112608,0.029331,0.029333,0.083277,0.083275,
o  ts_endo_1004_reactant_1,0.101287,0.073779,0.181004,0.035835,0.035839,0.145169,0.145165,
o  ts_endo_1004_reactant_2,0.038822,0.068942,0.112472,0.029323,0.029325,0.083149,0.083148,
o  ts_endo_1005_reactant_1,0.029197,0.075884,0.110533,0.033335,0.033340,0.077197,0.077193,
o  ts_endo_1005_reactant_2,0.041952,0.068432,0.115267,0.029656,0.029659,0.085611,0.085608,
o  ts_endo_1006_reactant_1,0.098665,0.083331,0.186759,0.031161,0.031162,0.155598,0.155597,
o  ts_endo_1006_reactant_2,0.036617,0.041912,0.082968,0.029907,0.029908,0.053061,0.053060,
o  ts_endo_1007_reactant_1,0.084539,0.111261,0.202207,0.035402,0.035176,0.166805,0.167031,
o  ts_endo_1007_reactant_2,0.035858,0.041940,0.082230,0.029893,0.029894,0.052337,0.052336,
o  ts_endo_1008_reactant_1,0.041319,0.116322,0.165027,0.038186,0.037818,0.126842,0.127209,
