   GoodVibes v3.0.1 2023/07/27 10:10:56
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_exo_1000_reactant_1,0.083524,0.111257,0.201208,0.035537,0.035213,0.165672,0.165995,
o  ts_exo_1000_reactant_2,0.043461,0.068548,0.116831,0.029558,0.029561,0.087273,0.087270,
o  ts_exo_1001_reactant_1,0.042234,0.116280,0.165893,0.038108,0.037833,0.127785,0.128060,
o  ts_exo_1001_reactant_2,0.046095,0.067752,0.118246,0.028877,0.028877,0.089370,0.089369,
o  ts_exo_1002_reactant_1,0.146390,0.083410,0.236021,0.035351,0.035348,0.200670,0.200673,
o  ts_exo_1002_reactant_2,0.038460,0.068703,0.111932,0.029400,0.029402,0.082532,0.082530,
o  ts_exo_1003_reactant_1,0.085207,0.074396,0.165326,0.034503,0.034507,0.130823,0.130819,
o  ts_exo_1003_reactant_2,0.041960,0.068303,0.115165,0.029655,0.029658,0.085510,0.085507,
o  ts_exo_1004_reactant_1,0.101439,0.073770,0.181156,0.035860,0.035863,0.145296,0.145293,
o  ts_exo_1004_reactant_2,0.038683,0.068867,0.112274,0.029347,0.029349,0.082928,0.082926,
o  ts_exo_1005_reactant_1,0.029245,0.075876,0.110572,0.033338,0.033342,0.077235,0.077231,
o  ts_exo_1005_reactant_2,0.042720,0.068351,0.115970,0.029697,0.029700,0.086273,0.086270,
o  ts_exo_1006_reactant_1,0.098428,0.083334,0.186522,0.031156,0.031157,0.155366,0.155365,
o  ts_exo_1006_reactant_2,0.035698,0.041889,0.082028,0.029914,0.029915,0.052114,0.052113,
o  ts_exo_1007_reactant_1,0.084010,0.111279,0.201680,0.035318,0.035144,0.166362,0.166536,
o  ts_exo_1007_reactant_2,0.035636,0.041926,0.081994,0.029895,0.029897,0.052098,0.052097,
o  ts_exo_1008_reactant_1,0.040946,0.116636,0.164838,0.037621,0.037416,0.127217,0.127421,
o  ts_exo_1008_reactant_2,0.034019,0.041968,0.080422,0.029900,0.029901,0.050522,0.050521,
o  ts_exo_1009_reactant_1,0.149361,0.083307,0.238913,0.035422,0.035415,0.203491,0.203498,
o  ts_exo_1009_reactant_2,0.035361,0.041945,0.081730,0.029883,0.029884,0.051848,0.051847,
o  ts_exo_1010_reactant_1,0.085809,0.074376,0.165915,0.034520,0.034524,0.131395,0.131391,
o  ts_exo_1010_reactant_2,0.034637,0.041960,0.081026,0.029889,0.029890,0.051137,0.051136,
o  ts_exo_1011_reactant_1,0.103306,0.073723,0.182981,0.035874,0.035876,0.147107,0.147104,
o  ts_exo_1011_reactant_2,0.035012,0.041961,0.081398,0.029881,0.029882,0.051517,0.051516,
o  ts_exo_1012_reactant_1,0.029022,0.075858,0.110340,0.033353,0.033357,0.076987,0.076982,
o  ts_exo_1012_reactant_2,0.034206,0.041964,0.080603,0.029895,0.029896,0.050708,0.050707,
o  ts_exo_1013_reactant_1,0.097331,0.083348,0.185437,0.031154,0.031155,0.154284,0.154282,
o  ts_exo_1013_reactant_2,0.084647,0.135914,0.227778,0.037390,0.037395,0.190388,0.190384,
o  ts_exo_1015_reactant_1,0.037575,0.116745,0.161515,0.037407,0.037277,0.124108,0.124239,
o  ts_exo_1015_reactant_2,0.083525,0.135976,0.226732,0.037430,0.037433,0.189302,0.189299,
o  ts_exo_1016_reactant_1,0.147747,0.083356,0.237331,0.035374,0.035370,0.201956,0.201961,
o  ts_exo_1016_reactant_2,0.085343,0.135936,0.228479,0.037357,0.037362,0.191122,0.191117,
o  ts_exo_1017_reactant_1,0.084044,0.074418,0.164179,0.034489,0.034493,0.129690,0.129686,
