   GoodVibes v3.0.1 2023/07/27 10:12:58
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_1477_reactant_1,0.074516,0.085757,0.165710,0.031863,0.031862,0.133848,0.133848,
o  ts_1477_reactant_2,0.109397,0.025555,0.138953,0.024748,0.024748,0.114205,0.114205,
o  ts_1478_reactant_1,0.073647,0.085806,0.164887,0.031861,0.031860,0.133026,0.133027,
o  ts_1478_reactant_2,0.096302,0.056106,0.157013,0.028759,0.028760,0.128254,0.128252,
o  ts_1479_reactant_1,0.070348,0.085853,0.161645,0.031889,0.031887,0.129755,0.129757,
o  ts_1479_reactant_2,0.066800,0.061375,0.133724,0.032238,0.032184,0.101486,0.101540,
o  ts_1480_reactant_1,0.070651,0.085893,0.161976,0.031863,0.031862,0.130112,0.130114,
o  ts_1480_reactant_2,0.113635,0.044816,0.163120,0.028601,0.028603,0.134519,0.134517,
o  ts_1481_reactant_1,0.071837,0.085866,0.163132,0.031854,0.031853,0.131278,0.131279,
o  ts_1481_reactant_2,0.107389,0.018872,0.130529,0.028746,0.028747,0.101783,0.101782,
o  ts_1482_reactant_1,0.072400,0.085819,0.163650,0.031854,0.031854,0.131795,0.131796,
o  ts_1482_reactant_2,0.147256,0.112902,0.267024,0.036741,0.036747,0.230282,0.230277,
o  ts_1483_reactant_1,0.058534,0.113996,0.179586,0.036293,0.036021,0.143293,0.143565,
o  ts_1483_reactant_2,0.109948,0.025542,0.139490,0.024760,0.024760,0.114730,0.114730,
o  ts_1484_reactant_1,0.055655,0.114099,0.176805,0.036315,0.036013,0.140490,0.140792,
o  ts_1484_reactant_2,0.097511,0.056069,0.158175,0.028731,0.028733,0.129444,0.129442,
o  ts_1485_reactant_1,0.053109,0.114173,0.174306,0.036115,0.035971,0.138191,0.138335,
o  ts_1485_reactant_2,0.068766,0.061333,0.135656,0.032262,0.032201,0.103393,0.103455,
o  ts_1487_reactant_1,0.054431,0.114118,0.175626,0.036451,0.036068,0.139174,0.139558,
o  ts_1487_reactant_2,0.108422,0.018834,0.131523,0.028705,0.028706,0.102818,0.102817,
