   GoodVibes v3.0.1 2023/07/27 21:06:35
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dist_endo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_1000_reactant_1,-249.457981,0.107353,-249.343932,0.035838,0.035633,-249.379770,-249.379565,
o  ts_endo_1000_reactant_2,-133.921744,0.065745,-133.851490,0.029055,0.029056,-133.880545,-133.880546,
o  ts_endo_1001_reactant_1,-324.669454,0.112156,-324.549689,0.038735,0.038009,-324.588424,-324.587698,
o  ts_endo_1001_reactant_2,-133.925101,0.065889,-133.853956,0.030747,0.030561,-133.884703,-133.884518,
o  ts_endo_1002_reactant_1,-302.374557,0.079002,-302.288969,0.036047,0.036000,-302.325016,-302.324969,
o  ts_endo_1002_reactant_2,-133.934255,0.066798,-133.862602,0.029497,0.029499,-133.892099,-133.892101,
o  ts_endo_1003_reactant_1,-669.745310,0.071159,-669.668071,0.035161,0.035149,-669.703232,-669.703220,
o  ts_endo_1003_reactant_2,-133.928105,0.065984,-133.856841,0.030849,0.030595,-133.887690,-133.887436,
o  ts_endo_1004_reactant_1,-2783.749178,0.070623,-2783.672242,0.036658,0.036585,-2783.708900,-2783.708827,
o  ts_endo_1004_reactant_2,-133.928218,0.066009,-133.856949,0.030730,0.030556,-133.887679,-133.887505,
