   GoodVibes v3.0.1 2023/07/27 21:09:06
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_exo_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_exo_1000_reactant_1,-249.457399,0.107414,-249.343372,0.035500,0.035453,-249.378873,-249.378826,
o  ts_exo_1000_reactant_2,-133.925158,0.065794,-133.854029,0.031215,0.030712,-133.885244,-133.884741,
o  ts_exo_1001_reactant_1,-324.668530,0.112191,-324.548756,0.038607,0.037945,-324.587363,-324.586700,
o  ts_exo_1001_reactant_2,-133.924103,0.065587,-133.854004,0.029028,0.029029,-133.883032,-133.883033,
o  ts_exo_1002_reactant_1,-302.374815,0.079091,-302.289094,0.036264,0.036141,-302.325358,-302.325235,
o  ts_exo_1002_reactant_2,-133.928042,0.065718,-133.856938,0.031351,0.030790,-133.888289,-133.887728,
o  ts_exo_1003_reactant_1,-669.743523,0.071115,-669.666342,0.035159,0.035142,-669.701501,-669.701484,
o  ts_exo_1003_reactant_2,-133.927932,0.065725,-133.857689,0.029026,0.029027,-133.886715,-133.886716,
o  ts_exo_1004_reactant_1,-2783.747184,0.070569,-2783.670311,0.036678,0.036582,-2783.706989,-2783.706894,
o  ts_exo_1004_reactant_2,-133.928052,0.065727,-133.857806,0.029027,0.029028,-133.886833,-133.886834,
o  ts_exo_1005_reactant_1,-309.386662,0.072468,-309.308491,0.033668,0.033672,-309.342159,-309.342163,
o  ts_exo_1005_reactant_2,-133.928054,0.065748,-133.857797,0.029019,0.029020,-133.886816,-133.886817,
o  ts_exo_1006_reactant_1,-210.138766,0.080461,-210.053417,0.031251,0.031252,-210.084668,-210.084669,
o  ts_exo_1006_reactant_2,-538.174631,0.040529,-538.129528,0.030127,0.030128,-538.159655,-538.159657,
o  ts_exo_1007_reactant_1,-249.460058,0.107450,-249.345949,0.035654,0.035559,-249.381603,-249.381508,
o  ts_exo_1007_reactant_2,-538.172994,0.040495,-538.127930,0.030118,0.030120,-538.158048,-538.158050,
o  ts_exo_1008_reactant_1,-324.666694,0.112102,-324.546960,0.038318,0.038015,-324.585278,-324.584975,
o  ts_exo_1008_reactant_2,-538.174402,0.040520,-538.129313,0.030119,0.030120,-538.159432,-538.159434,
o  ts_exo_1009_reactant_1,-302.378123,0.079163,-302.292281,0.036406,0.036245,-302.328687,-302.328526,
o  ts_exo_1009_reactant_2,-538.174675,0.040572,-538.129549,0.030087,0.030089,-538.159636,-538.159637,
o  ts_exo_1010_reactant_1,-669.746176,0.071178,-669.668923,0.035164,0.035147,-669.704088,-669.704071,
o  ts_exo_1010_reactant_2,-538.176072,0.040620,-538.130894,0.030091,0.030092,-538.160986,-538.160987,
o  ts_exo_1011_reactant_1,-2783.749959,0.070642,-2783.673014,0.036648,0.036565,-2783.709662,-2783.709579,
o  ts_exo_1011_reactant_2,-538.175921,0.040620,-538.130745,0.030090,0.030091,-538.160835,-538.160836,
o  ts_exo_1012_reactant_1,-309.388896,0.072546,-309.310620,0.033720,0.033724,-309.344340,-309.344344,
o  ts_exo_1012_reactant_2,-538.177514,0.040652,-538.132301,0.030100,0.030101,-538.162401,-538.162403,
o  ts_exo_1013_reactant_1,-210.136684,0.080332,-210.051459,0.031260,0.031261,-210.082719,-210.082720,
o  ts_exo_1013_reactant_2,-309.621154,0.130167,-309.483466,0.037892,0.037896,-309.521357,-309.521361,
o  ts_exo_1016_reactant_1,-302.376537,0.079095,-302.290799,0.036267,0.036159,-302.327065,-302.326958,
o  ts_exo_1016_reactant_2,-309.620659,0.130289,-309.482860,0.037868,0.037871,-309.520727,-309.520730,
o  ts_exo_1017_reactant_1,-669.745479,0.071097,-669.668325,0.035109,0.035099,-669.703434,-669.703423,
o  ts_exo_1017_reactant_2,-309.622075,0.130256,-309.484297,0.037896,0.037899,-309.522193,-309.522196,
o  ts_exo_1018_reactant_1,-2783.749139,0.070551,-2783.672306,0.036559,0.036506,-2783.708866,-2783.708812,
o  ts_exo_1018_reactant_2,-309.621825,0.130220,-309.484077,0.037908,0.037910,-309.521985,-309.521988,
o  ts_exo_1019_reactant_1,-309.388046,0.072491,-309.309835,0.033696,0.033700,-309.343531,-309.343535,
o  ts_exo_1019_reactant_2,-309.623915,0.130306,-309.486083,0.037910,0.037913,-309.523994,-309.523997,
o  ts_exo_1020_reactant_1,-195.279475,0.110016,-195.162879,0.035058,0.035047,-195.197936,-195.197926,
o  ts_exo_1020_reactant_2,-117.893468,0.077175,-117.811132,0.030353,0.030347,-117.841485,-117.841479,
o  ts_exo_1021_reactant_1,-195.275252,0.109689,-195.158878,0.035511,0.035325,-195.194389,-195.194203,
o  ts_exo_1021_reactant_2,-133.938996,0.066509,-133.867416,0.029851,0.029854,-133.897267,-133.897270,
o  ts_exo_1022_reactant_1,-195.280189,0.109986,-195.163596,0.035144,0.035122,-195.198740,-195.198718,
o  ts_exo_1022_reactant_2,-538.184457,0.040972,-538.138945,0.030047,0.030048,-538.168992,-538.168993,
o  ts_exo_1023_reactant_1,-195.279664,0.109981,-195.163068,0.035182,0.035150,-195.198250,-195.198217,
o  ts_exo_1023_reactant_2,-309.630721,0.130617,-309.492576,0.037934,0.037935,-309.530511,-309.530511,
o  ts_exo_1024_reactant_1,-270.493485,0.114874,-270.371020,0.037994,0.037895,-270.409014,-270.408915,
o  ts_exo_1024_reactant_2,-117.892762,0.077161,-117.810443,0.030340,0.030335,-117.840783,-117.840778,
o  ts_exo_1025_reactant_1,-270.491609,0.114807,-270.369253,0.037865,0.037789,-270.407118,-270.407042,
o  ts_exo_1025_reactant_2,-193.106465,0.082089,-193.018312,0.033162,0.033144,-193.051474,-193.051455,
o  ts_exo_1026_reactant_1,-270.488440,0.114675,-270.366257,0.037726,0.037675,-270.403982,-270.403932,
o  ts_exo_1026_reactant_2,-133.937827,0.066486,-133.866277,0.029859,0.029862,-133.896136,-133.896139,
o  ts_exo_1027_reactant_1,-270.494035,0.114861,-270.371581,0.038000,0.037898,-270.409581,-270.409479,
o  ts_exo_1027_reactant_2,-538.183486,0.040926,-538.138014,0.030058,0.030060,-538.168073,-538.168074,
o  ts_exo_1028_reactant_1,-270.493013,0.114844,-270.370595,0.037938,0.037850,-270.408533,-270.408445,
o  ts_exo_1028_reactant_2,-309.630216,0.130597,-309.492088,0.037938,0.037940,-309.530027,-309.530028,
o  ts_exo_1029_reactant_1,-248.201793,0.081816,-248.113286,0.036142,0.035958,-248.149428,-248.149243,
o  ts_exo_1029_reactant_2,-117.893809,0.077186,-117.811449,0.030389,0.030380,-117.841838,-117.841829,
o  ts_exo_1030_reactant_1,-248.200564,0.081708,-248.112158,0.036168,0.035974,-248.148325,-248.148132,
o  ts_exo_1030_reactant_2,-193.107216,0.082106,-193.019036,0.033194,0.033172,-193.052231,-193.052209,
o  ts_exo_1031_reactant_1,-248.197382,0.081586,-248.109104,0.036139,0.035959,-248.145243,-248.145063,
o  ts_exo_1031_reactant_2,-133.938486,0.066432,-133.866956,0.029897,0.029900,-133.896853,-133.896856,
o  ts_exo_1032_reactant_1,-248.201923,0.081740,-248.113472,0.036199,0.035996,-248.149671,-248.149469,
o  ts_exo_1032_reactant_2,-538.184599,0.040981,-538.139081,0.030043,0.030045,-538.169124,-538.169126,
o  ts_exo_1033_reactant_1,-248.201403,0.081785,-248.112921,0.036169,0.035970,-248.149090,-248.148891,
o  ts_exo_1033_reactant_2,-309.630974,0.130627,-309.492823,0.037924,0.037925,-309.530747,-309.530748,
o  ts_exo_1034_reactant_1,-615.567093,0.073670,-615.487390,0.034768,0.034769,-615.522158,-615.522159,
o  ts_exo_1034_reactant_2,-133.940201,0.066460,-133.868612,0.029955,0.029958,-133.898567,-133.898570,
o  ts_exo_1035_reactant_1,-615.571256,0.073936,-615.491286,0.034788,0.034786,-615.526074,-615.526072,
o  ts_exo_1035_reactant_2,-538.185429,0.041002,-538.139891,0.030042,0.030043,-538.169932,-538.169933,
o  ts_exo_1036_reactant_1,-615.570818,0.073905,-615.490877,0.034790,0.034788,-615.525666,-615.525665,
o  ts_exo_1036_reactant_2,-309.631705,0.130646,-309.493529,0.037944,0.037944,-309.531472,-309.531473,
o  ts_exo_1037_reactant_1,-2729.574571,0.073365,-2729.494963,0.036232,0.036205,-2729.531195,-2729.531168,
o  ts_exo_1037_reactant_2,-117.894437,0.077198,-117.812068,0.030379,0.030370,-117.842447,-117.842439,
o  ts_exo_1038_reactant_1,-2729.573607,0.073231,-2729.494132,0.036217,0.036195,-2729.530349,-2729.530328,
o  ts_exo_1038_reactant_2,-193.108555,0.082172,-193.020316,0.033179,0.033157,-193.053495,-193.053473,
o  ts_exo_1039_reactant_1,-2729.571087,0.073085,-2729.491760,0.036196,0.036180,-2729.527956,-2729.527940,
o  ts_exo_1039_reactant_2,-133.940206,0.066455,-133.868613,0.029968,0.029972,-133.898582,-133.898585,
o  ts_exo_1040_reactant_1,-2729.575025,0.073334,-2729.495446,0.036233,0.036207,-2729.531679,-2729.531653,
o  ts_exo_1040_reactant_2,-538.185407,0.041003,-538.139868,0.030041,0.030042,-538.169909,-538.169910,
o  ts_exo_1041_reactant_1,-2729.574616,0.073334,-2729.495040,0.036221,0.036197,-2729.531261,-2729.531237,
o  ts_exo_1041_reactant_2,-309.631654,0.130648,-309.493476,0.037944,0.037944,-309.531420,-309.531420,
o  ts_exo_1042_reactant_1,-255.213228,0.075354,-255.132171,0.033388,0.033393,-255.165558,-255.165564,
o  ts_exo_1042_reactant_2,-117.894853,0.077200,-117.812481,0.030387,0.030378,-117.842868,-117.842858,
o  ts_exo_1043_reactant_1,-255.212312,0.075190,-255.131419,0.033382,0.033388,-255.164802,-255.164808,
o  ts_exo_1043_reactant_2,-193.109236,0.082213,-193.020963,0.033160,0.033140,-193.054124,-193.054104,
o  ts_exo_1044_reactant_1,-255.209829,0.074970,-255.129159,0.033374,0.033380,-255.162533,-255.162539,
o  ts_exo_1044_reactant_2,-133.940602,0.066355,-133.869034,0.030135,0.030139,-133.899169,-133.899173,
o  ts_exo_1045_reactant_1,-255.213648,0.075321,-255.132619,0.033396,0.033402,-255.166015,-255.166021,
o  ts_exo_1045_reactant_2,-538.185870,0.041016,-538.140321,0.030035,0.030036,-538.170356,-538.170357,
o  ts_exo_1046_reactant_1,-255.213405,0.075281,-255.132420,0.033385,0.033390,-255.165804,-255.165810,
o  ts_exo_1046_reactant_2,-309.631953,0.130660,-309.493764,0.037945,0.037945,-309.531709,-309.531709,
o  ts_exo_1047_reactant_1,-233.396519,0.117564,-233.272113,0.036004,0.035888,-233.308117,-233.308000,
o  ts_exo_1047_reactant_2,-117.893572,0.077215,-117.811236,0.030219,0.030221,-117.841455,-117.841457,
o  ts_exo_1048_reactant_1,-308.611690,0.122847,-308.481211,0.038204,0.037931,-308.519415,-308.519141,
o  ts_exo_1048_reactant_2,-117.892522,0.077193,-117.810208,0.030218,0.030220,-117.840426,-117.840428,
o  ts_exo_1049_reactant_1,-286.320108,0.089556,-286.223698,0.036718,0.036550,-286.260415,-286.260248,
o  ts_exo_1049_reactant_2,-117.893699,0.077218,-117.811344,0.030261,0.030261,-117.841605,-117.841605,
o  ts_exo_1050_reactant_1,-653.687100,0.081577,-653.599282,0.035427,0.035422,-653.634709,-653.634704,
o  ts_exo_1050_reactant_2,-117.894827,0.077254,-117.812449,0.030225,0.030226,-117.842674,-117.842675,
o  ts_exo_1051_reactant_1,-2767.691103,0.081044,-2767.603590,0.036882,0.036844,-2767.640473,-2767.640434,
o  ts_exo_1051_reactant_2,-117.894843,0.077256,-117.812462,0.030228,0.030229,-117.842690,-117.842691,
o  ts_exo_1052_reactant_1,-293.328867,0.082914,-293.240069,0.033989,0.033994,-293.274058,-293.274063,
o  ts_exo_1052_reactant_2,-117.895258,0.077269,-117.812872,0.030208,0.030210,-117.843080,-117.843082,
o  ts_exo_1053_reactant_1,-233.395387,0.117453,-233.271073,0.036067,0.035924,-233.307141,-233.306997,
o  ts_exo_1053_reactant_2,-193.106962,0.082101,-193.018832,0.033048,0.033041,-193.051880,-193.051873,
o  ts_exo_1054_reactant_1,-308.612688,0.122852,-308.482201,0.038205,0.037935,-308.520406,-308.520136,
o  ts_exo_1054_reactant_2,-193.100357,0.081829,-193.012544,0.033086,0.033077,-193.045629,-193.045621,
o  ts_exo_1055_reactant_1,-286.320282,0.089524,-286.223896,0.036749,0.036566,-286.260645,-286.260462,
o  ts_exo_1055_reactant_2,-193.102283,0.081871,-193.014413,0.033119,0.033109,-193.047532,-193.047522,
o  ts_exo_1056_reactant_1,-653.686042,0.081483,-653.598311,0.035437,0.035432,-653.633748,-653.633744,
o  ts_exo_1056_reactant_2,-193.108408,0.082147,-193.020222,0.033082,0.033072,-193.053304,-193.053294,
o  ts_exo_1057_reactant_1,-2767.690181,0.080956,-2767.602749,0.036895,0.036856,-2767.639644,-2767.639605,
o  ts_exo_1057_reactant_2,-193.108400,0.082145,-193.020213,0.033094,0.033082,-193.053306,-193.053295,
o  ts_exo_1058_reactant_1,-293.327661,0.082785,-293.238987,0.033995,0.033999,-293.272981,-293.272986,
o  ts_exo_1058_reactant_2,-193.109089,0.082207,-193.020855,0.033051,0.033043,-193.053907,-193.053898,
o  ts_exo_1059_reactant_1,-233.393952,0.117444,-233.269658,0.036041,0.035907,-233.305699,-233.305565,
o  ts_exo_1059_reactant_2,-133.939959,0.066951,-133.868146,0.029522,0.029524,-133.897668,-133.897670,
o  ts_exo_1060_reactant_1,-308.608138,0.122690,-308.477813,0.038224,0.037931,-308.516037,-308.515744,
o  ts_exo_1060_reactant_2,-133.939031,0.066921,-133.867251,0.029519,0.029521,-133.896770,-133.896772,
o  ts_exo_1061_reactant_1,-286.318441,0.089436,-286.222127,0.036815,0.036597,-286.258942,-286.258724,
o  ts_exo_1061_reactant_2,-133.935908,0.066394,-133.864388,0.030094,0.030095,-133.894482,-133.894484,
o  ts_exo_1062_reactant_1,-653.684577,0.081468,-653.596865,0.035433,0.035428,-653.632298,-653.632293,
o  ts_exo_1062_reactant_2,-133.941482,0.066957,-133.869648,0.029539,0.029541,-133.899187,-133.899189,
o  ts_exo_1063_reactant_1,-2767.688681,0.080943,-2767.601264,0.036896,0.036855,-2767.638160,-2767.638119,
o  ts_exo_1063_reactant_2,-133.941474,0.066954,-133.869641,0.029541,0.029543,-133.899183,-133.899185,
o  ts_exo_1064_reactant_1,-293.326412,0.082763,-293.237766,0.033985,0.033990,-293.271751,-293.271756,
o  ts_exo_1064_reactant_2,-133.942137,0.066985,-133.870275,0.029534,0.029536,-133.899809,-133.899811,
o  ts_exo_1065_reactant_1,-233.397532,0.117550,-233.273119,0.036082,0.035931,-233.309201,-233.309050,
o  ts_exo_1065_reactant_2,-538.184136,0.040954,-538.138632,0.030073,0.030075,-538.168705,-538.168706,
o  ts_exo_1066_reactant_1,-308.612855,0.122844,-308.482370,0.038213,0.037949,-308.520583,-308.520319,
o  ts_exo_1066_reactant_2,-538.182907,0.040905,-538.137447,0.030085,0.030087,-538.167532,-538.167533,
o  ts_exo_1067_reactant_1,-286.320728,0.089526,-286.224332,0.036777,0.036583,-286.261109,-286.260915,
o  ts_exo_1067_reactant_2,-538.184200,0.040956,-538.138696,0.030068,0.030069,-538.168765,-538.168766,
o  ts_exo_1068_reactant_1,-653.687843,0.081569,-653.600028,0.035439,0.035433,-653.635467,-653.635461,
o  ts_exo_1068_reactant_2,-538.185420,0.041001,-538.139872,0.030065,0.030067,-538.169938,-538.169939,
o  ts_exo_1069_reactant_1,-2767.691839,0.081032,-2767.604334,0.036895,0.036854,-2767.641229,-2767.641187,
o  ts_exo_1069_reactant_2,-538.185413,0.041002,-538.139865,0.030065,0.030066,-538.169930,-538.169931,
o  ts_exo_1070_reactant_1,-293.329673,0.082911,-293.240872,0.034000,0.034005,-293.274872,-293.274877,
o  ts_exo_1070_reactant_2,-538.185864,0.041021,-538.140299,0.030060,0.030061,-538.170359,-538.170360,
o  ts_exo_1071_reactant_1,-233.396759,0.117536,-233.272367,0.036044,0.035914,-233.308412,-233.308281,
o  ts_exo_1071_reactant_2,-309.630544,0.130603,-309.492376,0.038036,0.038034,-309.530412,-309.530410,
o  ts_exo_1072_reactant_1,-308.610728,0.122768,-308.480317,0.038230,0.037944,-308.518547,-308.518262,
o  ts_exo_1072_reactant_2,-309.629529,0.130566,-309.491406,0.038010,0.038009,-309.529416,-309.529416,
o  ts_exo_1073_reactant_1,-286.319768,0.089501,-286.223392,0.036795,0.036593,-286.260187,-286.259985,
o  ts_exo_1073_reactant_2,-309.630299,0.130616,-309.492126,0.038011,0.038010,-309.530138,-309.530137,
o  ts_exo_1074_reactant_1,-653.687358,0.081559,-653.599552,0.035437,0.035432,-653.634989,-653.634984,
o  ts_exo_1074_reactant_2,-309.631770,0.130605,-309.493591,0.038061,0.038058,-309.531651,-309.531649,
o  ts_exo_1075_reactant_1,-2767.691423,0.081030,-2767.603918,0.036896,0.036856,-2767.640814,-2767.640774,
o  ts_exo_1075_reactant_2,-309.631770,0.130620,-309.493577,0.038057,0.038055,-309.531634,-309.531631,
o  ts_exo_1076_reactant_1,-293.329186,0.082882,-293.240417,0.033993,0.033998,-293.274410,-293.274415,
o  ts_exo_1076_reactant_2,-309.632171,0.130569,-309.494021,0.038075,0.038072,-309.532096,-309.532094,
o  ts_exo_1077_reactant_1,-269.321230,0.094984,-269.219768,0.035385,0.035268,-269.255153,-269.255037,
o  ts_exo_1077_reactant_2,-117.889541,0.076985,-117.807382,0.030391,0.030383,-117.837772,-117.837765,
o  ts_exo_1078_reactant_1,-344.531747,0.099908,-344.424451,0.038192,0.037610,-344.462642,-344.462061,
o  ts_exo_1078_reactant_2,-117.889265,0.076994,-117.807107,0.030356,0.030351,-117.837463,-117.837458,
o  ts_exo_1079_reactant_1,-322.233963,0.066673,-322.160809,0.036014,0.035906,-322.196823,-322.196715,
o  ts_exo_1079_reactant_2,-117.889766,0.076986,-117.807587,0.030448,0.030435,-117.838035,-117.838022,
o  ts_exo_1080_reactant_1,-689.604657,0.058746,-689.540051,0.034772,0.034767,-689.574823,-689.574818,
o  ts_exo_1080_reactant_2,-117.891601,0.077050,-117.809372,0.030404,0.030395,-117.839776,-117.839767,
o  ts_exo_1081_reactant_1,-2803.607976,0.058177,-2803.543703,0.036245,0.036204,-2803.579949,-2803.579908,
o  ts_exo_1081_reactant_2,-117.891519,0.077047,-117.809291,0.030410,0.030400,-117.839701,-117.839692,
o  ts_exo_1082_reactant_1,-329.249998,0.060219,-329.184289,0.033309,0.033313,-329.217598,-329.217602,
o  ts_exo_1082_reactant_2,-117.892379,0.077072,-117.810134,0.030390,0.030382,-117.840524,-117.840516,
o  ts_exo_1083_reactant_1,-269.321573,0.095001,-269.220087,0.035417,0.035286,-269.255505,-269.255373,
o  ts_exo_1083_reactant_2,-193.096597,0.081684,-193.008935,0.033060,0.033055,-193.041995,-193.041990,
o  ts_exo_1084_reactant_1,-344.531931,0.099832,-344.424624,0.038129,0.037824,-344.462753,-344.462448,
o  ts_exo_1084_reactant_2,-193.096852,0.081701,-193.009175,0.033050,0.033046,-193.042225,-193.042220,
o  ts_exo_1085_reactant_1,-322.233899,0.066672,-322.160738,0.036047,0.035925,-322.196785,-322.196664,
o  ts_exo_1085_reactant_2,-193.097141,0.081689,-193.009460,0.033098,0.033092,-193.042558,-193.042552,
o  ts_exo_1086_reactant_1,-689.604671,0.058755,-689.540054,0.034784,0.034778,-689.574837,-689.574831,
o  ts_exo_1086_reactant_2,-193.099039,0.081757,-193.011285,0.033122,0.033112,-193.044407,-193.044397,
o  ts_exo_1087_reactant_1,-2803.607973,0.058184,-2803.543689,0.036262,0.036217,-2803.579951,-2803.579906,
o  ts_exo_1087_reactant_2,-193.098934,0.081753,-193.011184,0.033121,0.033111,-193.044304,-193.044295,
o  ts_exo_1088_reactant_1,-329.250215,0.060241,-329.184482,0.033314,0.033318,-329.217796,-329.217800,
o  ts_exo_1088_reactant_2,-193.099913,0.081791,-193.012124,0.033129,0.033117,-193.045253,-193.045242,
o  ts_exo_1089_reactant_1,-269.319766,0.094913,-269.218374,0.035372,0.035267,-269.253746,-269.253641,
o  ts_exo_1089_reactant_2,-133.927198,0.065858,-133.856833,0.029040,0.029041,-133.885873,-133.885874,
o  ts_exo_1090_reactant_1,-344.529799,0.099803,-344.422596,0.038232,0.037630,-344.460828,-344.460227,
o  ts_exo_1090_reactant_2,-133.927990,0.065981,-133.856684,0.031154,0.030704,-133.887838,-133.887389,
o  ts_exo_1091_reactant_1,-322.229829,0.066520,-322.156805,0.036089,0.035953,-322.192894,-322.192758,
o  ts_exo_1091_reactant_2,-133.932296,0.066263,-133.860957,0.029944,0.029947,-133.890901,-133.890905,
o  ts_exo_1092_reactant_1,-689.600370,0.058573,-689.535919,0.034812,0.034805,-689.570731,-689.570725,
