   GoodVibes v3.0.1 2023/07/27 15:49:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dist_non_dist_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_1477_reactant_1,-155.964188,0.082949,-155.876314,0.030855,0.030857,-155.907170,-155.907171,
o  ts_1477_reactant_2,-77.310960,0.023693,-77.283008,0.025163,0.025164,-77.308171,-77.308172,
o  ts_1478_reactant_1,-155.963372,0.083002,-155.875458,0.030830,0.030831,-155.906288,-155.906289,
o  ts_1478_reactant_2,-116.633396,0.053641,-116.574778,0.029347,0.029350,-116.604125,-116.604128,
o  ts_1479_reactant_1,-155.965989,0.083099,-155.877979,0.030829,0.030831,-155.908808,-155.908810,
o  ts_1479_reactant_2,-191.829599,0.058678,-191.765106,0.032430,0.032434,-191.797536,-191.797540,
o  ts_1480_reactant_1,-155.965013,0.082987,-155.877105,0.030845,0.030847,-155.907949,-155.907951,
o  ts_1480_reactant_2,-132.668298,0.041794,-132.621778,0.028687,0.028689,-132.650465,-132.650467,
o  ts_1481_reactant_1,-155.966632,0.083145,-155.878580,0.030822,0.030824,-155.909402,-155.909404,
o  ts_1481_reactant_2,-536.906941,0.017208,-536.885157,0.029288,0.029289,-536.914444,-536.914446,
o  ts_1482_reactant_1,-155.964313,0.082896,-155.876481,0.030874,0.030876,-155.907355,-155.907356,
o  ts_1482_reactant_2,-308.368944,0.106985,-308.254624,0.037469,0.037473,-308.292093,-308.292097,
o  ts_1483_reactant_1,-195.284674,0.110172,-195.167938,0.035015,0.035009,-195.202954,-195.202947,
o  ts_1483_reactant_2,-77.310537,0.023670,-77.282611,0.025170,0.025171,-77.307781,-77.307782,
o  ts_1484_reactant_1,-195.284623,0.110218,-195.167864,0.034946,0.034943,-195.202810,-195.202807,
o  ts_1484_reactant_2,-116.631297,0.053523,-116.572784,0.029365,0.029368,-116.602149,-116.602152,
o  ts_1485_reactant_1,-195.287315,0.110314,-195.170475,0.034901,0.034901,-195.205376,-195.205377,
o  ts_1485_reactant_2,-191.827590,0.058568,-191.763169,0.032501,0.032505,-191.795670,-191.795674,
o  ts_1486_reactant_1,-195.286539,0.110420,-195.169629,0.034826,0.034827,-195.204455,-195.204456,
