   GoodVibes v3.0.1 2023/07/31 16:45:18
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  gs_di_1000,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1001,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1002,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1003,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1004,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1005,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1006,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1007,0.050190,0.112042,0.168864,0.035935,0.035522,0.132929,0.133342,
o  gs_di_1008,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1009,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1010,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1011,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1012,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1013,0.063409,0.084160,0.152519,0.031438,0.031440,0.121081,0.121079,
o  gs_di_1015,0.007211,0.117087,0.131930,0.038970,0.038296,0.092960,0.093635,
o  gs_di_1016,0.113686,0.084197,0.204278,0.035624,0.035622,0.168654,0.168656,
o  gs_di_1017,0.051106,0.075202,0.132205,0.034742,0.034748,0.097463,0.097457,
o  gs_di_1018,0.067848,0.074572,0.148530,0.036081,0.036087,0.112449,0.112443,
o  gs_di_1019,-0.004761,0.076646,0.077532,0.033624,0.033629,0.043908,0.043903,
o  gs_di_1020,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1021,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1022,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1023,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1024,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1025,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1026,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1027,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1028,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1029,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1030,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1031,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1032,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1033,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1034,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1035,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1036,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1037,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1038,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1039,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1040,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1041,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1042,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1043,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1044,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1045,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1046,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1047,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1048,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1049,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1050,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1051,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1052,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1053,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1054,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1055,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1056,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1057,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1058,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1059,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1060,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1061,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1062,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1063,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1064,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1065,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1066,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1067,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1068,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1069,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1070,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1071,0.044928,0.123083,0.174771,0.036625,0.035914,0.138146,0.138857,
o  gs_di_1072,-0.004683,0.128704,0.131578,0.038290,0.038074,0.093289,0.093505,
o  gs_di_1073,0.105958,0.095361,0.207789,0.035829,0.035822,0.171960,0.171967,
o  gs_di_1074,0.045235,0.086406,0.137599,0.034927,0.034932,0.102672,0.102667,
o  gs_di_1075,0.063140,0.085713,0.155032,0.036282,0.036286,0.118749,0.118746,
o  gs_di_1076,-0.016344,0.088136,0.077433,0.033690,0.033695,0.043743,0.043738,
o  gs_di_1077,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1078,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1079,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1080,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1081,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1082,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1083,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1084,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1085,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1086,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1087,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1088,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1089,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1090,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1091,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1092,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1093,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1094,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1095,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
o  gs_di_1096,-0.053387,0.104822,0.058867,0.038759,0.038016,0.020108,0.020851,
o  gs_di_1097,0.062558,0.071898,0.140584,0.035235,0.035232,0.105349,0.105352,
o  gs_di_1098,0.001427,0.062819,0.069880,0.034358,0.034363,0.035522,0.035517,
o  gs_di_1099,0.020123,0.062153,0.088130,0.035718,0.035723,0.052412,0.052407,
o  gs_di_1100,-0.068863,0.064416,0.000918,0.033185,0.033189,-0.032267,-0.032271,
o  gs_di_1101,-0.006685,0.099517,0.099276,0.036313,0.035454,0.062963,0.063821,
