   GoodVibes v3.0.1 2023/07/27 11:50:08
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  gs_di_1477,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1478,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1479,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1480,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1481,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1482,0.047563,0.085933,0.139243,0.032690,0.032444,0.106552,0.106798,
o  gs_di_1483,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1484,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1485,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1487,0.031411,0.114312,0.153044,0.037057,0.036588,0.115987,0.116456,
o  gs_di_1489,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1490,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1491,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1492,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1493,-0.023404,0.120320,0.104935,0.039049,0.038751,0.065886,0.066185,
o  gs_di_1495,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1496,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1497,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1499,0.092590,0.086365,0.186097,0.037045,0.036797,0.149052,0.149300,
o  gs_di_1501,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1502,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1503,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1505,0.030846,0.077280,0.114780,0.036212,0.035976,0.078568,0.078804,
o  gs_di_1507,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1508,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1511,0.050114,0.076534,0.133507,0.037606,0.037338,0.095901,0.096169,
o  gs_di_1513,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1514,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1515,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
o  gs_di_1517,-0.033313,0.079263,0.052309,0.034912,0.034706,0.017397,0.017603,
