   GoodVibes v3.0.1 2023/07/28 09:36:01
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_exo_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  gs_di_1000,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1001,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1002,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1003,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1004,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1005,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1006,-210.176707,0.081247,-210.090525,0.031317,0.031318,-210.121842,-210.121844,
o  gs_di_1007,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1008,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1009,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1010,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1011,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1012,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1013,-210.176707,0.081247,-210.090525,0.031317,0.031318,-210.121842,-210.121844,
o  gs_di_1016,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1017,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1018,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1019,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1020,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1021,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1022,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1023,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1024,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1025,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1026,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1027,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1028,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1029,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1030,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1031,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1032,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1033,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1034,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1035,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1036,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1037,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1038,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1039,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1040,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1041,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1042,-255.246353,0.076408,-255.163606,0.034561,0.034546,-255.198167,-255.198152,
o  gs_di_1043,-255.246353,0.076408,-255.163606,0.034561,0.034546,-255.198167,-255.198152,
o  gs_di_1044,-255.246353,0.076408,-255.163606,0.034561,0.034546,-255.198167,-255.198152,
o  gs_di_1045,-255.246353,0.076408,-255.163606,0.034561,0.034546,-255.198167,-255.198152,
o  gs_di_1046,-255.246353,0.076408,-255.163606,0.034561,0.034546,-255.198167,-255.198152,
o  gs_di_1047,-233.425780,0.118156,-233.300849,0.035671,0.035654,-233.336520,-233.336503,
o  gs_di_1048,-308.641633,0.123543,-308.510524,0.037825,0.037776,-308.548348,-308.548300,
o  gs_di_1049,-286.349885,0.090172,-286.252917,0.036348,0.036335,-286.289265,-286.289252,
o  gs_di_1050,-653.716628,0.082175,-653.628253,0.035261,0.035268,-653.663514,-653.663520,
o  gs_di_1051,-2767.720567,0.081644,-2767.632520,0.036593,0.036598,-2767.669113,-2767.669118,
o  gs_di_1052,-293.357620,0.083518,-293.268228,0.033956,0.033961,-293.302183,-293.302189,
o  gs_di_1053,-233.425780,0.118156,-233.300849,0.035671,0.035654,-233.336520,-233.336503,
o  gs_di_1054,-308.641633,0.123543,-308.510524,0.037825,0.037776,-308.548348,-308.548300,
o  gs_di_1055,-286.349885,0.090172,-286.252917,0.036348,0.036335,-286.289265,-286.289252,
o  gs_di_1056,-653.716628,0.082175,-653.628253,0.035261,0.035268,-653.663514,-653.663520,
o  gs_di_1057,-2767.720567,0.081644,-2767.632520,0.036593,0.036598,-2767.669113,-2767.669118,
o  gs_di_1058,-293.357620,0.083518,-293.268228,0.033956,0.033961,-293.302183,-293.302189,
o  gs_di_1059,-233.425780,0.118156,-233.300849,0.035671,0.035654,-233.336520,-233.336503,
o  gs_di_1060,-308.641633,0.123543,-308.510524,0.037825,0.037776,-308.548348,-308.548300,
o  gs_di_1061,-286.349885,0.090172,-286.252917,0.036348,0.036335,-286.289265,-286.289252,
o  gs_di_1062,-653.716628,0.082175,-653.628253,0.035261,0.035268,-653.663514,-653.663520,
o  gs_di_1063,-2767.720567,0.081644,-2767.632520,0.036593,0.036598,-2767.669113,-2767.669118,
o  gs_di_1064,-293.357620,0.083518,-293.268228,0.033956,0.033961,-293.302183,-293.302189,
o  gs_di_1065,-233.425780,0.118156,-233.300849,0.035671,0.035654,-233.336520,-233.336503,
o  gs_di_1066,-308.641633,0.123543,-308.510524,0.037825,0.037776,-308.548348,-308.548300,
o  gs_di_1067,-286.349885,0.090172,-286.252917,0.036348,0.036335,-286.289265,-286.289252,
o  gs_di_1068,-653.716628,0.082175,-653.628253,0.035261,0.035268,-653.663514,-653.663520,
o  gs_di_1069,-2767.720567,0.081644,-2767.632520,0.036593,0.036598,-2767.669113,-2767.669118,
o  gs_di_1070,-293.357620,0.083518,-293.268228,0.033956,0.033961,-293.302183,-293.302189,
o  gs_di_1071,-233.425780,0.118156,-233.300849,0.035671,0.035654,-233.336520,-233.336503,
o  gs_di_1072,-308.641633,0.123543,-308.510524,0.037825,0.037776,-308.548348,-308.548300,
o  gs_di_1073,-286.349885,0.090172,-286.252917,0.036348,0.036335,-286.289265,-286.289252,
o  gs_di_1074,-653.716628,0.082175,-653.628253,0.035261,0.035268,-653.663514,-653.663520,
o  gs_di_1075,-2767.720567,0.081644,-2767.632520,0.036593,0.036598,-2767.669113,-2767.669118,
o  gs_di_1076,-293.357620,0.083518,-293.268228,0.033956,0.033961,-293.302183,-293.302189,
o  gs_di_1077,-269.356142,0.096068,-269.253764,0.034898,0.034866,-269.288663,-269.288631,
o  gs_di_1078,-344.567279,0.101130,-344.458973,0.037290,0.037165,-344.496263,-344.496138,
o  gs_di_1079,-322.269980,0.067868,-322.195798,0.035500,0.035492,-322.231299,-322.231291,
o  gs_di_1080,-689.639450,0.059866,-689.573884,0.034378,0.034383,-689.608262,-689.608267,
o  gs_di_1081,-2803.642634,0.059300,-2803.577420,0.035729,0.035734,-2803.613149,-2803.613154,
o  gs_di_1082,-329.283685,0.061312,-329.217011,0.033052,0.033055,-329.250063,-329.250066,
o  gs_di_1083,-269.356142,0.096068,-269.253764,0.034898,0.034866,-269.288663,-269.288631,
o  gs_di_1084,-344.567279,0.101130,-344.458973,0.037290,0.037165,-344.496263,-344.496138,
o  gs_di_1085,-322.269980,0.067868,-322.195798,0.035500,0.035492,-322.231299,-322.231291,
o  gs_di_1086,-689.639450,0.059866,-689.573884,0.034378,0.034383,-689.608262,-689.608267,
o  gs_di_1087,-2803.642634,0.059300,-2803.577420,0.035729,0.035734,-2803.613149,-2803.613154,
o  gs_di_1088,-329.283685,0.061312,-329.217011,0.033052,0.033055,-329.250063,-329.250066,
o  gs_di_1089,-269.356142,0.096068,-269.253764,0.034898,0.034866,-269.288663,-269.288631,
o  gs_di_1090,-344.567279,0.101130,-344.458973,0.037290,0.037165,-344.496263,-344.496138,
o  gs_di_1091,-322.269980,0.067868,-322.195798,0.035500,0.035492,-322.231299,-322.231291,
o  gs_di_1092,-689.639450,0.059866,-689.573884,0.034378,0.034383,-689.608262,-689.608267,
o  gs_di_1093,-2803.642634,0.059300,-2803.577420,0.035729,0.035734,-2803.613149,-2803.613154,
o  gs_di_1094,-329.283685,0.061312,-329.217011,0.033052,0.033055,-329.250063,-329.250066,
o  gs_di_1095,-269.356142,0.096068,-269.253764,0.034898,0.034866,-269.288663,-269.288631,
o  gs_di_1096,-344.567279,0.101130,-344.458973,0.037290,0.037165,-344.496263,-344.496138,
o  gs_di_1097,-322.269980,0.067868,-322.195798,0.035500,0.035492,-322.231299,-322.231291,
o  gs_di_1098,-689.639450,0.059866,-689.573884,0.034378,0.034383,-689.608262,-689.608267,
o  gs_di_1099,-2803.642634,0.059300,-2803.577420,0.035729,0.035734,-2803.613149,-2803.613154,
o  gs_di_1100,-329.283685,0.061312,-329.217011,0.033052,0.033055,-329.250063,-329.250066,
o  gs_di_1101,-269.356142,0.096068,-269.253764,0.034898,0.034866,-269.288663,-269.288631,
o  gs_di_1102,-344.567279,0.101130,-344.458973,0.037290,0.037165,-344.496263,-344.496138,
o  gs_di_1103,-322.269980,0.067868,-322.195798,0.035500,0.035492,-322.231299,-322.231291,
o  gs_di_1104,-689.639450,0.059866,-689.573884,0.034378,0.034383,-689.608262,-689.608267,
o  gs_di_1105,-2803.642634,0.059300,-2803.577420,0.035729,0.035734,-2803.613149,-2803.613154,
o  gs_di_1106,-329.283685,0.061312,-329.217011,0.033052,0.033055,-329.250063,-329.250066,
o  gs_di_1107,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1108,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1109,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1110,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1111,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1112,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1113,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1114,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1115,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1116,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1117,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1118,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1119,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1120,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1121,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1122,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1123,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1124,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1125,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1126,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1127,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1128,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1129,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1130,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1131,-249.497918,0.108269,-249.383010,0.035536,0.035430,-249.418547,-249.418440,
o  gs_di_1132,-324.708784,0.113188,-324.588075,0.037872,0.037700,-324.625947,-324.625776,
o  gs_di_1133,-302.420033,0.080356,-302.333122,0.035882,0.035871,-302.369004,-302.368992,
o  gs_di_1134,-669.785211,0.072182,-669.707032,0.034848,0.034854,-669.741880,-669.741885,
o  gs_di_1135,-2783.789207,0.071676,-2783.711332,0.036183,0.036188,-2783.747515,-2783.747520,
o  gs_di_1136,-309.425689,0.073361,-309.346617,0.033600,0.033604,-309.380217,-309.380222,
o  gs_di_1137,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1138,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1139,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1140,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1141,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1142,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1143,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1144,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1145,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1146,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1150,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1151,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1152,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
o  gs_di_1155,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1156,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1157,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1158,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1159,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1160,-248.235242,0.083003,-248.145030,0.036874,0.036816,-248.181904,-248.181846,
o  gs_di_1161,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1162,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1163,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1164,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1165,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1166,-615.604299,0.075029,-615.522657,0.035825,0.035800,-615.558482,-615.558457,
o  gs_di_1167,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
o  gs_di_1168,-2729.607986,0.074475,-2729.526725,0.037149,0.037112,-2729.563874,-2729.563837,
