   GoodVibes v3.0.1 2023/07/27 15:57:53
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_non_gs 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  gs_di_1477,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1478,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1479,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1480,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1481,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1482,-155.992148,0.083599,-155.902901,0.032152,0.032146,-155.935053,-155.935047,
o  gs_di_1483,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1484,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1485,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1486,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1487,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1488,-195.313221,0.111161,-195.194932,0.036012,0.035975,-195.230944,-195.230908,
o  gs_di_1489,-270.529582,0.116738,-270.404985,0.038279,0.038238,-270.443265,-270.443223,
