   GoodVibes v3.0.1 2023/07/31 16:47:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_endo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_1000,0.130918,0.184596,0.325327,0.043157,0.042889,0.282170,0.282437,
o  ts_endo_1001,0.077049,0.189790,0.277584,0.045827,0.045166,0.231757,0.232418,
o  ts_endo_1003,0.123986,0.147706,0.280812,0.042215,0.041954,0.238597,0.238858,
o  ts_endo_1004,0.141570,0.146938,0.297928,0.043748,0.043333,0.254181,0.254595,
o  ts_endo_1005,0.071199,0.148750,0.228952,0.041405,0.041298,0.187548,0.187654,
o  ts_endo_1006,0.130538,0.129956,0.268233,0.039210,0.039110,0.229022,0.229123,
o  ts_endo_1007,0.118586,0.157688,0.285775,0.043345,0.042889,0.242430,0.242885,
o  ts_endo_1008,0.072039,0.162696,0.245297,0.046464,0.045516,0.198833,0.199781,
o  ts_endo_1009,0.183861,0.129733,0.322972,0.043371,0.043005,0.279601,0.279967,
o  ts_endo_1010,0.119177,0.120801,0.248821,0.042356,0.042068,0.206466,0.206754,
o  ts_endo_1011,0.138263,0.120136,0.267506,0.043726,0.043314,0.223779,0.224191,
o  ts_endo_1012,0.060401,0.122319,0.191238,0.041182,0.041000,0.150055,0.150238,
o  ts_endo_1013,0.183666,0.222990,0.417859,0.047956,0.046699,0.369903,0.371160,
o  ts_endo_1015,0.125501,0.255746,0.395330,0.055528,0.053022,0.339802,0.342309,
o  ts_endo_1016,0.236330,0.222723,0.471913,0.052024,0.050366,0.419890,0.421547,
o  ts_endo_1017,0.172123,0.213799,0.398269,0.051187,0.049504,0.347082,0.348765,
o  ts_endo_1018,0.190948,0.213104,0.416666,0.052445,0.050647,0.364221,0.366019,
o  ts_endo_1019,0.113651,0.215358,0.341016,0.050064,0.048516,0.290951,0.292500,
o  ts_endo_1020,0.089109,0.198075,0.297415,0.043843,0.043477,0.253572,0.253938,
o  ts_endo_1021,0.094728,0.187764,0.292444,0.043114,0.042826,0.249330,0.249618,
o  ts_endo_1022,0.087959,0.160720,0.258402,0.043562,0.043119,0.214840,0.215283,
o  ts_endo_1023,0.140572,0.253642,0.407420,0.052495,0.050685,0.354925,0.356735,
o  ts_endo_1024,0.034985,0.203409,0.249684,0.046886,0.046100,0.202798,0.203584,
o  ts_endo_1025,-0.019235,0.209080,0.201997,0.049082,0.048142,0.152915,0.153855,
o  ts_endo_1026,0.039846,0.193012,0.243903,0.046337,0.045520,0.197565,0.198382,
o  ts_endo_1027,0.034102,0.166029,0.210932,0.046689,0.045753,0.164244,0.165179,
o  ts_endo_1028,0.086607,0.258950,0.359843,0.055623,0.053250,0.304220,0.306593,
o  ts_endo_1029,0.148390,0.169891,0.328463,0.044224,0.043852,0.284239,0.284611,
o  ts_endo_1030,0.097658,0.174879,0.283914,0.047850,0.046828,0.236064,0.237086,
o  ts_endo_1031,0.159137,0.158856,0.328201,0.044238,0.043873,0.283963,0.284327,
o  ts_endo_1032,0.148468,0.132561,0.290697,0.043935,0.043446,0.246762,0.247251,
o  ts_endo_1033,0.200267,0.225462,0.438892,0.052980,0.051015,0.385912,0.387876,
o  ts_endo_1034,0.093370,0.150343,0.253164,0.042782,0.042469,0.210382,0.210695,
o  ts_endo_1035,0.087059,0.123497,0.219707,0.042989,0.042577,0.176718,0.177130,
o  ts_endo_1036,0.139205,0.216400,0.368250,0.051988,0.050124,0.316262,0.318126,
o  ts_endo_1037,0.108039,0.160151,0.278069,0.044586,0.044245,0.233483,0.233823,
o  ts_endo_1038,0.057240,0.165128,0.233446,0.048187,0.047195,0.185259,0.186250,
o  ts_endo_1039,0.114684,0.149639,0.274001,0.044119,0.043770,0.229882,0.230232,
o  ts_endo_1040,0.107785,0.122772,0.239937,0.044324,0.043839,0.195614,0.196099,
o  ts_endo_1041,0.159897,0.215677,0.388452,0.053261,0.051304,0.335192,0.337149,
o  ts_endo_1042,0.021451,0.162858,0.193628,0.042021,0.041768,0.151608,0.151860,
o  ts_endo_1043,-0.029437,0.167840,0.148944,0.045858,0.044878,0.103085,0.104066,
o  ts_endo_1044,0.026552,0.152414,0.188058,0.041515,0.041226,0.146542,0.146831,
o  ts_endo_1045,0.021034,0.125509,0.155357,0.041772,0.041415,0.113584,0.113941,
o  ts_endo_1046,0.073285,0.218430,0.304013,0.050826,0.049038,0.253187,0.254976,
o  ts_endo_1047,0.110062,0.205945,0.326118,0.043656,0.043379,0.282463,0.282739,
o  ts_endo_1048,0.058796,0.211272,0.281161,0.046326,0.045728,0.234835,0.235432,
o  ts_endo_1049,0.169648,0.177995,0.357659,0.043841,0.043640,0.313818,0.314019,
o  ts_endo_1050,0.109571,0.169037,0.288094,0.042827,0.042694,0.245267,0.245400,
o  ts_endo_1051,0.128953,0.168387,0.307067,0.044146,0.043971,0.262921,0.263096,
o  ts_endo_1052,0.045799,0.170752,0.225685,0.041623,0.041520,0.184062,0.184165,
o  ts_endo_1053,0.059189,0.210863,0.281408,0.047533,0.046515,0.233874,0.234893,
