   GoodVibes v3.0.1 2023/07/31 16:50:05
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_exo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_exo_1000,0.129360,0.184559,0.323794,0.043408,0.043003,0.280385,0.280791,
o  ts_exo_1001,0.082327,0.189488,0.282705,0.046330,0.045586,0.236375,0.237118,
o  ts_exo_1002,0.186419,0.156192,0.352393,0.043437,0.043137,0.308956,0.309257,
o  ts_exo_1003,0.127681,0.147210,0.284204,0.042464,0.042335,0.241739,0.241869,
o  ts_exo_1004,0.142028,0.146879,0.298292,0.043452,0.043242,0.254840,0.255050,
o  ts_exo_1005,0.069105,0.149019,0.227044,0.041264,0.041174,0.185779,0.185870,
o  ts_exo_1006,0.127313,0.129971,0.265022,0.039228,0.039144,0.225794,0.225878,
o  ts_exo_1007,0.116543,0.157705,0.283743,0.043392,0.042872,0.240351,0.240871,
o  ts_exo_1008,0.070514,0.163083,0.243945,0.045235,0.044884,0.198711,0.199061,
o  ts_exo_1009,0.182256,0.129729,0.321377,0.043402,0.043040,0.277976,0.278337,
o  ts_exo_1010,0.117097,0.120792,0.246739,0.042335,0.042093,0.204404,0.204645,
o  ts_exo_1011,0.136068,0.120115,0.265302,0.043684,0.043333,0.221618,0.221969,
o  ts_exo_1012,0.058915,0.122337,0.189764,0.041182,0.041008,0.148582,0.148756,
o  ts_exo_1013,0.179405,0.223230,0.413702,0.047296,0.046382,0.366406,0.367320,
o  ts_exo_1015,0.122295,0.256211,0.392257,0.053420,0.051950,0.338837,0.340308,
o  ts_exo_1016,0.234345,0.222941,0.470053,0.051516,0.050107,0.418536,0.419945,
o  ts_exo_1017,0.169596,0.213998,0.395839,0.050533,0.049187,0.345306,0.346651,
o  ts_exo_1018,0.188425,0.213279,0.414230,0.051843,0.050321,0.362386,0.363909,
o  ts_exo_1019,0.111675,0.215585,0.339153,0.049373,0.048202,0.289779,0.290951,
o  ts_exo_1020,0.088028,0.198181,0.296421,0.043879,0.043460,0.252542,0.252961,
o  ts_exo_1021,0.100341,0.187144,0.297694,0.043793,0.043431,0.253900,0.254263,
o  ts_exo_1022,0.087067,0.160638,0.257456,0.043749,0.043217,0.213707,0.214239,
o  ts_exo_1023,0.138267,0.253808,0.405203,0.051988,0.050487,0.353215,0.354715,
o  ts_exo_1024,0.033871,0.203545,0.248663,0.046783,0.046038,0.201881,0.202626,
o  ts_exo_1025,-0.018595,0.208411,0.202315,0.050750,0.049204,0.151566,0.153111,
o  ts_exo_1026,0.045596,0.192436,0.249288,0.046688,0.045993,0.202600,0.203295,
o  ts_exo_1027,0.032684,0.166015,0.209479,0.046601,0.045755,0.162878,0.163724,
o  ts_exo_1028,0.084361,0.259129,0.357683,0.055018,0.053035,0.302665,0.304647,
o  ts_exo_1029,0.147283,0.170020,0.327445,0.044162,0.043795,0.283283,0.283651,
o  ts_exo_1030,0.095319,0.174897,0.281581,0.047934,0.046865,0.233647,0.234716,
o  ts_exo_1031,0.159161,0.158918,0.328233,0.044103,0.043761,0.284130,0.284472,
o  ts_exo_1032,0.147578,0.132507,0.289754,0.043984,0.043502,0.245770,0.246252,
o  ts_exo_1033,0.197936,0.225626,0.436632,0.052299,0.050750,0.384334,0.385882,
o  ts_exo_1034,0.098135,0.149799,0.257591,0.043224,0.042907,0.214367,0.214683,
o  ts_exo_1035,0.086094,0.123453,0.218697,0.043040,0.042612,0.175657,0.176084,
o  ts_exo_1036,0.136853,0.216578,0.365983,0.051351,0.049864,0.314631,0.316118,
o  ts_exo_1037,0.106904,0.160275,0.277022,0.044541,0.044187,0.232480,0.232835,
o  ts_exo_1038,0.054931,0.165148,0.231142,0.048256,0.047211,0.182886,0.183931,
o  ts_exo_1039,0.119304,0.149192,0.278355,0.044553,0.044188,0.233802,0.234167,
o  ts_exo_1040,0.106840,0.122733,0.238951,0.044375,0.043875,0.194576,0.195075,
o  ts_exo_1041,0.157512,0.215861,0.386160,0.052670,0.051068,0.333489,0.335092,
o  ts_exo_1042,0.020358,0.162990,0.192627,0.041967,0.041701,0.150660,0.150926,
o  ts_exo_1043,-0.031744,0.167860,0.146634,0.045841,0.044843,0.100792,0.101790,
o  ts_exo_1044,0.031661,0.151753,0.192759,0.042022,0.041737,0.150737,0.151022,
o  ts_exo_1045,0.020112,0.125466,0.154389,0.041821,0.041440,0.112568,0.112948,
o  ts_exo_1046,0.071014,0.218602,0.301820,0.050147,0.048753,0.251673,0.253068,
o  ts_exo_1047,0.110001,0.205990,0.326113,0.043777,0.043441,0.282336,0.282673,
o  ts_exo_1048,0.058857,0.211346,0.281289,0.046358,0.045739,0.234931,0.235550,
o  ts_exo_1049,0.169504,0.178045,0.357570,0.043938,0.043692,0.313632,0.313878,
o  ts_exo_1050,0.109474,0.169105,0.288064,0.042911,0.042735,0.245153,0.245329,
o  ts_exo_1051,0.128769,0.168464,0.306959,0.044234,0.044017,0.262725,0.262943,
