   GoodVibes v3.0.1 2023/07/27 10:06:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_non_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_1477,0.181595,0.117564,0.306108,0.035861,0.035871,0.270247,0.270237,
o  ts_1478,0.169052,0.145940,0.323468,0.039574,0.039485,0.283894,0.283983,
o  ts_1479,0.132407,0.150654,0.292826,0.043315,0.042739,0.249511,0.250086,
o  ts_1480,0.181398,0.135190,0.325004,0.039521,0.039367,0.285483,0.285637,
o  ts_1481,0.176214,0.109005,0.293183,0.039377,0.039214,0.253806,0.253968,
o  ts_1482,0.220370,0.201489,0.433380,0.048573,0.047141,0.384807,0.386239,
o  ts_1483,0.168398,0.145755,0.322723,0.039856,0.039710,0.282867,0.283013,
o  ts_1484,0.157671,0.174173,0.341903,0.043349,0.043044,0.298554,0.298859,
o  ts_1485,0.121102,0.178677,0.311287,0.047630,0.046623,0.263657,0.264665,
o  ts_1487,0.164399,0.137044,0.311147,0.043570,0.043080,0.267577,0.268067,
o  ts_1489,0.113908,0.151136,0.274655,0.042868,0.042392,0.231787,0.232263,
o  ts_1490,0.102538,0.179367,0.293107,0.046450,0.045912,0.246658,0.247196,
o  ts_1491,0.068639,0.184326,0.265350,0.049592,0.048710,0.215758,0.216640,
o  ts_1492,0.109187,0.168435,0.288989,0.047637,0.046460,0.241352,0.242529,
o  ts_1493,0.110110,0.142528,0.263355,0.046175,0.045584,0.217180,0.217771,
o  ts_1495,0.227737,0.117643,0.353874,0.040159,0.040102,0.313715,0.313771,
o  ts_1496,0.216170,0.145855,0.372104,0.043888,0.043537,0.328216,0.328567,
o  ts_1497,0.181715,0.150501,0.343717,0.048123,0.047046,0.295594,0.296671,
o  ts_1499,0.224231,0.108922,0.342839,0.044034,0.043453,0.298805,0.299385,
o  ts_1501,0.166463,0.108533,0.282982,0.039250,0.039244,0.243732,0.243738,
o  ts_1502,0.155167,0.136677,0.301481,0.043201,0.042881,0.258280,0.258600,
o  ts_1503,0.122484,0.141457,0.274934,0.047143,0.046120,0.227791,0.228814,
o  ts_1505,0.161942,0.099874,0.270967,0.042995,0.042562,0.227972,0.228405,
o  ts_1507,0.186910,0.107782,0.302917,0.040661,0.040625,0.262256,0.262292,
o  ts_1508,0.175885,0.135709,0.321621,0.045162,0.044531,0.276459,0.277090,
o  ts_1511,0.181886,0.099072,0.290413,0.044571,0.043946,0.245842,0.246467,
o  ts_1513,0.100570,0.110600,0.218802,0.037939,0.037947,0.180863,0.180855,
o  ts_1514,0.088620,0.138807,0.236676,0.041776,0.041589,0.194900,0.195086,
o  ts_1515,0.053336,0.143456,0.207412,0.045755,0.045022,0.161657,0.162390,
o  ts_1517,0.097195,0.101915,0.207902,0.041746,0.041399,0.166156,0.166503,
o  ts_1518,0.142326,0.194274,0.349092,0.051382,0.049462,0.297710,0.299630,
o  ts_1519,0.203253,0.125940,0.335949,0.035877,0.035880,0.300072,0.300068,
o  ts_1520,0.191976,0.153537,0.353997,0.039929,0.039731,0.314068,0.314266,
o  ts_1521,0.140955,0.158924,0.309321,0.042523,0.042108,0.266798,0.267213,
o  ts_1522,0.251554,0.125680,0.385579,0.040014,0.039965,0.345565,0.345614,
o  ts_1523,0.191354,0.116717,0.315891,0.039016,0.039016,0.276875,0.276875,
o  ts_1524,0.210345,0.116066,0.334468,0.040360,0.040344,0.294108,0.294124,
o  ts_1525,0.127955,0.118417,0.253845,0.037778,0.037784,0.216067,0.216061,
o  ts_1526,0.189472,0.154068,0.351973,0.039947,0.039844,0.312026,0.312129,
o  ts_1527,0.178785,0.181798,0.370677,0.043638,0.043391,0.327039,0.327286,
o  ts_1528,0.127109,0.187272,0.325421,0.046026,0.045709,0.279395,0.279713,
o  ts_1529,0.237910,0.153568,0.401661,0.044517,0.044081,0.357144,0.357580,
o  ts_1530,0.177875,0.144689,0.332190,0.043359,0.043093,0.288831,0.289096,
o  ts_1532,0.114305,0.146413,0.270013,0.042340,0.041964,0.227673,0.228049,
o  ts_1533,0.152370,0.158994,0.320970,0.043332,0.042749,0.277638,0.278221,
o  ts_1534,0.142466,0.186401,0.340357,0.047918,0.046782,0.292439,0.293575,
o  ts_1535,0.090223,0.192021,0.294545,0.049502,0.048717,0.245043,0.245828,
o  ts_1536,0.203557,0.158482,0.373489,0.048434,0.047181,0.325055,0.326308,
o  ts_1537,0.143741,0.149566,0.304182,0.047071,0.046128,0.257110,0.258053,
o  ts_1539,0.078976,0.151340,0.240774,0.045533,0.044826,0.195241,0.195947,
o  ts_1540,0.199408,0.143442,0.351125,0.039534,0.039426,0.311591,0.311698,
o  ts_1547,0.194587,0.117394,0.319777,0.039336,0.039235,0.280441,0.280542,
o  ts_1548,0.183689,0.144914,0.338239,0.043591,0.043175,0.294648,0.295064,
o  ts_1549,0.132500,0.150433,0.293477,0.045747,0.045321,0.247731,0.248156,
o  ts_1550,0.244209,0.116964,0.370812,0.044202,0.043586,0.326610,0.327226,
o  ts_1551,0.182924,0.108082,0.300039,0.042799,0.042473,0.257240,0.257567,
o  ts_1552,0.201416,0.107237,0.318118,0.045068,0.044145,0.273050,0.273973,
o  ts_1553,0.120565,0.109842,0.239035,0.041456,0.041243,0.197579,0.197792,
o  ts_1554,0.239977,0.209853,0.461223,0.048711,0.047201,0.412513,0.414022,
o  ts_1561,0.149913,0.102104,0.258561,0.035602,0.035593,0.222959,0.222967,
o  ts_1562,0.141027,0.129526,0.278881,0.040091,0.039557,0.238790,0.239324,
o  ts_1563,0.087505,0.134883,0.231622,0.042103,0.041830,0.189520,0.189792,
o  ts_1564,0.208494,0.101803,0.318391,0.039626,0.039574,0.278765,0.278816,
o  ts_1565,0.146961,0.092736,0.247280,0.038656,0.038653,0.208624,0.208627,
o  ts_1566,0.167267,0.092138,0.267210,0.039960,0.039944,0.227250,0.227266,
o  ts_1567,0.074590,0.094326,0.176210,0.037536,0.037537,0.138674,0.138673,
o  ts_1568,0.135686,0.130175,0.274125,0.039838,0.039654,0.234288,0.234472,
o  ts_1569,0.126722,0.157867,0.294496,0.043472,0.043190,0.251023,0.251306,
o  ts_1570,0.073718,0.163113,0.247812,0.046517,0.045728,0.201295,0.202084,
o  ts_1571,0.194105,0.129784,0.333790,0.044010,0.043647,0.289780,0.290143,
o  ts_1572,0.132874,0.120760,0.263019,0.043019,0.042729,0.220000,0.220290,
o  ts_1573,0.153125,0.120065,0.282836,0.044370,0.044053,0.238466,0.238783,
o  ts_1574,0.060468,0.122453,0.191981,0.041873,0.041596,0.150108,0.150385,
o  ts_1575,0.097825,0.135209,0.242413,0.042982,0.042426,0.199431,0.199987,
o  ts_1576,0.089524,0.162699,0.263412,0.047355,0.046301,0.216057,0.217111,
o  ts_1577,0.039386,0.168056,0.219581,0.049429,0.048553,0.170153,0.171028,
o  ts_1578,0.158830,0.134741,0.304721,0.047860,0.046684,0.256861,0.258036,
o  ts_1579,0.097574,0.125746,0.233896,0.046475,0.045619,0.187422,0.188277,
o  ts_1580,0.118365,0.125004,0.254269,0.048218,0.047068,0.206051,0.207201,
o  ts_1581,0.024448,0.127395,0.162087,0.045198,0.044507,0.116889,0.117580,
o  ts_1582,0.145273,0.119604,0.272924,0.039121,0.039066,0.233803,0.233858,
o  ts_1584,0.081372,0.152304,0.244541,0.046186,0.045413,0.198356,0.199128,
o  ts_1588,0.067332,0.111506,0.187941,0.042008,0.041709,0.145932,0.146231,
o  ts_1589,0.140350,0.093632,0.241546,0.038976,0.038897,0.202570,0.202649,
o  ts_1590,0.131276,0.121073,0.261775,0.043628,0.042895,0.218146,0.218880,
o  ts_1591,0.078566,0.126417,0.215336,0.045491,0.045062,0.169845,0.170274,
