   GoodVibes v3.0.1 2023/07/27 15:03:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_endo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_1000,-383.394594,0.178818,-383.205946,0.042615,0.042531,-383.248560,-383.248477,
o  ts_endo_1001,-458.604872,0.183272,-458.410571,0.046205,0.045425,-458.456776,-458.455996,
o  ts_endo_1002,-436.322882,0.150685,-436.162218,0.043812,0.043388,-436.206030,-436.205606,
o  ts_endo_1003,-803.684441,0.142321,-803.532651,0.042742,0.042507,-803.575394,-803.575159,
o  ts_endo_1004,-2917.688734,0.141747,-2917.537264,0.044128,0.043806,-2917.581392,-2917.581070,
o  ts_endo_1005,-443.327124,0.143650,-443.174406,0.041351,0.041211,-443.215757,-443.215616,
o  ts_endo_1006,-748.328341,0.126013,-748.194395,0.039594,0.039428,-748.233989,-748.233823,
o  ts_endo_1007,-787.652127,0.153003,-787.489545,0.043044,0.042789,-787.532590,-787.532334,
o  ts_endo_1008,-862.864065,0.157863,-862.695603,0.045719,0.045199,-862.741322,-862.740802,
o  ts_endo_1009,-840.568427,0.124751,-840.433990,0.043909,0.043499,-840.477899,-840.477489,
o  ts_endo_1010,-1207.937968,0.116579,-1207.812273,0.042835,0.042475,-1207.855108,-1207.854748,
o  ts_endo_1011,-3321.941955,0.116069,-3321.816544,0.044112,0.043661,-3321.860656,-3321.860205,
o  ts_endo_1012,-847.581718,0.117942,-847.455032,0.041556,0.041302,-847.496588,-847.496334,
o  ts_endo_1013,-519.776238,0.215022,-519.549911,0.047643,0.046662,-519.597553,-519.596572,
o  ts_endo_1014,-559.101311,0.242103,-558.846274,0.050857,0.049849,-558.897131,-558.896122,
o  ts_endo_1016,-612.019343,0.213811,-611.792430,0.051885,0.050550,-611.844315,-611.842980,
o  ts_endo_1017,-979.387233,0.205819,-979.168939,0.050662,0.049435,-979.219601,-979.218374,
o  ts_endo_1018,-3093.391414,0.205177,-3093.173502,0.051955,0.050591,-3093.225457,-3093.224094,
o  ts_endo_1019,-619.030153,0.206847,-618.811083,0.050028,0.048645,-618.861111,-618.859729,
o  ts_endo_1020,-313.183997,0.192339,-312.981233,0.043974,0.043694,-313.025207,-313.024927,
o  ts_endo_1021,-329.231229,0.181789,-329.039254,0.043290,0.043059,-329.082544,-329.082313,
o  ts_endo_1022,-733.475567,0.156250,-733.309365,0.043886,0.043467,-733.353251,-733.352832,
o  ts_endo_1023,-504.924439,0.245273,-504.665847,0.051750,0.050548,-504.717597,-504.716395,
o  ts_endo_1024,-388.398238,0.197150,-388.189574,0.047164,0.046373,-388.236738,-388.235947,
o  ts_endo_1025,-463.605928,0.201240,-463.391910,0.050848,0.049487,-463.442758,-463.441396,
o  ts_endo_1026,-404.444789,0.186917,-404.246782,0.045819,0.045402,-404.292601,-404.292184,
o  ts_endo_1027,-808.689469,0.160769,-808.517597,0.047179,0.046249,-808.564776,-808.563846,
o  ts_endo_1028,-580.137825,0.249660,-579.873660,0.055223,0.053341,-579.928882,-579.927001,
o  ts_endo_1029,-366.108701,0.164248,-365.933912,0.044912,0.044458,-365.978824,-365.978371,
o  ts_endo_1030,-441.316232,0.168375,-441.136102,0.048505,0.047435,-441.184607,-441.183537,
o  ts_endo_1031,-382.155394,0.153760,-381.991346,0.044131,0.043810,-382.035477,-382.035156,
o  ts_endo_1032,-786.397911,0.127889,-786.259954,0.044777,0.044192,-786.304731,-786.304146,
o  ts_endo_1033,-557.847774,0.216913,-557.617369,0.052873,0.051367,-557.670242,-557.668736,
o  ts_endo_1034,-749.524181,0.145848,-749.368656,0.043032,0.042769,-749.411688,-749.411425,
o  ts_endo_1035,-1153.766606,0.119833,-1153.637276,0.043776,0.043253,-1153.681051,-1153.680529,
o  ts_endo_1036,-925.216103,0.208883,-924.994325,0.051829,0.050358,-925.046153,-925.044683,
o  ts_endo_1037,-2847.480242,0.155678,-2847.314420,0.045120,0.044681,-2847.359540,-2847.359100,
o  ts_endo_1038,-2922.695067,0.160307,-2922.523525,0.047953,0.047265,-2922.571478,-2922.570790,
o  ts_endo_1039,-2863.528334,0.144893,-2863.373404,0.044696,0.044310,-2863.418100,-2863.417714,
o  ts_endo_1040,-3267.770604,0.119298,-3267.641609,0.045051,0.044449,-3267.686660,-3267.686059,
o  ts_endo_1041,-3039.220260,0.208206,-3038.998912,0.053269,0.051612,-3039.052181,-3039.050524,
o  ts_endo_1042,-373.118663,0.157589,-372.951458,0.042559,0.042252,-372.994016,-372.993710,
o  ts_endo_1043,-448.334565,0.162231,-448.161654,0.045319,0.044827,-448.206973,-448.206481,
o  ts_endo_1044,-389.168238,0.146824,-389.011953,0.042003,0.041811,-389.053956,-389.053764,
o  ts_endo_1045,-793.409406,0.121216,-793.279020,0.042527,0.042081,-793.321547,-793.321101,
o  ts_endo_1046,-564.858902,0.210088,-564.636195,0.050725,0.049373,-564.686920,-564.685568,
o  ts_endo_1047,-351.301679,0.199341,-351.092088,0.043567,0.043425,-351.135655,-351.135513,
o  ts_endo_1048,-426.516520,0.204485,-426.300921,0.045821,0.045481,-426.346742,-426.346402,
o  ts_endo_1049,-404.226009,0.171406,-404.044272,0.044331,0.044093,-404.088603,-404.088365,
o  ts_endo_1050,-771.593017,0.163250,-771.420002,0.043272,0.043106,-771.463273,-771.463107,
o  ts_endo_1051,-2885.597220,0.162708,-2885.424511,0.044607,0.044374,-2885.469118,-2885.468885,
o  ts_endo_1052,-411.235619,0.164537,-411.061681,0.042005,0.041884,-411.103687,-411.103565,
o  ts_endo_1053,-426.509720,0.203576,-426.294696,0.047010,0.046375,-426.341706,-426.341071,
o  ts_endo_1054,-501.725289,0.208732,-501.504243,0.049194,0.048400,-501.553437,-501.552643,
o  ts_endo_1055,-479.434009,0.175673,-479.246816,0.047734,0.046978,-479.294550,-479.293795,
o  ts_endo_1056,-846.801025,0.167495,-846.622539,0.046850,0.046099,-846.669388,-846.668637,
o  ts_endo_1057,-2960.805207,0.166938,-2960.627041,0.048164,0.047326,-2960.675205,-2960.674367,
o  ts_endo_1058,-486.443487,0.168726,-486.264090,0.045779,0.045031,-486.309868,-486.309121,
o  ts_endo_1059,-367.344959,0.188891,-367.145998,0.043241,0.042962,-367.189239,-367.188961,
o  ts_endo_1060,-442.559383,0.193979,-442.354442,0.045554,0.045124,-442.399996,-442.399566,
o  ts_endo_1061,-420.268602,0.160694,-420.097638,0.044343,0.043946,-420.141982,-420.141584,
o  ts_endo_1062,-787.636997,0.152545,-787.474761,0.043199,0.042870,-787.517961,-787.517631,
o  ts_endo_1063,-2901.641194,0.151955,-2901.479294,0.044588,0.044183,-2901.523882,-2901.523477,
o  ts_endo_1064,-427.280863,0.153695,-427.117800,0.042035,0.041737,-427.159836,-427.159537,
o  ts_endo_1065,-771.593971,0.163025,-771.421107,0.043587,0.043329,-771.464694,-771.464436,
o  ts_endo_1066,-846.809002,0.168056,-846.630187,0.045989,0.045484,-846.676176,-846.675671,
o  ts_endo_1067,-824.516016,0.134899,-824.371158,0.044451,0.044052,-824.415609,-824.415210,
o  ts_endo_1068,-1191.884391,0.126865,-1191.748175,0.043279,0.042965,-1191.791455,-1191.791140,
o  ts_endo_1069,-3305.888510,0.126336,-3305.752584,0.044599,0.044201,-3305.797183,-3305.796785,
o  ts_endo_1070,-831.527237,0.128163,-831.390078,0.042051,0.041807,-831.432130,-831.431886,
o  ts_endo_1071,-543.042403,0.251985,-542.777169,0.051641,0.050457,-542.828810,-542.827626,
o  ts_endo_1072,-618.256411,0.257122,-617.985165,0.053928,0.052429,-618.039093,-618.037594,
o  ts_endo_1073,-595.965205,0.224010,-595.727849,0.052448,0.051053,-595.780298,-595.778902,
o  ts_endo_1074,-963.333357,0.215757,-963.104774,0.051526,0.050160,-963.156300,-963.154934,
o  ts_endo_1075,-3077.337594,0.215222,-3077.109303,0.052824,0.051335,-3077.162127,-3077.160638,
o  ts_endo_1076,-602.976371,0.217021,-602.746899,0.050266,0.049041,-602.797166,-602.795941,
o  ts_endo_1077,-387.223715,0.176656,-387.037218,0.042807,0.042686,-387.080024,-387.079904,
o  ts_endo_1078,-462.435515,0.181435,-462.243230,0.045616,0.045082,-462.288846,-462.288312,
o  ts_endo_1079,-440.137303,0.148342,-439.978991,0.043666,0.043448,-440.022657,-440.022439,
o  ts_endo_1080,-807.508548,0.140299,-807.358882,0.042554,0.042396,-807.401436,-807.401278,
o  ts_endo_1081,-2921.511795,0.139724,-2921.362461,0.043887,0.043669,-2921.406348,-2921.406130,
o  ts_endo_1082,-447.155886,0.141722,-447.005161,0.041319,0.041201,-447.046480,-447.046362,
o  ts_endo_1083,-462.432705,0.180847,-462.240793,0.046281,0.045718,-462.287074,-462.286511,
o  ts_endo_1084,-537.645277,0.185738,-537.447515,0.048853,0.047960,-537.496368,-537.495475,
o  ts_endo_1085,-515.346042,0.152570,-515.182295,0.047077,0.046389,-515.229372,-515.228684,
o  ts_endo_1086,-882.717388,0.144564,-882.562250,0.046009,0.045347,-882.608259,-882.607597,
o  ts_endo_1087,-2996.720617,0.144002,-2996.565804,0.047305,0.046564,-2996.613109,-2996.612367,
o  ts_endo_1088,-522.364601,0.145984,-522.208387,0.044913,0.044244,-522.253299,-522.252631,
o  ts_endo_1089,-403.261208,0.165871,-403.085458,0.043033,0.042817,-403.128491,-403.128275,
o  ts_endo_1090,-478.473444,0.170723,-478.291867,0.045740,0.045154,-478.337608,-478.337021,
o  ts_endo_1091,-456.175253,0.137400,-456.027766,0.044149,0.043765,-456.071915,-456.071531,
o  ts_endo_1092,-823.547107,0.129093,-823.408448,0.043131,0.042792,-823.451579,-823.451240,
o  ts_endo_1093,-2937.550329,0.128539,-2937.411990,0.044424,0.044041,-2937.456414,-2937.456031,
o  ts_endo_1094,-463.195712,0.130087,-463.056272,0.042228,0.041808,-463.098500,-463.098080,
o  ts_endo_1095,-807.516863,0.140309,-807.367095,0.042931,0.042677,-807.410026,-807.409772,
o  ts_endo_1096,-882.728772,0.145099,-882.573217,0.045667,0.045003,-882.618884,-882.618219,
o  ts_endo_1097,-860.427991,0.111891,-860.306528,0.043718,0.043360,-860.350246,-860.349887,
o  ts_endo_1098,-1227.800607,0.103860,-1227.687765,0.042656,0.042334,-1227.730421,-1227.730100,
o  ts_endo_1099,-3341.803806,0.103302,-3341.691279,0.043968,0.043569,-3341.735247,-3341.734848,
o  ts_endo_1100,-867.448102,0.105335,-867.334157,0.041423,0.041169,-867.375580,-867.375326,
o  ts_endo_1101,-578.964015,0.229202,-578.721932,0.051088,0.049856,-578.773021,-578.771788,
o  ts_endo_1102,-654.174987,0.233938,-653.927125,0.054061,0.052236,-653.981186,-653.979361,
o  ts_endo_1103,-631.876056,0.200879,-631.662139,0.052023,0.050565,-631.714162,-631.712703,
o  ts_endo_1104,-999.248485,0.192830,-999.043243,0.050809,0.049438,-999.094051,-999.092681,
o  ts_endo_1105,-3113.251785,0.192288,-3113.046842,0.052058,0.050587,-3113.098900,-3113.097429,
o  ts_endo_1106,-638.896226,0.194076,-638.690048,0.049909,0.048516,-638.739957,-638.738564,
o  ts_endo_1107,-367.357770,0.189322,-367.158528,0.042832,0.042734,-367.201360,-367.201261,
o  ts_endo_1108,-442.569592,0.194030,-442.364616,0.045613,0.045194,-442.410229,-442.409810,
o  ts_endo_1109,-420.276227,0.161178,-420.105010,0.043694,0.043500,-420.148704,-420.148510,
o  ts_endo_1110,-787.645570,0.153016,-787.483086,0.042646,0.042509,-787.525732,-787.525596,
o  ts_endo_1111,-2901.649474,0.152482,-2901.487291,0.043951,0.043765,-2901.531242,-2901.531056,
o  ts_endo_1112,-427.290159,0.154286,-427.126741,0.041485,0.041371,-427.168226,-427.168112,
o  ts_endo_1113,-442.566570,0.193438,-442.361973,0.046285,0.045802,-442.408258,-442.407774,
o  ts_endo_1114,-517.779349,0.198268,-517.568957,0.048805,0.048063,-517.617761,-517.617020,
o  ts_endo_1115,-495.484668,0.165328,-495.308095,0.047013,0.046428,-495.355108,-495.354523,
o  ts_endo_1116,-862.854066,0.157244,-862.686160,0.045983,0.045426,-862.732142,-862.731585,
o  ts_endo_1117,-2976.857929,0.156683,-2976.690338,0.047311,0.046666,-2976.737649,-2976.737004,
o  ts_endo_1118,-502.498515,0.158573,-502.329632,0.044814,0.044293,-502.374446,-502.373924,
o  ts_endo_1119,-383.393767,0.178655,-383.205205,0.042886,0.042769,-383.248091,-383.247974,
o  ts_endo_1120,-458.605964,0.183434,-458.411630,0.045558,0.045135,-458.457188,-458.456765,
o  ts_endo_1121,-436.313051,0.150391,-436.152643,0.043701,0.043493,-436.196344,-436.196136,
o  ts_endo_1122,-803.681693,0.142246,-803.529934,0.042917,0.042713,-803.572851,-803.572647,
o  ts_endo_1123,-2917.685564,0.141751,-2917.534107,0.044071,0.043849,-2917.578179,-2917.577956,
o  ts_endo_1124,-443.327595,0.143193,-443.175106,0.042206,0.041754,-443.217312,-443.216860,
o  ts_endo_1125,-787.651346,0.152982,-787.488808,0.042996,0.042759,-787.531804,-787.531567,
o  ts_endo_1126,-862.863250,0.157630,-862.695016,0.045830,0.045219,-862.740846,-862.740235,
o  ts_endo_1127,-840.567296,0.124682,-840.432940,0.043812,0.043478,-840.476752,-840.476417,
o  ts_endo_1128,-1207.938039,0.116574,-1207.812357,0.042798,0.042499,-1207.855155,-1207.854856,
o  ts_endo_1129,-3321.941869,0.115990,-3321.816519,0.044141,0.043758,-3321.860660,-3321.860278,
o  ts_endo_1130,-847.582811,0.117880,-847.456174,0.041620,0.041372,-847.497793,-847.497546,
o  ts_endo_1131,-559.098741,0.241986,-558.843822,0.050988,0.049827,-558.894810,-558.893649,
o  ts_endo_1132,-634.309532,0.246511,-634.048979,0.054092,0.052380,-634.103071,-634.101359,
o  ts_endo_1133,-612.015259,0.213580,-611.788527,0.052173,0.050718,-611.840700,-611.839245,
o  ts_endo_1134,-979.386211,0.205568,-979.168130,0.050836,0.049541,-979.218966,-979.217671,
o  ts_endo_1135,-3093.390148,0.204983,-3093.172395,0.052137,0.050730,-3093.224532,-3093.223125,
o  ts_endo_1136,-619.031380,0.206815,-618.812396,0.049715,0.048527,-618.862111,-618.860923,
o  ts_endo_1137,-347.883863,0.147135,-347.727471,0.041944,0.041601,-347.769416,-347.769072,
o  ts_endo_1138,-387.209977,0.175006,-387.024343,0.044993,0.044530,-387.069336,-387.068873,
