   GoodVibes v3.0.1 2023/07/27 15:06:49
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_exo_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_exo_1000,-383.399468,0.179275,-383.210524,0.042275,0.042183,-383.252799,-383.252707,
o  ts_exo_1001,-458.611219,0.184036,-458.416533,0.044908,0.044508,-458.461441,-458.461041,
o  ts_exo_1002,-436.322953,0.150820,-436.162259,0.043272,0.043132,-436.205531,-436.205391,
o  ts_exo_1003,-803.689170,0.142795,-803.537137,0.042046,0.041972,-803.579183,-803.579109,
o  ts_exo_1004,-2917.693273,0.142269,-2917.541525,0.043364,0.043258,-2917.584889,-2917.584783,
o  ts_exo_1005,-443.332473,0.144169,-443.179451,0.040756,0.040715,-443.220207,-443.220166,
o  ts_exo_1006,-748.331498,0.126105,-748.197493,0.039429,0.039350,-748.236922,-748.236843,
o  ts_exo_1007,-787.654376,0.153205,-787.491644,0.042890,0.042685,-787.534533,-787.534328,
o  ts_exo_1008,-862.862120,0.157780,-862.693720,0.045654,0.045253,-862.739374,-862.738973,
o  ts_exo_1009,-840.569249,0.124726,-840.434835,0.043791,0.043480,-840.478627,-840.478316,
o  ts_exo_1010,-1207.939206,0.116698,-1207.813428,0.042646,0.042403,-1207.856074,-1207.855831,
o  ts_exo_1011,-3321.942934,0.116112,-3321.817499,0.043929,0.043610,-3321.861427,-3321.861109,
o  ts_exo_1012,-847.583641,0.117980,-847.456918,0.041494,0.041309,-847.498413,-847.498227,
o  ts_exo_1013,-519.777803,0.215242,-519.551335,0.047323,0.046520,-519.598659,-519.597856,
o  ts_exo_1016,-612.019152,0.213699,-611.792378,0.051602,0.050433,-611.843980,-611.842811,
o  ts_exo_1017,-979.387791,0.205762,-979.169566,0.050462,0.049347,-979.220028,-979.218913,
o  ts_exo_1018,-3093.391786,0.204896,-3093.174094,0.051986,0.050619,-3093.226080,-3093.224713,
o  ts_exo_1019,-619.031002,0.207141,-618.811773,0.049326,0.048312,-618.861099,-618.860085,
o  ts_exo_1020,-313.183118,0.192473,-312.980201,0.044105,0.043787,-313.024307,-313.023989,
o  ts_exo_1021,-329.224590,0.181401,-329.032628,0.044282,0.043900,-329.076911,-329.076528,
o  ts_exo_1022,-733.476162,0.156180,-733.309994,0.044058,0.043593,-733.354052,-733.353587,
o  ts_exo_1023,-504.923380,0.244877,-504.665008,0.052515,0.051060,-504.717523,-504.716068,
o  ts_exo_1024,-388.397246,0.197068,-388.188610,0.047311,0.046539,-388.235921,-388.235149,
o  ts_exo_1025,-463.611199,0.201645,-463.396908,0.050047,0.049172,-463.446956,-463.446081,
o  ts_exo_1026,-404.437991,0.186103,-404.240309,0.047164,0.046465,-404.287473,-404.286774,
o  ts_exo_1027,-808.690510,0.160802,-808.518612,0.047126,0.046310,-808.565738,-808.564922,
o  ts_exo_1028,-580.137118,0.249653,-579.872934,0.055350,0.053501,-579.928284,-579.926435,
o  ts_exo_1029,-366.107853,0.164282,-365.933021,0.044962,0.044517,-365.977983,-365.977537,
o  ts_exo_1030,-441.321092,0.168725,-441.140655,0.048037,0.047347,-441.188693,-441.188003,
o  ts_exo_1031,-382.150075,0.153246,-381.986189,0.045063,0.044609,-382.031251,-382.030798,
o  ts_exo_1032,-786.398461,0.127871,-786.260496,0.044878,0.044312,-786.305373,-786.304807,
o  ts_exo_1033,-557.846679,0.216839,-557.616291,0.053206,0.051588,-557.669497,-557.667879,
o  ts_exo_1034,-749.518681,0.145092,-749.363473,0.044106,0.043722,-749.407580,-749.407196,
o  ts_exo_1035,-1153.767507,0.119830,-1153.638174,0.043804,0.043295,-1153.681979,-1153.681469,
o  ts_exo_1036,-925.215288,0.208709,-924.993593,0.052189,0.050637,-925.045783,-925.044230,
o  ts_exo_1037,-2847.479615,0.155695,-2847.313756,0.045185,0.044753,-2847.358941,-2847.358509,
o  ts_exo_1038,-2922.693755,0.160182,-2922.522244,0.048229,0.047543,-2922.570472,-2922.569786,
o  ts_exo_1039,-2863.522922,0.144408,-2863.368158,0.045466,0.045034,-2863.413624,-2863.413192,
o  ts_exo_1040,-3267.771514,0.119219,-3267.642580,0.045102,0.044528,-3267.687682,-3267.687109,
o  ts_exo_1041,-3039.219442,0.208361,-3038.997921,0.053350,0.051706,-3039.051272,-3039.049628,
o  ts_exo_1042,-373.118025,0.157532,-372.950829,0.042733,0.042394,-372.993561,-372.993222,
o  ts_exo_1043,-448.333209,0.162112,-448.160309,0.045685,0.045162,-448.205994,-448.205471,
o  ts_exo_1044,-389.162437,0.146182,-389.006383,0.043000,0.042731,-389.049383,-389.049114,
o  ts_exo_1045,-793.410475,0.121230,-793.280056,0.042608,0.042161,-793.322664,-793.322217,
o  ts_exo_1046,-564.858196,0.210205,-564.635352,0.050940,0.049505,-564.686291,-564.684856,
o  ts_exo_1047,-351.299764,0.199283,-351.090166,0.043781,0.043617,-351.133947,-351.133783,
o  ts_exo_1048,-426.514349,0.204511,-426.298684,0.045966,0.045605,-426.344650,-426.344289,
o  ts_exo_1049,-404.224418,0.171343,-404.042668,0.044594,0.044315,-404.087262,-404.086983,
o  ts_exo_1050,-771.591156,0.163279,-771.418077,0.043412,0.043226,-771.461489,-771.461303,
o  ts_exo_1051,-2885.595404,0.162776,-2885.422601,0.044721,0.044478,-2885.467322,-2885.467078,
o  ts_exo_1052,-411.233572,0.164588,-411.059563,0.042084,0.041955,-411.101648,-411.101518,
o  ts_exo_1053,-426.512740,0.203900,-426.297429,0.046827,0.046251,-426.344256,-426.343680,
o  ts_exo_1054,-501.723883,0.208767,-501.502797,0.049245,0.048414,-501.552042,-501.551212,
o  ts_exo_1055,-479.433728,0.175676,-479.246500,0.047985,0.047107,-479.294485,-479.293606,
