   GoodVibes v3.0.1 2023/07/27 15:12:34
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_non_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_1477,-233.282832,0.113031,-233.162511,0.036438,0.036446,-233.198949,-233.198957,
o  ts_1478,-272.604856,0.141033,-272.454950,0.040281,0.040218,-272.495231,-272.495168,
o  ts_1479,-347.805335,0.145415,-347.649831,0.043632,0.043255,-347.693463,-347.693086,
o  ts_1480,-288.642612,0.130350,-288.503458,0.040072,0.039977,-288.543530,-288.543435,
o  ts_1481,-692.883312,0.104798,-692.770086,0.040269,0.040138,-692.810354,-692.810224,
o  ts_1482,-464.341757,0.193328,-464.136428,0.049558,0.048036,-464.185986,-464.184464,
o  ts_1483,-272.603233,0.140253,-272.454071,0.040236,0.040205,-272.494307,-272.494276,
o  ts_1484,-311.924592,0.168494,-311.745662,0.043955,0.043720,-311.789617,-311.789382,
o  ts_1485,-387.125579,0.172938,-386.940970,0.047331,0.046756,-386.988301,-386.987726,
o  ts_1486,-327.963454,0.157945,-327.795251,0.043338,0.043194,-327.838589,-327.838445,
o  ts_1487,-732.204473,0.132188,-732.062247,0.043973,0.043684,-732.106219,-732.105930,
o  ts_1488,-503.665600,0.220982,-503.431118,0.052434,0.050996,-503.483552,-503.482115,
o  ts_1489,-347.817893,0.144892,-347.662979,0.043306,0.043071,-347.706286,-347.706051,
o  ts_1490,-387.140764,0.173191,-386.956027,0.046846,0.046472,-387.002874,-387.002499,
o  ts_1491,-462.339251,0.178140,-462.148587,0.049252,0.048741,-462.197839,-462.197328,
o  ts_1492,-403.182780,0.162656,-403.008851,0.045876,0.045635,-403.054726,-403.054486,
o  ts_1493,-807.420842,0.137010,-807.272680,0.046879,0.046350,-807.319559,-807.319030,
o  ts_1494,-578.882381,0.225838,-578.641959,0.054908,0.053465,-578.696867,-578.695424,
o  ts_1495,-325.527367,0.112119,-325.406251,0.041094,0.040983,-325.447345,-325.447233,
o  ts_1496,-364.852161,0.140085,-364.701476,0.044815,0.044549,-364.746292,-364.746026,
o  ts_1497,-440.051843,0.144709,-439.895248,0.048869,0.047722,-439.944117,-439.942970,
o  ts_1499,-785.126182,0.103746,-785.012260,0.044834,0.044374,-785.057094,-785.056634,
o  ts_1500,-556.588498,0.192340,-556.382373,0.053974,0.052038,-556.436348,-556.434411,
o  ts_1501,-692.895562,0.104075,-692.783104,0.039947,0.039928,-692.823051,-692.823032,
o  ts_1502,-732.218318,0.132233,-732.076166,0.043502,0.043339,-732.119668,-732.119505,
o  ts_1503,-807.415338,0.136839,-807.267393,0.046736,0.046174,-807.314130,-807.313567,
o  ts_1504,-748.259196,0.120940,-748.128184,0.043764,0.043547,-748.171948,-748.171731,
o  ts_1505,-1152.495122,0.096018,-1152.389605,0.043525,0.043208,-1152.433130,-1152.432813,
o  ts_1506,-923.955944,0.184556,-923.758312,0.052309,0.050675,-923.810621,-923.808987,
o  ts_1507,-2806.899506,0.103498,-2806.787420,0.041266,0.041219,-2806.828686,-2806.828640,
o  ts_1508,-2846.222076,0.131480,-2846.080390,0.045039,0.044791,-2846.125429,-2846.125182,
o  ts_1509,-2921.419312,0.136212,-2921.271777,0.048111,0.047341,-2921.319889,-2921.319118,
o  ts_1510,-2862.263253,0.120194,-2862.132686,0.045398,0.045005,-2862.178084,-2862.177691,
o  ts_1511,-3266.498650,0.095333,-3266.393584,0.044851,0.044430,-3266.438435,-3266.438015,
o  ts_1512,-3037.960093,0.183877,-3037.762891,0.053670,0.051808,-3037.816561,-3037.814699,
o  ts_1513,-332.538149,0.105471,-332.424603,0.038706,0.038704,-332.463309,-332.463307,
o  ts_1514,-371.860997,0.133630,-371.717715,0.042440,0.042313,-371.760155,-371.760028,
o  ts_1515,-447.057324,0.138056,-446.908418,0.045732,0.045248,-446.954150,-446.953666,
o  ts_1516,-387.900481,0.122652,-387.768215,0.042114,0.042021,-387.810329,-387.810235,
o  ts_1517,-792.138322,0.097357,-792.031738,0.042465,0.042192,-792.074204,-792.073930,
o  ts_1518,-563.597503,0.186021,-563.398718,0.051573,0.049807,-563.450291,-563.448525,
o  ts_1519,-271.395909,0.120204,-271.268596,0.036449,0.036450,-271.305045,-271.305046,
o  ts_1520,-310.717442,0.147250,-310.561446,0.040025,0.040007,-310.601471,-310.601453,
o  ts_1521,-385.932410,0.152440,-385.770375,0.042283,0.042113,-385.812658,-385.812489,
o  ts_1522,-363.641428,0.119293,-363.513351,0.040729,0.040658,-363.554080,-363.554009,
o  ts_1523,-731.008642,0.111131,-730.889271,0.039723,0.039706,-730.928994,-730.928977,
o  ts_1524,-2845.012761,0.110598,-2844.893697,0.041045,0.041007,-2844.934742,-2844.934704,
o  ts_1525,-370.651064,0.112424,-370.530752,0.038437,0.038434,-370.569189,-370.569186,
o  ts_1526,-310.719256,0.148279,-310.562298,0.040250,0.040173,-310.602547,-310.602470,
o  ts_1527,-350.040627,0.175430,-349.854898,0.043763,0.043566,-349.898661,-349.898464,
o  ts_1528,-425.257000,0.180746,-425.065171,0.045583,0.045420,-425.110754,-425.110591,
o  ts_1529,-402.967658,0.147293,-402.809949,0.044513,0.044298,-402.854462,-402.854247,
o  ts_1530,-770.332981,0.139204,-770.183906,0.043556,0.043387,-770.227461,-770.227293,
o  ts_1531,-2884.336967,0.138875,-2884.188116,0.044471,0.044276,-2884.232588,-2884.232392,
o  ts_1532,-409.975179,0.140547,-409.825134,0.042252,0.042125,-409.867386,-409.867260,
o  ts_1533,-385.921167,0.152691,-385.758613,0.043470,0.043065,-385.802082,-385.801678,
o  ts_1534,-425.242396,0.179779,-425.051063,0.047189,0.046599,-425.098252,-425.097661,
o  ts_1535,-500.457608,0.185117,-500.260149,0.049051,0.048405,-500.309200,-500.308554,
o  ts_1536,-478.164378,0.151795,-478.000899,0.048116,0.047328,-478.049015,-478.048227,
o  ts_1537,-845.532009,0.143654,-845.377297,0.046832,0.046177,-845.424129,-845.423474,
o  ts_1538,-2959.536091,0.143126,-2959.381672,0.048118,0.047365,-2959.429790,-2959.429036,
o  ts_1539,-485.172250,0.145252,-485.016368,0.045363,0.044841,-485.061730,-485.061208,
o  ts_1540,-326.757981,0.137549,-326.611867,0.039867,0.039782,-326.651734,-326.651649,
