   GoodVibes v3.0.1 2024/02/24 22:09:54
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output am1_cypro_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_10,0.191163,0.204077,0.405822,0.044523,0.044232,0.361299,0.361590,
o  ts_endo_11,0.186795,0.129123,0.325669,0.044003,0.043720,0.281666,0.281949,
o  ts_endo_12,0.081238,0.223834,0.316790,0.048169,0.047435,0.268621,0.269355,
o  ts_endo_13,0.054387,0.132880,0.196393,0.041953,0.041772,0.154441,0.154621,
o  ts_endo_14,0.187608,0.129745,0.327142,0.044124,0.043823,0.283018,0.283320,
o  ts_endo_15,0.044094,0.114495,0.170081,0.048217,0.047810,0.121864,0.122272,
o  ts_endo_16,0.178580,0.110765,0.301501,0.050216,0.049652,0.251285,0.251849,
o  ts_endo_1,0.200607,0.147802,0.356043,0.037669,0.037665,0.318374,0.318378,
o  ts_endo_9,0.213955,0.174677,0.401865,0.051398,0.050093,0.350468,0.351773,
o  ts_endoanti_2,0.199206,0.161397,0.371074,0.045421,0.044418,0.325652,0.326655,
o  ts_endoanti_3,0.248587,0.147616,0.405396,0.041958,0.041835,0.363438,0.363561,
o  ts_endoanti_4,0.189567,0.175698,0.374605,0.041907,0.041655,0.332698,0.332949,
o  ts_endoanti_5,0.185545,0.138486,0.332749,0.041178,0.041096,0.291572,0.291653,
o  ts_endoanti_6,0.200880,0.165340,0.375259,0.041032,0.040988,0.334227,0.334271,
o  ts_endoanti_7,0.127990,0.152517,0.289349,0.040615,0.040578,0.248734,0.248772,
o  ts_endoanti_8,0.125018,0.140667,0.274014,0.039805,0.039767,0.234209,0.234246,
   ********************************************************************************************************************************
