   GoodVibes v3.0.1 2024/02/24 22:10:33
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --csv --output dft_cypro_ts 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_endo_10,-351.221018,0.196254,-351.013593,0.045568,0.045346,-351.059161,-351.058939,
o  ts_endo_11,-1191.811939,0.123909,-1191.677842,0.044802,0.044512,-1191.722644,-1191.722354,
o  ts_endo_12,-539.776869,0.215132,-539.549850,0.047901,0.047458,-539.597751,-539.597308,
o  ts_endo_13,-471.110247,0.126852,-470.974015,0.042281,0.042158,-471.016296,-471.016173,
o  ts_endo_14,-1191.807425,0.124332,-1191.672595,0.045833,0.045481,-1191.718427,-1191.718076,
o  ts_endo_15,-1390.319836,0.109222,-1390.198639,0.049351,0.048926,-1390.247990,-1390.247566,
o  ts_endo_16,-2111.020745,0.106222,-2110.901795,0.051424,0.050899,-2110.953219,-2110.952693,
o  ts_endo_1,-272.593958,0.141670,-272.444220,0.038534,0.038515,-272.482754,-272.482736,
o  ts_endo_9,-853.985103,0.170825,-853.801133,0.051424,0.050012,-853.852557,-853.851144,
o  ts_endoanti_2,-563.295139,0.155866,-563.128529,0.045571,0.044904,-563.174100,-563.173433,
o  ts_endoanti_3,-364.837711,0.140750,-364.687189,0.043143,0.042936,-364.730332,-364.730125,
o  ts_endoanti_4,-311.913116,0.168912,-311.734495,0.042392,0.042303,-311.776887,-311.776798,
o  ts_endoanti_5,-732.210377,0.132857,-732.068363,0.042089,0.041958,-732.110452,-732.110321,
o  ts_endoanti_6,-327.951567,0.158411,-327.783618,0.041982,0.041906,-327.825600,-327.825524,
o  ts_endoanti_7,-347.823342,0.146270,-347.667805,0.041445,0.041393,-347.709250,-347.709198,
o  ts_endoanti_8,-371.851910,0.134618,-371.708565,0.040530,0.040495,-371.749094,-371.749060,
   ********************************************************************************************************************************
