   GoodVibes v3.0.1 2023/07/26 15:35:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts-1000-1_reactant_1,0.020919,0.023769,0.146921,0.177069,0.039889,0.039311,0.137179,0.137758,
o  ts-1000-1_reactant_2,-0.099918,-0.040777,0.039225,-0.056184,0.027165,0.027166,-0.083349,-0.083350,
o  ts-100-1_reactant_1,-0.014208,-0.009045,0.116412,0.114499,0.050761,0.048400,0.063738,0.066099,
o  ts-100-1_reactant_2,-0.095455,-0.036601,0.038988,-0.051943,0.027189,0.027190,-0.079132,-0.079133,
o  ts-101-1_reactant_1,0.036077,0.040825,0.172625,0.223544,0.056519,0.053850,0.167025,0.169693,
o  ts-101-1_reactant_2,-0.096461,-0.037539,0.039049,-0.052892,0.027182,0.027183,-0.080074,-0.080075,
o  ts-10-1_reactant_1,-0.059953,-0.058024,0.109882,0.059215,0.040138,0.039380,0.019077,0.019835,
o  ts-10-1_reactant_2,-0.102331,-0.042999,0.039373,-0.058458,0.027149,0.027150,-0.085607,-0.085608,
o  ts-102-1_reactant_1,-0.006445,-0.001750,0.144089,0.150601,0.051063,0.049390,0.099538,0.101210,
o  ts-102-1_reactant_2,-0.096651,-0.037712,0.039055,-0.053077,0.027182,0.027183,-0.080259,-0.080260,
o  ts-103-2_reactant_1,-0.099341,-0.095893,0.105058,0.017611,0.048809,0.047289,-0.031198,-0.029677,
o  ts-103-2_reactant_2,-0.103672,-0.044207,0.039465,-0.059709,0.027145,0.027146,-0.086855,-0.086856,
o  ts-104-2_reactant_1,0.033604,0.037206,0.154980,0.201431,0.050706,0.049335,0.150724,0.152095,
o  ts-104-2_reactant_2,-0.097972,-0.038953,0.039132,-0.054327,0.027172,0.027173,-0.081499,-0.081500,
o  ts-105-2_reactant_1,0.014772,0.017693,0.192792,0.220649,0.050019,0.048783,0.170629,0.171865,
o  ts-105-2_reactant_2,-0.097080,-0.038122,0.039084,-0.053468,0.027195,0.027196,-0.080663,-0.080664,
o  ts-106-1_reactant_1,0.017674,0.020977,0.164424,0.193950,0.047661,0.046330,0.146290,0.147620,
o  ts-106-1_reactant_2,-0.103174,-0.043799,0.039446,-0.059228,0.027148,0.027149,-0.086375,-0.086376,
o  ts-107-1_reactant_1,0.016830,0.022689,0.181796,0.211686,0.049782,0.048572,0.161904,0.163114,
o  ts-107-1_reactant_2,-0.094143,-0.035349,0.038892,-0.050724,0.027196,0.027197,-0.077920,-0.077921,
o  ts-108-1_reactant_1,0.022916,0.027510,0.209800,0.247343,0.054602,0.052217,0.192741,0.195127,
o  ts-108-1_reactant_2,-0.095121,-0.036220,0.038961,-0.051637,0.027189,0.027190,-0.078826,-0.078827,
o  ts-109-1_reactant_1,0.072582,0.078006,0.265658,0.355626,0.061646,0.058312,0.293980,0.297315,
o  ts-109-1_reactant_2,-0.094930,-0.036078,0.038942,-0.051465,0.027190,0.027191,-0.078655,-0.078656,
o  ts-110-1_reactant_1,0.033409,0.037767,0.237731,0.288021,0.059857,0.056856,0.228164,0.231165,
o  ts-110-1_reactant_2,-0.094996,-0.036121,0.038947,-0.051528,0.027187,0.027188,-0.078715,-0.078716,
o  ts-111-1_reactant_1,-0.064631,-0.060936,0.198893,0.149098,0.054762,0.052533,0.094336,0.096565,
o  ts-111-1_reactant_2,-0.101092,-0.041853,0.039313,-0.057277,0.027153,0.027154,-0.084431,-0.084432,
o  ts-11-1_reactant_1,-0.067088,-0.063685,0.127717,0.070866,0.042095,0.041259,0.028771,0.029607,
o  ts-11-1_reactant_2,-0.098970,-0.039848,0.039164,-0.055297,0.027167,0.027168,-0.082463,-0.082464,
o  ts-112-3_reactant_1,0.074314,0.078443,0.248433,0.339645,0.060484,0.057216,0.279161,0.282429,
o  ts-112-3_reactant_2,-0.095757,-0.036832,0.038992,-0.052247,0.027181,0.027182,-0.079428,-0.079429,
o  ts-113-1_reactant_1,-0.030942,-0.026504,0.109475,0.087928,0.041494,0.040494,0.046434,0.047434,
o  ts-113-1_reactant_2,-0.098414,-0.039350,0.039138,-0.054766,0.027168,0.027169,-0.081934,-0.081935,
o  ts-114-1_reactant_1,-0.025708,-0.022534,0.081098,0.063424,0.038245,0.037592,0.025179,0.025832,
o  ts-114-1_reactant_2,-0.099675,-0.040521,0.039222,-0.055942,0.027168,0.027169,-0.083110,-0.083111,
o  ts-115-2_reactant_1,-0.026638,-0.020991,0.098779,0.081192,0.040279,0.039623,0.040913,0.041568,
o  ts-115-2_reactant_2,-0.094155,-0.035353,0.038905,-0.050717,0.027205,0.027206,-0.077921,-0.077922,
o  ts-116-1_reactant_1,-0.021218,-0.016462,0.126317,0.115878,0.044949,0.043581,0.070930,0.072298,
o  ts-116-1_reactant_2,-0.094068,-0.035264,0.038898,-0.050635,0.027206,0.027207,-0.077841,-0.077842,
o  ts-117-2_reactant_1,0.027841,0.033096,0.182327,0.223628,0.051986,0.049729,0.171642,0.173899,
o  ts-117-2_reactant_2,-0.094508,-0.035667,0.038924,-0.051053,0.027202,0.027203,-0.078255,-0.078256,
o  ts-118-2_reactant_1,-0.010906,-0.005851,0.154582,0.155783,0.048057,0.046573,0.107726,0.109210,
o  ts-118-2_reactant_2,-0.094769,-0.035918,0.038916,-0.051328,0.027192,0.027193,-0.078521,-0.078522,
o  ts-119-2_reactant_1,-0.106155,-0.102608,0.114970,0.019245,0.044346,0.042996,-0.025100,-0.023751,
o  ts-119-2_reactant_2,-0.101144,-0.041880,0.039310,-0.057329,0.027157,0.027158,-0.084485,-0.084486,
