   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts-1000-1_reactant_1,-422.975907,-422.972427,0.140689,-422.825822,0.039994,0.039512,-422.865816,-422.865334,
o  ts-1000-1_reactant_2,-244.504311,-244.446572,0.035801,-244.463803,0.027463,0.027464,-244.491266,-244.491267,
o  ts-100-1_reactant_1,-5473.149572,-5473.145646,0.113828,-5473.023902,0.047391,0.046643,-5473.071293,-5473.070545,
o  ts-100-1_reactant_2,-244.504479,-244.446707,0.035776,-244.463985,0.027482,0.027484,-244.491468,-244.491469,
o  ts-101-3_reactant_1,-5664.880844,-5664.876171,0.165326,-5664.700558,0.055744,0.053600,-5664.756302,-5664.754158,
o  ts-101-3_reactant_2,-244.501860,-244.444566,0.035895,-244.461286,0.027415,0.027417,-244.488701,-244.488702,
o  ts-10-1_reactant_1,-730.164368,-730.161738,0.105717,-730.049252,0.039873,0.039421,-730.089125,-730.088674,
o  ts-10-1_reactant_2,-244.504771,-244.447046,0.035725,-244.464323,0.027493,0.027495,-244.491816,-244.491818,
o  ts-102-1_reactant_1,-5512.454446,-5512.450629,0.140795,-5512.300210,0.050955,0.049925,-5512.351164,-5512.350134,
o  ts-102-1_reactant_2,-244.501216,-244.444232,0.035816,-244.460731,0.027404,0.027405,-244.488134,-244.488136,
o  ts-103-1_reactant_1,-5493.018467,-5493.015309,0.101549,-5492.905249,0.047183,0.046444,-5492.952432,-5492.951693,
o  ts-103-1_reactant_2,-244.504766,-244.447050,0.035736,-244.464303,0.027499,0.027500,-244.491802,-244.491803,
o  ts-104-2_reactant_1,-5609.508939,-5609.505455,0.148250,-5609.346781,0.053128,0.051263,-5609.399909,-5609.398044,
o  ts-104-2_reactant_2,-244.503828,-244.446338,0.035767,-244.463352,0.027467,0.027469,-244.490820,-244.490821,
o  ts-105-1_reactant_1,-3075.218954,-3075.215069,0.185399,-3075.019682,0.052193,0.050258,-3075.071875,-3075.069939,
o  ts-105-1_reactant_2,-244.503493,-244.446054,0.035797,-244.462994,0.027454,0.027456,-244.490449,-244.490450,
o  ts-106-2_reactant_1,-3035.902898,-3035.899007,0.158133,-3035.732340,0.048690,0.047277,-3035.781030,-3035.779617,
o  ts-106-2_reactant_2,-244.504017,-244.446480,0.035762,-244.463547,0.027468,0.027469,-244.491015,-244.491016,
o  ts-107-2_reactant_1,-3091.274384,-3091.268992,0.174905,-3091.085715,0.051411,0.049942,-3091.137126,-3091.135657,
o  ts-107-2_reactant_2,-244.501875,-244.444528,0.035864,-244.461331,0.027417,0.027418,-244.488748,-244.488750,
o  ts-108-3_reactant_1,-3130.583393,-3130.578500,0.202607,-3130.365437,0.054968,0.053275,-3130.420405,-3130.418712,
o  ts-108-3_reactant_2,-244.501552,-244.444245,0.035860,-244.461014,0.027414,0.027415,-244.488429,-244.488430,
o  ts-109-3_reactant_1,-3322.320192,-3322.315297,0.254471,-3322.047335,0.063347,0.059946,-3322.110682,-3322.107281,
o  ts-109-3_reactant_2,-244.501522,-244.444201,0.035880,-244.460968,0.027409,0.027410,-244.488377,-244.488378,
o  ts-110-3_reactant_1,-3169.886619,-3169.881844,0.230437,-3169.639721,0.057191,0.055343,-3169.696912,-3169.695063,
o  ts-110-3_reactant_2,-244.503443,-244.445828,0.035846,-244.462908,0.027433,0.027434,-244.490341,-244.490342,
o  ts-111-1_reactant_1,-3150.461514,-3150.457526,0.190900,-3150.255691,0.054652,0.052607,-3150.310343,-3150.308297,
