   GoodVibes v3.0.1 2023/07/26 16:01:31
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  gs-1000-0,0.014462,0.017070,0.146794,0.170768,0.041273,0.040089,0.129495,0.130678,
o  gs-100-0,-0.030211,-0.025982,0.116477,0.098745,0.050691,0.048442,0.048054,0.050303,
o  gs-101-0,0.021062,0.025429,0.172539,0.208744,0.058581,0.054820,0.150163,0.153924,
o  gs-10-1,-0.063796,-0.060412,0.110057,0.055788,0.041857,0.040104,0.013931,0.015684,
o  gs-102-1,-0.019379,-0.015327,0.144281,0.138862,0.054239,0.051510,0.084624,0.087352,
o  gs-103-0,-0.102745,-0.099358,0.105094,0.014290,0.049036,0.047398,-0.034745,-0.033108,
o  gs-104-0,0.021938,0.024954,0.155203,0.191003,0.054745,0.051845,0.136258,0.139158,
o  gs-105-0,-0.000176,0.002721,0.192938,0.206913,0.053505,0.051072,0.153407,0.155841,
o  gs-106-0,0.010462,0.013121,0.165085,0.188027,0.049272,0.047543,0.138755,0.140484,
o  gs-107-0,-0.004076,0.000379,0.182572,0.192276,0.052007,0.050044,0.140269,0.142232,
o  gs-108-0,0.002014,0.005827,0.210286,0.227775,0.056664,0.053851,0.171111,0.173924,
o  gs-109-0,0.052404,0.057055,0.266265,0.336876,0.064902,0.060278,0.271974,0.276598,
o  gs-110-0,0.012727,0.016464,0.238002,0.267734,0.060372,0.057069,0.207362,0.210664,
o  gs-11-0,-0.079043,-0.075324,0.127782,0.059317,0.043298,0.042100,0.016019,0.017217,
o  gs-111-0,-0.070996,-0.067725,0.198742,0.142804,0.055743,0.053174,0.087062,0.089631,
o  gs-112-0,0.054564,0.058087,0.248861,0.320390,0.061028,0.057331,0.259362,0.263058,
o  gs-113-0,-0.045288,-0.042124,0.109220,0.073547,0.042396,0.041046,0.031152,0.032501,
o  gs-114-0,-0.035432,-0.032513,0.081316,0.053936,0.038453,0.037634,0.015483,0.016302,
o  gs-115-0,-0.049306,-0.044645,0.098980,0.058855,0.040703,0.039881,0.018152,0.018974,
o  gs-116-0,-0.043090,-0.039190,0.126698,0.094459,0.045226,0.043735,0.049234,0.050724,
o  gs-117-0,0.007431,0.012094,0.182715,0.203694,0.053290,0.050272,0.150404,0.153422,
o  gs-118-1,-0.032306,-0.028368,0.154358,0.134481,0.049490,0.047290,0.084991,0.087191,
o  gs-119-0,-0.116746,-0.113396,0.115013,0.008802,0.045433,0.043648,-0.036631,-0.034846,
o  gs-1-1,-0.075610,-0.072944,0.175411,0.111289,0.045151,0.043640,0.066139,0.067650,
o  gs-120-0,0.008959,0.012779,0.165229,0.186556,0.050594,0.047941,0.135962,0.138615,
o  gs-12-0,-0.072990,-0.069796,0.155483,0.094773,0.047925,0.046097,0.046849,0.048676,
o  gs-121-0,-0.020924,-0.018067,0.230836,0.224359,0.053181,0.050723,0.171178,0.173636,
o  gs-122-0,-0.012603,-0.009816,0.203175,0.203262,0.048716,0.047002,0.154546,0.156260,
o  gs-123-0,-0.025838,-0.021534,0.220511,0.208706,0.051785,0.049607,0.156921,0.159099,
o  gs-124-1,-0.019721,-0.015942,0.248174,0.244191,0.056357,0.053469,0.187834,0.190722,
o  gs-125-0,0.030829,0.034777,0.304176,0.353457,0.063950,0.059664,0.289507,0.293793,
o  gs-126-0,-0.008452,-0.004844,0.275997,0.284773,0.059652,0.056552,0.225121,0.228221,
o  gs-127-1,-0.093470,-0.090310,0.236680,0.158533,0.055387,0.052858,0.103146,0.105674,
o  gs-128-0,0.034245,0.037393,0.286786,0.338254,0.060836,0.057163,0.277418,0.281091,
o  gs-129-0,-0.019457,-0.016938,0.193672,0.188144,0.052433,0.050044,0.135711,0.138100,
