   GoodVibes v3.0.1 2023/07/26 15:24:10
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  gs-1000-0,-422.982708,-422.979532,0.140919,-422.832156,0.041160,0.040113,-422.873316,-422.872268,
o  gs-100-0,-5473.170984,-5473.166273,0.113614,-5473.044833,0.050307,0.048389,-5473.095140,-5473.093222,
o  gs-10-0,-730.174604,-730.170441,0.106367,-730.058864,0.039819,0.039353,-730.098683,-730.098217,
o  gs-101-1,-5664.907523,-5664.902993,0.166027,-5664.726254,0.057699,0.054613,-5664.783952,-5664.780866,
o  gs-102-0,-5512.478641,-5512.474444,0.141310,-5512.323547,0.052446,0.050864,-5512.375993,-5512.374411,
o  gs-103-0,-5493.031801,-5493.028637,0.101661,-5492.918092,0.048979,0.047551,-5492.967071,-5492.965643,
o  gs-104-0,-5609.528876,-5609.525536,0.148813,-5609.365981,0.054224,0.051925,-5609.420205,-5609.417905,
o  gs-105-1,-3075.236299,-3075.232883,0.185295,-3075.036639,0.053111,0.051238,-3075.089750,-3075.087877,
o  gs-106-0,-3035.912539,-3035.908971,0.158168,-3035.741695,0.049394,0.047842,-3035.791089,-3035.789537,
o  gs-107-0,-3091.305587,-3091.300286,0.175420,-3091.116111,0.052585,0.050530,-3091.168697,-3091.166641,
o  gs-108-0,-3130.614517,-3130.609831,0.203243,-3130.395616,0.056632,0.053994,-3130.452248,-3130.449610,
o  gs-109-0,-3322.351480,-3322.346741,0.255458,-3322.077548,0.064748,0.060443,-3322.142296,-3322.137991,
o  gs-1-0,-349.204072,-349.201185,0.170310,-349.022451,0.043866,0.042841,-349.066318,-349.065292,
o  gs-110-1,-3169.922443,-3169.918056,0.230701,-3169.674760,0.059138,0.056621,-3169.733898,-3169.731381,
o  gs-11-0,-785.567708,-785.563903,0.123959,-785.433143,0.042926,0.041912,-785.476069,-785.475055,
o  gs-111-0,-3150.476289,-3150.472677,0.191211,-3150.269836,0.055629,0.053291,-3150.325465,-3150.323127,
o  gs-112-0,-3266.972477,-3266.968602,0.238316,-3266.716892,0.060867,0.057589,-3266.777758,-3266.774480,
o  gs-113-2,-2844.183741,-2844.180566,0.105901,-2844.068327,0.042310,0.040977,-2844.110637,-2844.109304,
o  gs-114-0,-2804.861643,-2804.858403,0.078669,-2804.775101,0.037092,0.037007,-2804.812193,-2804.812109,
o  gs-115-0,-2860.253105,-2860.248210,0.096025,-2860.147891,0.040797,0.039849,-2860.188689,-2860.187740,
o  gs-116-0,-2899.561488,-2899.557011,0.123686,-2899.426954,0.045109,0.043644,-2899.472063,-2899.470597,
o  gs-117-0,-3091.298658,-3091.294284,0.176133,-3091.109001,0.052357,0.049790,-3091.161357,-3091.158790,
o  gs-118-0,-2938.867387,-2938.862930,0.151128,-2938.704214,0.047092,0.045889,-2938.751307,-2938.750104,
o  gs-119-0,-2919.425959,-2919.422574,0.111712,-2919.303915,0.043616,0.042661,-2919.347531,-2919.346576,
o  gs-120-0,-3035.917738,-3035.914006,0.158547,-3035.746736,0.049331,0.047360,-3035.796067,-3035.794095,
o  gs-12-0,-824.875869,-824.872534,0.151331,-824.712177,0.047600,0.045989,-824.759778,-824.758166,
o  gs-121-1,-540.939982,-540.936594,0.222692,-540.702799,0.052444,0.050335,-540.755243,-540.753134,
o  gs-122-0,-501.619639,-501.615997,0.195337,-501.411394,0.048671,0.047233,-501.460065,-501.458627,
o  gs-123-0,-557.010571,-557.005546,0.212703,-556.783663,0.051322,0.049637,-556.834985,-556.833300,
o  gs-124-0,-596.319772,-596.315333,0.240432,-596.063488,0.055558,0.053286,-596.119046,-596.116773,
o  gs-125-1,-788.058189,-788.053753,0.292492,-787.746987,0.063186,0.059540,-787.810174,-787.806527,
o  gs-126-0,-635.625772,-635.621694,0.267621,-635.340896,0.058685,0.056230,-635.399580,-635.397125,
o  gs-127-0,-616.181534,-616.177960,0.227911,-615.938034,0.055115,0.052846,-615.993149,-615.990880,
o  gs-128-1,-732.676752,-732.672896,0.275000,-732.384142,0.060252,0.057201,-732.444394,-732.441343,
o  gs-129-0,-961.230512,-961.226488,0.186125,-961.030347,0.051834,0.049851,-961.082181,-961.080198,
o  gs-130-0,-921.909213,-921.904941,0.158811,-921.737947,0.048332,0.046760,-921.786279,-921.784707,
o  gs-13-0,-1016.612647,-1016.609360,0.203627,-1016.393935,0.055106,0.052383,-1016.449041,-1016.446319,
o  gs-131-0,-977.300177,-977.294465,0.176301,-977.110107,0.050980,0.049203,-977.161087,-977.159310,
o  gs-132-0,-1016.609710,-1016.604598,0.203930,-1016.390313,0.055636,0.052976,-1016.445950,-1016.443289,
o  gs-133-1,-1208.347521,-1208.342515,0.256374,-1208.073040,0.062018,0.058654,-1208.135057,-1208.131693,
o  gs-134-0,-1055.916450,-1055.911945,0.231249,-1055.668402,0.058394,0.055719,-1055.726796,-1055.724122,
o  gs-135-0,-1036.470463,-1036.466594,0.191583,-1036.263786,0.054635,0.052313,-1036.318421,-1036.316099,
o  gs-136-0,-1152.967031,-1152.962901,0.238670,-1152.711199,0.060050,0.056766,-1152.771249,-1152.767964,
o  gs-137-0,-3075.234952,-3075.231352,0.185416,-3075.035113,0.053377,0.051348,-3075.088490,-3075.086461,
o  gs-138-0,-3035.913043,-3035.908746,0.158019,-3035.742252,0.050046,0.048092,-3035.792298,-3035.790344,
o  gs-139-0,-3091.304269,-3091.298538,0.175601,-3091.114597,0.052423,0.050459,-3091.167020,-3091.165056,
o  gs-140-0,-3130.613844,-3130.608691,0.203099,-3130.394956,0.057104,0.054252,-3130.452059,-3130.449207,
o  gs-14-0,-864.181131,-864.177135,0.178435,-863.988797,0.050962,0.049333,-864.039760,-864.038130,
o  gs-141-1,-3322.351529,-3322.346491,0.255882,-3322.077277,0.063385,0.059761,-3322.140661,-3322.137038,
o  gs-142-1,-3169.920777,-3169.916268,0.230741,-3169.673009,0.059462,0.056705,-3169.732471,-3169.729715,
o  gs-143-0,-3150.474564,-3150.470686,0.190989,-3150.268231,0.055904,0.053440,-3150.324136,-3150.321672,
o  gs-144-0,-3266.971431,-3266.967304,0.238064,-3266.715936,0.061478,0.057935,-3266.777414,-3266.773871,
o  gs-145-1,-732.675435,-732.671786,0.274914,-732.382940,0.059858,0.057075,-732.442798,-732.440016,
o  gs-146-0,-693.352516,-693.347929,0.247512,-693.088968,0.057288,0.054267,-693.146256,-693.143235,
o  gs-147-0,-748.745236,-748.739785,0.265145,-748.462869,0.058997,0.056213,-748.521865,-748.519081,
o  gs-148-1,-788.054606,-788.049790,0.292552,-787.743079,0.063898,0.060075,-787.806976,-787.803153,
o  gs-149-1,-979.792652,-979.787825,0.344702,-979.426173,0.071192,0.066080,-979.497365,-979.492253,
o  gs-150-1,-827.361765,-827.357486,0.320424,-827.021195,0.065710,0.062262,-827.086904,-827.083456,
o  gs-15-0,-844.737643,-844.734875,0.139331,-844.586445,0.046426,0.045117,-844.632872,-844.631562,
o  gs-151-0,-807.916210,-807.912287,0.280423,-807.617223,0.062748,0.059323,-807.679971,-807.676545,
o  gs-152-1,-924.412020,-924.407855,0.327644,-924.063784,0.067952,0.063546,-924.131735,-924.127329,
o  gs-153-0,-501.624364,-501.620283,0.195679,-501.416052,0.048850,0.046785,-501.464903,-501.462837,
o  gs-154-0,-462.301456,-462.297299,0.168084,-462.122199,0.044517,0.043532,-462.166716,-462.165731,
o  gs-155-0,-517.693679,-517.687974,0.185282,-517.495819,0.048461,0.046555,-517.544280,-517.542374,
o  gs-156-0,-557.002250,-556.997189,0.213172,-556.774966,0.052078,0.049759,-556.827044,-556.824726,
o  gs-157-0,-748.741162,-748.736162,0.265674,-748.458688,0.059066,0.055752,-748.517754,-748.514440,
o  gs-158-1,-596.308194,-596.303683,0.241256,-596.051880,0.053084,0.051413,-596.104964,-596.103293,
o  gs-159-0,-576.864622,-576.860584,0.200906,-576.649975,0.051415,0.049271,-576.701390,-576.699246,
o  gs-160-0,-693.359665,-693.355355,0.248205,-693.095792,0.055711,0.053154,-693.151504,-693.148946,
o  gs-16-0,-961.231671,-961.228497,0.186218,-961.031303,0.052690,0.050414,-961.083993,-961.081717,
o  gs-161-0,-309.891895,-309.888877,0.143038,-309.738987,0.040495,0.039759,-309.779482,-309.778746,
o  gs-162-0,-270.569156,-270.566109,0.115312,-270.445440,0.036897,0.036467,-270.482337,-270.481908,
o  gs-163-0,-325.958285,-325.953506,0.132843,-325.815771,0.039976,0.039267,-325.855747,-325.855037,
o  gs-164-0,-365.266822,-365.262219,0.160598,-365.095017,0.044025,0.042804,-365.139042,-365.137821,
o  gs-165-0,-557.004014,-556.999556,0.213002,-556.777178,0.051387,0.049197,-556.828565,-556.826375,
