   GoodVibes v3.0.1 2023/07/26 15:58:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts-1000-1,-0.088082,-0.040534,0.188156,0.113535,0.051673,0.049294,0.061862,0.064241,
o  ts-100-1,-0.125606,-0.077901,0.158473,0.048886,0.058281,0.055695,-0.009394,-0.006808,
o  ts-101-1,-0.078738,-0.033292,0.214405,0.154382,0.065354,0.061592,0.089027,0.092790,
o  ts-10-1,-0.162642,-0.114188,0.151297,0.001883,0.050244,0.048531,-0.048361,-0.046647,
o  ts-102-1,-0.109897,-0.062021,0.186196,0.093810,0.062109,0.058834,0.031701,0.034976,
o  ts-103-2,-0.201210,-0.148103,0.145983,-0.039047,0.060034,0.056571,-0.099081,-0.095617,
o  ts-104-2,-0.068929,-0.020931,0.196622,0.145431,0.063726,0.059822,0.081705,0.085609,
o  ts-105-2,-0.085827,-0.039470,0.234525,0.166521,0.061572,0.058715,0.104950,0.107806,
o  ts-106-1,-0.083746,-0.033236,0.205364,0.138617,0.061463,0.057641,0.077154,0.080976,
o  ts-107-1,-0.090385,-0.044214,0.224037,0.151260,0.061027,0.058160,0.090233,0.093101,
o  ts-108-1,-0.085827,-0.040867,0.252030,0.185312,0.064374,0.061302,0.120939,0.124011,
o  ts-109-1,-0.037656,0.005454,0.307723,0.292029,0.072304,0.067509,0.219726,0.224520,
o  ts-110-1,-0.069856,-0.025318,0.279826,0.230381,0.067042,0.063779,0.163339,0.166601,
o  ts-111-1,-0.162237,-0.110870,0.239791,0.096692,0.065822,0.061773,0.030870,0.034919,
o  ts-11-1,-0.170251,-0.121932,0.169325,0.013253,0.052238,0.050158,-0.038985,-0.036904,
o  ts-112-3,-0.027847,0.015781,0.290232,0.283047,0.068677,0.064711,0.214370,0.218336,
o  ts-113-1,-0.133415,-0.084016,0.150619,0.030696,0.052157,0.049866,-0.021461,-0.019170,
o  ts-114-1,-0.127682,-0.080194,0.122324,0.006696,0.048472,0.046830,-0.041776,-0.040135,
o  ts-115-2,-0.136044,-0.088160,0.140853,0.017587,0.049173,0.047936,-0.031585,-0.030349,
o  ts-116-1,-0.129516,-0.082093,0.168315,0.053324,0.053691,0.051783,-0.000367,0.001542,
o  ts-117-2,-0.082639,-0.037949,0.224139,0.158799,0.061378,0.058000,0.097421,0.100799,
o  ts-118-2,-0.114650,-0.067249,0.195754,0.097283,0.058604,0.055656,0.038679,0.041627,
o  ts-119-2,-0.207460,-0.157639,0.156024,-0.036885,0.055215,0.052362,-0.092100,-0.089247,
o  ts-1-1,-0.161689,-0.114674,0.217983,0.070906,0.053092,0.050793,0.017814,0.020113,
o  ts-120-1,-0.079823,-0.032976,0.206328,0.142779,0.058723,0.055900,0.084056,0.086880,
o  ts-121-2,-0.097144,-0.050572,0.273729,0.194050,0.059992,0.057062,0.134059,0.136989,
o  ts-12-1,-0.163639,-0.116171,0.196966,0.049195,0.056710,0.054046,-0.007515,-0.004851,
o  ts-122-1,-0.097684,-0.052984,0.245273,0.163637,0.055970,0.054070,0.107667,0.109567,
o  ts-123-2,-0.097907,-0.050416,0.263128,0.182526,0.059120,0.056535,0.123406,0.125991,
o  ts-124-3,-0.092252,-0.045535,0.290891,0.217561,0.063207,0.059990,0.154354,0.157571,
o  ts-125-1,-0.047187,-0.003507,0.347000,0.321352,0.069973,0.065716,0.251379,0.255636,
o  ts-126-2,-0.079143,-0.033678,0.318760,0.259790,0.065629,0.062432,0.194160,0.197357,
o  ts-127-1,-0.175051,-0.128414,0.278909,0.122545,0.063320,0.059954,0.059225,0.062591,
o  ts-128-1,-0.042192,0.002442,0.329263,0.307421,0.067008,0.063205,0.240413,0.244216,
o  ts-129-1,-0.104193,-0.055093,0.235453,0.148697,0.061758,0.057844,0.086938,0.090852,
o  ts-130-2,-0.101475,-0.054545,0.207290,0.121839,0.057165,0.054607,0.064674,0.067232,
o  ts-131-1,-0.105290,-0.056842,0.225898,0.137416,0.058545,0.055845,0.078871,0.081571,
o  ts-13-1,-0.116759,-0.070350,0.252858,0.154771,0.064645,0.060510,0.090127,0.094261,
o  ts-132-1,-0.099666,-0.051626,0.253354,0.172338,0.063368,0.059848,0.108970,0.112490,
o  ts-133-1,-0.053600,-0.008413,0.309383,0.277076,0.070152,0.065604,0.206923,0.211472,
o  ts-134-1,-0.085281,-0.038587,0.280853,0.215661,0.066333,0.062757,0.149327,0.152904,
o  ts-135-1,-0.178242,-0.128590,0.240541,0.081068,0.064499,0.060603,0.016569,0.020465,
o  ts-136-1,-0.047940,-0.001587,0.291202,0.263527,0.067547,0.063459,0.195980,0.200068,
o  ts-137-1,-0.084925,-0.037829,0.234465,0.167436,0.063046,0.059181,0.104390,0.108255,
o  ts-138-2,-0.084546,-0.036826,0.206450,0.138266,0.058668,0.055905,0.079598,0.082361,
o  ts-139-1,-0.089240,-0.040876,0.225102,0.152999,0.059430,0.056903,0.093569,0.096096,
o  ts-140-2,-0.083568,-0.035599,0.252743,0.188025,0.064039,0.060649,0.123986,0.127375,
o  ts-141-1,-0.037308,0.007937,0.308692,0.292934,0.071132,0.066506,0.221802,0.226428,
o  ts-14-1,-0.148311,-0.102018,0.224852,0.093850,0.059763,0.056983,0.034087,0.036867,
o  ts-142-1,-0.068838,-0.021977,0.280153,0.231691,0.067645,0.063807,0.164046,0.167884,
o  ts-143-1,-0.160560,-0.112113,0.240021,0.098420,0.065200,0.061392,0.033220,0.037028,
o  ts-144-1,-0.030697,0.016032,0.290389,0.280309,0.068840,0.064570,0.211470,0.215739,
o  ts-145-2,-0.046760,-0.001408,0.328499,0.302421,0.067642,0.063784,0.234779,0.238637,
o  ts-146-1,-0.044662,0.000681,0.300260,0.274929,0.064837,0.061234,0.210092,0.213695,
o  ts-147-1,-0.047789,-0.002807,0.318770,0.291180,0.065542,0.062420,0.225638,0.228760,
o  ts-148-1,-0.040783,0.004071,0.346131,0.327376,0.070603,0.066376,0.256774,0.261000,
o  ts-149-1,0.004969,0.047490,0.402088,0.431791,0.077669,0.072165,0.354122,0.359626,
o  ts-150-1,-0.028619,0.015192,0.373883,0.368664,0.073538,0.069114,0.295126,0.299550,
o  ts-151-1,-0.119741,-0.074547,0.334261,0.236310,0.071623,0.066797,0.164687,0.169513,
o  ts-15-1,-0.242642,-0.193625,0.185355,-0.041750,0.055938,0.053525,-0.097688,-0.095275,
o  ts-152-1,0.012052,0.055717,0.383966,0.419744,0.075254,0.070131,0.344490,0.349614,
o  ts-153-1,-0.094112,-0.046932,0.244885,0.167093,0.058011,0.054989,0.109082,0.112105,
o  ts-154-1,-0.084450,-0.037102,0.216754,0.147080,0.054114,0.051701,0.092966,0.095379,
o  ts-155-2,-0.093147,-0.044712,0.234577,0.157399,0.057282,0.054192,0.100117,0.103207,
o  ts-156-2,-0.086603,-0.039065,0.262153,0.193183,0.061555,0.057951,0.131628,0.135232,
o  ts-157-1,-0.039508,0.004499,0.318373,0.299060,0.067642,0.063226,0.231418,0.235834,
o  ts-158-2,-0.075186,-0.028867,0.290020,0.233842,0.064172,0.060595,0.169670,0.173247,
o  ts-159-2,-0.171010,-0.123366,0.250328,0.096652,0.060607,0.057342,0.036045,0.039310,
o  ts-160-1,-0.040995,0.004397,0.300538,0.278693,0.064757,0.061019,0.213936,0.217674,
o  ts-161-1,-0.161938,-0.115449,0.189470,0.040919,0.050308,0.048511,-0.009389,-0.007592,
o  ts-16-1,-0.113132,-0.066153,0.235262,0.139646,0.061421,0.057896,0.078225,0.081750,
o  ts-162-1,-0.154067,-0.107043,0.160899,0.019002,0.047427,0.046003,-0.028425,-0.027002,
o  ts-163-2,-0.164090,-0.117377,0.179455,0.028303,0.048710,0.047326,-0.020406,-0.019023,
o  ts-164-2,-0.157444,-0.111301,0.206983,0.064222,0.053268,0.051270,0.010954,0.012952,
o  ts-165-1,-0.111585,-0.068275,0.263008,0.168787,0.060170,0.057237,0.108617,0.111549,
o  ts-166-1,-0.139726,-0.092425,0.234098,0.110699,0.058127,0.055050,0.052572,0.055649,
o  ts-167-1,-0.237984,-0.189416,0.194084,-0.029007,0.054814,0.052224,-0.083820,-0.081230,
o  ts-168-1,-0.105107,-0.056772,0.244419,0.155898,0.059306,0.055955,0.096592,0.099943,
o  ts-169-2,-0.168777,-0.117258,0.151169,-0.004298,0.051320,0.048936,-0.055618,-0.053234,
o  ts-170-1,-0.160688,-0.108426,0.122742,-0.025840,0.049016,0.046660,-0.074855,-0.072500,
o  ts-171-1,-0.168674,-0.118368,0.140677,-0.014966,0.050259,0.048178,-0.065224,-0.063143,
o  ts-17-1,-0.151882,-0.103761,0.179339,0.042059,0.053904,0.051770,-0.011845,-0.009711,
o  ts-172-1,-0.162251,-0.112451,0.168290,0.020824,0.055549,0.052504,-0.034725,-0.031680,
o  ts-173-2,-0.115487,-0.065269,0.224308,0.126364,0.062852,0.058524,0.063512,0.067840,
o  ts-174-1,-0.145863,-0.098533,0.196435,0.066663,0.058009,0.054977,0.008655,0.011686,
o  ts-175-1,-0.241930,-0.190001,0.156530,-0.070855,0.055253,0.052031,-0.126109,-0.122887,
o  ts-176-1,-0.110756,-0.061304,0.206660,0.112243,0.059372,0.055817,0.052871,0.056426,
o  ts-177-2,-0.151077,-0.099285,0.150454,0.013009,0.052792,0.050287,-0.039783,-0.037278,
o  ts-178-1,-0.143479,-0.091297,0.121975,-0.009176,0.050231,0.047739,-0.059407,-0.056915,
o  ts-179-1,-0.152026,-0.100903,0.140023,0.001252,0.051396,0.049260,-0.050144,-0.048008,
o  ts-180-1,-0.145393,-0.095134,0.167696,0.037248,0.055881,0.053131,-0.018632,-0.015883,
o  ts-181-1,-0.096911,-0.047671,0.223616,0.144478,0.063947,0.059536,0.080531,0.084943,
o  ts-182-2,-0.129872,-0.082202,0.195759,0.082272,0.059647,0.056237,0.022625,0.026034,
o  ts-18-2,-0.147597,-0.096800,0.150437,0.016416,0.051754,0.049876,-0.035339,-0.033460,
o  ts-183-1,-0.224863,-0.172099,0.155769,-0.054295,0.056607,0.053204,-0.110902,-0.107499,
o  ts-184-1,-0.094459,-0.044937,0.206063,0.128161,0.059926,0.056556,0.068235,0.071605,
o  ts-185-1,-0.110640,-0.064889,0.244917,0.150611,0.057444,0.054926,0.093167,0.095685,
o  ts-186-2,-0.105350,-0.055327,0.216362,0.126143,0.055175,0.052687,0.070967,0.073456,
o  ts-187-1,-0.113584,-0.068952,0.234697,0.137142,0.056646,0.054231,0.080496,0.082911,
o  ts-188-1,-0.107218,-0.062861,0.262398,0.172918,0.061304,0.058058,0.111614,0.114860,
o  ts-189-1,-0.060543,-0.018618,0.318486,0.278279,0.067477,0.063557,0.210803,0.214722,
