   GoodVibes v3.0.1 2023/07/26 15:26:00
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts-1000-1,-667.497043,-667.450225,0.178519,-667.304920,0.051335,0.049232,-667.356255,-667.354152,
o  ts-100-1,-5717.672891,-5717.626902,0.151514,-5717.505161,0.057802,0.055829,-5717.562963,-5717.560989,
o  ts-101-3,-5909.417418,-5909.376327,0.204025,-5909.194361,0.065465,0.061940,-5909.259826,-5909.256301,
o  ts-10-1,-974.686292,-974.641632,0.143965,-974.528970,0.049928,0.048443,-974.578899,-974.577413,
o  ts-102-1,-5756.966917,-5756.922192,0.178513,-5756.770553,0.062556,0.059393,-5756.833110,-5756.829947,
o  ts-103-1,-5737.536824,-5737.490858,0.138957,-5737.381687,0.059240,0.056185,-5737.440927,-5737.437872,
o  ts-104-2,-5854.026405,-5853.981878,0.185625,-5853.822400,0.065268,0.060957,-5853.887668,-5853.883358,
o  ts-105-1,-3319.736191,-3319.691208,0.223060,-3319.494942,0.062683,0.059228,-3319.557625,-3319.554170,
o  ts-106-2,-3280.419879,-3280.374461,0.195204,-3280.207731,0.060373,0.057059,-3280.268104,-3280.264790,
o  ts-107-2,-3335.808149,-3335.765344,0.214196,-3335.576485,0.059475,0.057505,-3335.635960,-3335.633990,
o  ts-108-3,-3375.116187,-3375.074082,0.241349,-3374.855543,0.063928,0.061422,-3374.919471,-3374.916965,
o  ts-109-3,-3566.858414,-3566.818919,0.293388,-3566.542823,0.071624,0.067524,-3566.614447,-3566.610347,
o  ts-110-3,-3414.412310,-3414.369139,0.268306,-3414.123381,0.066848,0.063908,-3414.190229,-3414.187289,
o  ts-111-1,-3394.975434,-3394.928324,0.227735,-3394.728111,0.066733,0.062480,-3394.794844,-3394.790591,
o  ts-11-1,-1030.070498,-1030.024186,0.161774,-1029.894286,0.052481,0.050497,-1029.946767,-1029.944782,
o  ts-112-3,-3511.476756,-3511.433422,0.275504,-3511.179974,0.068597,0.065332,-3511.248571,-3511.245306,
o  ts-113-1,-3088.691965,-3088.645595,0.143309,-3088.534999,0.051336,0.049741,-3088.586335,-3088.584740,
o  ts-114-1,-3049.369974,-3049.323957,0.115845,-3049.241970,0.048211,0.046856,-3049.290180,-3049.288825,
o  ts-115-1,-3104.754735,-3104.708760,0.134244,-3104.607581,0.049067,0.048062,-3104.656649,-3104.655643,
o  ts-116-1,-3144.061830,-3144.016547,0.161396,-3143.885777,0.053340,0.051846,-3143.939117,-3143.937623,
o  ts-117-2,-3335.802587,-3335.759835,0.213370,-3335.571621,0.061931,0.058400,-3335.633552,-3335.630021,
o  ts-118-1,-3183.365605,-3183.319582,0.188554,-3183.160892,0.057188,0.055017,-3183.218081,-3183.215909,
o  ts-119-1,-3163.925163,-3163.878441,0.148550,-3163.761924,0.054547,0.052188,-3163.816471,-3163.814112,
o  ts-120-2,-3280.424259,-3280.379996,0.196168,-3280.211610,0.057995,0.055640,-3280.269606,-3280.267250,
o  ts-121-3,-785.436248,-785.390799,0.260257,-785.158002,0.059410,0.057523,-785.217412,-785.215525,
o  ts-12-1,-1069.376759,-1069.331077,0.189159,-1069.171470,0.056655,0.054279,-1069.228125,-1069.225749,
o  ts-122-2,-746.120683,-746.077555,0.233336,-745.870901,0.056611,0.054705,-745.927512,-745.925606,
o  ts-123-4,-801.498735,-801.452453,0.250770,-801.230434,0.058427,0.056537,-801.288861,-801.286971,
o  ts-124-4,-840.804348,-840.758980,0.278254,-840.506988,0.062194,0.059920,-840.569182,-840.566908,
o  ts-125-8,-1032.547236,-1032.503564,0.329518,-1032.195428,0.071362,0.067022,-1032.266790,-1032.262450,
o  ts-126-2,-880.098479,-880.055246,0.305678,-879.772509,0.065115,0.062319,-879.837624,-879.834828,
o  ts-127-3,-860.676350,-860.630923,0.265535,-860.391732,0.062440,0.060058,-860.454171,-860.451789,
o  ts-128-3,-977.171155,-977.127184,0.312643,-976.837336,0.067641,0.064366,-976.904977,-976.901703,
o  ts-129-2,-1205.730794,-1205.684868,0.223779,-1205.489236,0.060292,0.057606,-1205.549528,-1205.546842,
o  ts-1-2,-593.704678,-593.658832,0.208231,-593.481528,0.052846,0.050981,-593.534374,-593.532509,
o  ts-130-1,-1166.417097,-1166.372223,0.196912,-1166.203964,0.057139,0.054665,-1166.261102,-1166.258628,
o  ts-131-3,-1221.798872,-1221.751899,0.213974,-1221.567500,0.058803,0.056728,-1221.626303,-1221.624228,
o  ts-13-1,-1261.118163,-1261.074860,0.241212,-1260.857962,0.064614,0.060709,-1260.922575,-1260.918670,
o  ts-132-3,-1261.105145,-1261.059128,0.241346,-1260.844709,0.063196,0.060465,-1260.907906,-1260.905174,
o  ts-133-3,-1452.846657,-1452.802277,0.292961,-1452.531552,0.071414,0.067109,-1452.602966,-1452.598661,
o  ts-134-3,-1300.397772,-1300.353641,0.269043,-1300.108490,0.065794,0.062737,-1300.174285,-1300.171228,
o  ts-135-2,-1280.973024,-1280.929233,0.229327,-1280.724822,0.063266,0.060242,-1280.788088,-1280.785064,
o  ts-136-4,-1397.461275,-1397.417453,0.276332,-1397.164087,0.068415,0.064297,-1397.232502,-1397.228385,
o  ts-137-2,-3319.740059,-3319.696166,0.223050,-3319.498838,0.061890,0.059132,-3319.560727,-3319.557969,
o  ts-138-1,-3280.421972,-3280.377424,0.196178,-3280.209274,0.058777,0.055943,-3280.268050,-3280.265216,
o  ts-139-3,-3335.803065,-3335.756260,0.213452,-3335.572011,0.059803,0.057616,-3335.631813,-3335.629627,
o  ts-140-4,-3375.109428,-3375.063601,0.240540,-3374.849506,0.064235,0.061479,-3374.913741,-3374.910985,
o  ts-141-3,-3566.842725,-3566.800809,0.293202,-3566.527338,0.072541,0.067614,-3566.599879,-3566.594952,
o  ts-14-1,-1108.669483,-1108.624794,0.216949,-1108.435395,0.057896,0.056089,-1108.493291,-1108.491485,
o  ts-142-2,-3414.402638,-3414.358642,0.268361,-3414.113672,0.067319,0.063986,-3414.180991,-3414.177658,
o  ts-143-3,-3394.977354,-3394.933190,0.228395,-3394.729752,0.064720,0.061513,-3394.794473,-3394.791265,
o  ts-144-2,-3511.468474,-3511.424782,0.275296,-3511.171865,0.069714,0.065518,-3511.241579,-3511.237383,
o  ts-145-5,-977.173094,-977.129309,0.312403,-976.839367,0.068521,0.064680,-976.907888,-976.904047,
o  ts-146-3,-937.856850,-937.814670,0.286293,-937.551083,0.063572,0.061002,-937.614656,-937.612086,
o  ts-147-3,-993.233860,-993.191034,0.303966,-992.909556,0.065484,0.062516,-992.975040,-992.972073,
o  ts-148-5,-1032.541763,-1032.499484,0.330886,-1032.188690,0.070118,0.066489,-1032.258808,-1032.255179,
o  ts-149-4,-1224.289619,-1224.248880,0.382685,-1223.881697,0.077857,0.072766,-1223.959554,-1223.954463,
