   GoodVibes v3.0.1 2024/04/16 15:40:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts_1000_am1_reopt_2_reactant_1,0.026586,0.032990,0.146736,0.182521,0.040129,0.039315,0.142392,0.143205,
o  ts_1000_am1_reopt_2_reactant_2,-0.408759,-0.315199,0.123081,-0.275655,0.041981,0.041367,-0.317636,-0.317021,
o  ts_100_am1_reopt_2_reactant_1,-0.003744,0.005033,0.116535,0.124797,0.048734,0.047237,0.076062,0.077560,
o  ts_100_am1_reopt_2_reactant_2,-0.401589,-0.306449,0.122828,-0.268717,0.042093,0.041415,-0.310811,-0.310132,
o  ts_101_am1_reopt_reactant_1,0.044176,0.056257,0.172532,0.231457,0.056236,0.053586,0.175221,0.177870,
o  ts_101_am1_reopt_reactant_2,-0.401818,-0.306630,0.122841,-0.268933,0.042094,0.041417,-0.311027,-0.310350,
o  ts_102_am1_reopt_2_reactant_1,0.005299,0.016232,0.144158,0.163085,0.052996,0.050831,0.110089,0.112255,
o  ts_102_am1_reopt_2_reactant_2,-0.398915,-0.305190,0.122728,-0.266137,0.042135,0.041399,-0.308272,-0.307536,
o  ts_103_am1_reopt_reactant_1,-0.078933,-0.071376,0.104984,0.037708,0.047835,0.046631,-0.010127,-0.008923,
o  ts_103_am1_reopt_reactant_2,-0.404357,-0.310759,0.123030,-0.271329,0.041881,0.041279,-0.313210,-0.312608,
o  ts_104_am1_reopt_2_reactant_1,0.045055,0.056006,0.154947,0.213594,0.053433,0.050963,0.160161,0.162631,
o  ts_104_am1_reopt_2_reactant_2,-0.406364,-0.312714,0.123082,-0.273297,0.041850,0.041254,-0.315147,-0.314552,
o  ts_105_am1_reopt_2_reactant_1,0.025722,0.033798,0.192868,0.232377,0.052311,0.050339,0.180066,0.182037,
o  ts_105_am1_reopt_2_reactant_2,-0.403965,-0.310102,0.122976,-0.270993,0.041872,0.041273,-0.312865,-0.312266,
o  ts_106_am1_reopt_reactant_1,0.030879,0.038812,0.164836,0.207102,0.045712,0.045197,0.161390,0.161905,
o  ts_106_am1_reopt_reactant_2,-0.403666,-0.309937,0.122910,-0.270724,0.042040,0.041365,-0.312764,-0.312089,
o  ts_107_am1_reopt_2_reactant_1,0.023628,0.033039,0.182594,0.219555,0.050110,0.049002,0.169445,0.170553,
o  ts_107_am1_reopt_2_reactant_2,-0.401020,-0.305815,0.122794,-0.268183,0.042055,0.041403,-0.310237,-0.309586,
o  ts_108_am1_reopt_reactant_1,0.030520,0.038780,0.210198,0.255806,0.054967,0.052892,0.200839,0.202913,
o  ts_108_am1_reopt_reactant_2,-0.400844,-0.305642,0.122788,-0.268011,0.042065,0.041408,-0.310076,-0.309419,
o  ts_109_am1_reopt_2_reactant_1,0.078257,0.088974,0.266274,0.362348,0.062437,0.059108,0.299911,0.303240,
o  ts_109_am1_reopt_2_reactant_2,-0.399351,-0.305405,0.122811,-0.266527,0.041951,0.041315,-0.308478,-0.307842,
o  ts_10_am1_reopt_2_reactant_1,-0.046355,-0.038132,0.109980,0.072688,0.039231,0.038864,0.033457,0.033824,
o  ts_10_am1_reopt_2_reactant_2,-0.405295,-0.310370,0.122959,-0.272335,0.041907,0.041310,-0.314242,-0.313644,
o  ts_110_am1_reopt_2_reactant_1,0.041163,0.050702,0.237870,0.295801,0.059599,0.056529,0.236203,0.239272,
o  ts_110_am1_reopt_2_reactant_2,-0.398354,-0.304294,0.122766,-0.265539,0.042106,0.041386,-0.307646,-0.306925,
o  ts_111_am1_reopt_reactant_1,-0.046925,-0.038166,0.198323,0.165394,0.052207,0.050825,0.113187,0.114569,
o  ts_111_am1_reopt_reactant_2,-0.404517,-0.310701,0.123000,-0.271525,0.041858,0.041262,-0.313383,-0.312786,
o  ts_112_am1_reopt_2_reactant_1,0.082124,0.093889,0.248233,0.346344,0.057434,0.054976,0.288911,0.291369,
o  ts_112_am1_reopt_2_reactant_2,-0.404706,-0.310853,0.123003,-0.271717,0.041828,0.041252,-0.313545,-0.312969,
o  ts_113_am1_reopt_reactant_1,-0.015668,-0.008841,0.109410,0.102858,0.040125,0.039745,0.062733,0.063113,
o  ts_113_am1_reopt_reactant_2,-0.401497,-0.307718,0.122884,-0.268597,0.041951,0.041324,-0.310548,-0.309922,
o  ts_114_am1_reopt_reactant_1,-0.013109,-0.006123,0.081138,0.075860,0.037183,0.037095,0.038677,0.038765,
o  ts_114_am1_reopt_reactant_2,-0.401611,-0.307666,0.122832,-0.268721,0.042160,0.041429,-0.310880,-0.310149,
o  ts_115_am1_reopt_2_reactant_1,-0.024083,-0.013423,0.098840,0.083628,0.039417,0.039140,0.044211,0.044488,
o  ts_115_am1_reopt_2_reactant_2,-0.401175,-0.306076,0.122771,-0.268353,0.042111,0.041434,-0.310463,-0.309786,
o  ts_116_am1_reopt_reactant_1,-0.017257,-0.008533,0.126376,0.119761,0.044245,0.043229,0.075515,0.076532,
o  ts_116_am1_reopt_reactant_2,-0.401288,-0.306183,0.122792,-0.268456,0.042063,0.041400,-0.310519,-0.309856,
