   GoodVibes v3.0.1 2024/01/08 11:44:06
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts_1000_dft_reopt_reactant_1,-422.973887,-422.965980,0.140535,-422.823998,0.039930,0.039392,-422.863928,-422.863390,
o  ts_1000_dft_reopt_reactant_2,-495.817800,-495.725741,0.117450,-495.690123,0.042538,0.041741,-495.732660,-495.731863,
o  ts_100_dft_reopt4_reactant_1,-5473.137287,-5473.128447,0.113420,-5473.011889,0.047757,0.046959,-5473.059646,-5473.058848,
o  ts_100_dft_reopt4_reactant_2,-495.814232,-495.720434,0.117023,-495.687601,0.041231,0.040483,-495.728832,-495.728084,
o  ts_101_dft_reopt9_reactant_1,-5664.878072,-5664.868512,0.165702,-5664.697570,0.055266,0.053114,-5664.752836,-5664.750683,
o  ts_101_dft_reopt9_reactant_2,-495.815385,-495.721465,0.117164,-495.687762,0.043884,0.042339,-495.731645,-495.730100,
o  ts_102_dft_reopt4_reactant_1,-5512.436906,-5512.429072,0.141110,-5512.282816,0.049603,0.048725,-5512.332419,-5512.331541,
o  ts_102_dft_reopt4_reactant_2,-495.814085,-495.721268,0.117482,-495.686345,0.042806,0.041849,-495.729151,-495.728194,
o  ts_103_dft_reopt3_reactant_1,-5493.008772,-5493.002062,0.101379,-5492.895801,0.046883,0.046241,-5492.942685,-5492.942043,
o  ts_103_dft_reopt3_reactant_2,-495.814857,-495.722647,0.117382,-495.687098,0.043705,0.042279,-495.730803,-495.729377,
o  ts_104_dft_reopt_reactant_1,-5609.499441,-5609.490562,0.147914,-5609.338504,0.050641,0.049313,-5609.389145,-5609.387816,
o  ts_104_dft_reopt_reactant_2,-495.816365,-495.723777,0.117523,-495.688606,0.042624,0.041767,-495.731230,-495.730372,
o  ts_105_dft_reopt9_reactant_1,-3075.211677,-3075.201845,0.185003,-3075.012790,0.051465,0.050054,-3075.064255,-3075.062844,
o  ts_105_dft_reopt9_reactant_2,-495.814328,-495.721462,0.117508,-495.686574,0.042712,0.041803,-495.729286,-495.728377,
o  ts_106_dft_reopt2_reactant_1,-3035.891204,-3035.882529,0.157644,-3035.721066,0.048857,0.047446,-3035.769924,-3035.768512,
o  ts_106_dft_reopt2_reactant_2,-495.813846,-495.721096,0.117435,-495.686118,0.042960,0.041941,-495.729078,-495.728059,
o  ts_107_dft_reopt_reactant_1,-3091.271434,-3091.259539,0.175006,-3091.082812,0.051020,0.049520,-3091.133832,-3091.132332,
o  ts_107_dft_reopt_reactant_2,-495.814191,-495.720334,0.117139,-495.686585,0.044092,0.042438,-495.730677,-495.729023,
o  ts_108_dft_reopt_reactant_1,-3130.579271,-3130.568444,0.202292,-3130.362479,0.052535,0.051444,-3130.415014,-3130.413923,
o  ts_108_dft_reopt_reactant_2,-495.814134,-495.720487,0.117153,-495.686544,0.043792,0.042289,-495.730336,-495.728833,
o  ts_109_dft_reopt4_reactant_1,-3322.327584,-3322.315322,0.254945,-3322.054528,0.062367,0.059168,-3322.116895,-3322.113695,
o  ts_109_dft_reopt4_reactant_2,-495.814240,-495.721300,0.117496,-495.686474,0.042849,0.041872,-495.729322,-495.728346,
o  ts_10_dft_reopt_reactant_1,-730.154940,-730.144743,0.106023,-730.039832,0.038776,0.038642,-730.078607,-730.078473,
o  ts_10_dft_reopt_reactant_2,-495.816314,-495.722603,0.117153,-495.688761,0.043514,0.042155,-495.732275,-495.730916,
o  ts_110_dft_reopt10_reactant_1,-3169.879299,-3169.868992,0.230168,-3169.632776,0.056666,0.055035,-3169.689442,-3169.687812,
o  ts_110_dft_reopt10_reactant_2,-495.813295,-495.720294,0.117435,-495.685543,0.043090,0.042000,-495.728633,-495.727543,
o  ts_111_dft_reopt9_reactant_1,-3150.450279,-3150.440988,0.190428,-3150.244996,0.054175,0.052395,-3150.299171,-3150.297391,
o  ts_111_dft_reopt9_reactant_2,-495.814010,-495.721168,0.117470,-495.686270,0.042867,0.041881,-495.729137,-495.728151,
o  ts_112_dft_reopt10_reactant_1,-3266.942810,-3266.930998,0.237113,-3266.689385,0.057427,0.055277,-3266.746812,-3266.744663,
o  ts_112_dft_reopt10_reactant_2,-495.815236,-495.722364,0.117542,-495.687447,0.042696,0.041800,-495.730143,-495.729246,
o  ts_113_dft_reopt_reactant_1,-2844.157783,-2844.150695,0.105639,-2844.042986,0.039842,0.039619,-2844.082828,-2844.082605,
o  ts_113_dft_reopt_reactant_2,-495.812737,-495.720026,0.117368,-495.684993,0.043563,0.042219,-495.728556,-495.727212,
o  ts_114_dft_reopt_reactant_1,-2804.838905,-2804.831448,0.078155,-2804.753036,0.036582,0.036572,-2804.789617,-2804.789607,
o  ts_114_dft_reopt_reactant_2,-495.813558,-495.720788,0.117405,-495.685842,0.043007,0.041984,-495.728848,-495.727826,
o  ts_115_dft_reopt2_reactant_1,-2860.222445,-2860.211920,0.095594,-2860.117976,0.039181,0.038993,-2860.157157,-2860.156969,
o  ts_115_dft_reopt2_reactant_2,-495.814193,-495.720307,0.117190,-495.686574,0.043724,0.042247,-495.730299,-495.728821,
o  ts_116_dft_reopt3_reactant_1,-2899.529496,-2899.520406,0.123184,-2899.395784,0.043258,0.042792,-2899.439042,-2899.438575,
o  ts_116_dft_reopt3_reactant_2,-495.814312,-495.720543,0.117102,-495.687653,0.041053,0.040366,-495.728706,-495.728019,
o  ts_117_dft_reopt2_reactant_1,-3091.270562,-3091.260644,0.175338,-3091.081839,0.050892,0.049201,-3091.132731,-3091.131040,
o  ts_117_dft_reopt2_reactant_2,-495.815312,-495.721423,0.117230,-495.687677,0.043464,0.042134,-495.731141,-495.729810,
o  ts_118_dft_reopt4_reactant_1,-2938.835464,-2938.824386,0.150576,-2938.673076,0.046838,0.045610,-2938.719914,-2938.718686,
o  ts_118_dft_reopt4_reactant_2,-495.813070,-495.720083,0.117481,-495.685341,0.042732,0.041810,-495.728074,-495.727152,
o  ts_119_dft_reopt_reactant_1,-2919.396807,-2919.389549,0.111147,-2919.275559,0.042315,0.041922,-2919.317875,-2919.317481,
o  ts_119_dft_reopt_reactant_2,-495.813974,-495.721432,0.117477,-495.686213,0.043006,0.041943,-495.729220,-495.728156,
o  ts_11_dft_reopt5_reactant_1,-785.557322,-785.547562,0.123227,-785.424218,0.041081,0.040525,-785.465299,-785.464743,
o  ts_11_dft_reopt5_reactant_2,-495.812466,-495.717326,0.116887,-495.686650,0.039855,0.039113,-495.726505,-495.725763,
o  ts_120_dft_reopt5_reactant_1,-3035.898052,-3035.887994,0.158458,-3035.727402,0.048114,0.046776,-3035.775516,-3035.774177,
o  ts_120_dft_reopt5_reactant_2,-495.815568,-495.722948,0.117525,-495.687806,0.042658,0.041774,-495.730464,-495.729581,
o  ts_121_dft_reopt9_reactant_1,-540.908425,-540.897767,0.221909,-540.672614,0.050166,0.048836,-540.722780,-540.721449,
o  ts_121_dft_reopt9_reactant_2,-495.813293,-495.719712,0.117349,-495.685685,0.042685,0.041785,-495.728370,-495.727471,
o  ts_122_dft_reopt3_reactant_1,-501.586547,-501.577698,0.195175,-501.379120,0.046908,0.045542,-501.426028,-501.424663,
o  ts_122_dft_reopt3_reactant_2,-495.811430,-495.717251,0.117103,-495.683931,0.043263,0.042081,-495.727194,-495.726013,
o  ts_123_dft_reopt9_reactant_1,-556.969596,-556.959013,0.212379,-556.743831,0.048589,0.047650,-556.792420,-556.791481,
o  ts_123_dft_reopt9_reactant_2,-495.809845,-495.715483,0.117251,-495.682247,0.043143,0.042005,-495.725390,-495.724252,
o  ts_124_dft_reopt10_reactant_1,-596.275320,-596.265770,0.239605,-596.020667,0.052513,0.051260,-596.073180,-596.071927,
o  ts_124_dft_reopt10_reactant_2,-495.808915,-495.714463,0.117251,-495.681314,0.043199,0.042017,-495.724513,-495.723331,
o  ts_125_dft_reopt3_reactant_1,-788.018298,-788.007809,0.291773,-787.708416,0.061334,0.058236,-787.769750,-787.766653,
o  ts_125_dft_reopt3_reactant_2,-495.810396,-495.715913,0.117178,-495.682804,0.043652,0.042189,-495.726455,-495.724992,
o  ts_126_dft_reopt10_reactant_1,-635.572676,-635.564176,0.267436,-635.289319,0.053653,0.052685,-635.342972,-635.342005,
o  ts_126_dft_reopt10_reactant_2,-495.808625,-495.714007,0.117206,-495.681140,0.042777,0.041825,-495.723917,-495.722965,
o  ts_127_dft_reopt9_reactant_1,-616.144634,-616.136866,0.227122,-615.902569,0.052613,0.051217,-615.955182,-615.953786,
o  ts_127_dft_reopt9_reactant_2,-495.811506,-495.717631,0.117130,-495.683900,0.044259,0.042497,-495.728159,-495.726396,
o  ts_128_dft_reopt11_reactant_1,-732.638338,-732.626162,0.274013,-732.347938,0.056805,0.054635,-732.404743,-732.402573,
o  ts_128_dft_reopt11_reactant_2,-495.811370,-495.718425,0.117285,-495.683767,0.043099,0.042003,-495.726866,-495.725770,
o  ts_129_dft_reopt9_reactant_1,-961.204112,-961.195649,0.185352,-961.005064,0.050421,0.048995,-961.055485,-961.054059,
o  ts_129_dft_reopt9_reactant_2,-495.815000,-495.721599,0.117319,-495.687401,0.042765,0.041837,-495.730166,-495.729238,
o  ts_12_dft_reopt4_reactant_1,-824.866108,-824.856017,0.150606,-824.703751,0.046463,0.044938,-824.750214,-824.748689,
o  ts_12_dft_reopt4_reactant_2,-495.812728,-495.718420,0.117110,-495.685892,0.042498,0.041001,-495.728390,-495.726893,
o  ts_130_dft_reopt3_reactant_1,-921.882175,-921.872214,0.158714,-921.711492,0.046607,0.045437,-921.758099,-921.756929,
o  ts_130_dft_reopt3_reactant_2,-495.813586,-495.719512,0.117173,-495.686019,0.043274,0.042078,-495.729293,-495.728097,
o  ts_131_dft_reopt9_reactant_1,-977.261514,-977.249037,0.175470,-977.072766,0.049087,0.048034,-977.121853,-977.120800,
o  ts_131_dft_reopt9_reactant_2,-495.811067,-495.716736,0.117129,-495.683506,0.043652,0.042222,-495.727157,-495.725727,
o  ts_132_dft_reopt9_reactant_1,-1016.571313,-1016.559904,0.203040,-1016.353327,0.053103,0.051683,-1016.406430,-1016.405010,
o  ts_132_dft_reopt9_reactant_2,-495.811194,-495.716990,0.117265,-495.683582,0.043145,0.042012,-495.726728,-495.725595,
o  ts_133_dft_reopt3_reactant_1,-1208.312246,-1208.300378,0.255120,-1208.039173,0.061738,0.058452,-1208.100911,-1208.097625,
o  ts_133_dft_reopt3_reactant_2,-495.812144,-495.717863,0.117089,-495.684564,0.044798,0.042744,-495.729362,-495.727308,
o  ts_134_dft_reopt9_reactant_1,-1055.872260,-1055.861419,0.231110,-1055.625460,0.053866,0.052740,-1055.679326,-1055.678200,
o  ts_134_dft_reopt9_reactant_2,-495.809908,-495.715335,0.117198,-495.682391,0.042947,0.041935,-495.725337,-495.724326,
o  ts_135_dft_reopt9_reactant_1,-1036.440722,-1036.432179,0.190843,-1036.235256,0.052707,0.051205,-1036.287963,-1036.286461,
o  ts_135_dft_reopt9_reactant_2,-495.814289,-495.720801,0.117274,-495.686701,0.042924,0.041925,-495.729626,-495.728626,
o  ts_136_dft_reopt3_reactant_1,-1152.932664,-1152.921752,0.237403,-1152.679099,0.057174,0.054715,-1152.736273,-1152.733815,
