   GoodVibes v3.0.1 2024/01/08 10:01:04
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output am1_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  gs_1000_am1,0.011338,0.017070,0.146791,0.167642,0.041275,0.040091,0.126366,0.127551,
o  gs_100_am1,-0.035457,-0.025982,0.116477,0.093499,0.050691,0.048442,0.042808,0.045057,
o  gs_101_am1,0.015464,0.025429,0.172539,0.203145,0.058581,0.054819,0.144565,0.148326,
o  gs_102_am1,-0.024386,-0.015327,0.144282,0.133855,0.054235,0.051509,0.079621,0.082347,
o  gs_103_am1,-0.106584,-0.099358,0.105093,0.010452,0.049050,0.047403,-0.038597,-0.036951,
o  gs_104_am1,0.018284,0.024954,0.155202,0.187349,0.054744,0.051844,0.132605,0.135504,
o  gs_105_am1,-0.003681,0.002721,0.192937,0.203407,0.053509,0.051073,0.149899,0.152335,
o  gs_106_am1_reopt,0.007303,0.013121,0.165086,0.184868,0.049268,0.047541,0.135600,0.137328,
o  gs_107_am1_reopt,-0.009530,0.000379,0.182573,0.186823,0.052004,0.050042,0.134818,0.136781,
o  gs_108_am1,-0.002884,0.005827,0.210287,0.222876,0.056655,0.053848,0.166221,0.169028,
o  gs_109_am1_reopt3,0.046189,0.057055,0.266264,0.330661,0.064911,0.060283,0.265750,0.270379,
o  gs_10_am1,-0.067467,-0.060553,0.110072,0.052092,0.041162,0.039910,0.010930,0.012182,
o  gs_110_am1,0.007889,0.016464,0.238002,0.262896,0.060373,0.057070,0.202523,0.205826,
o  gs_111_am1_reopt,-0.074804,-0.067725,0.198743,0.138996,0.055739,0.053172,0.083258,0.085825,
o  gs_112_am1,0.049990,0.058087,0.248861,0.315816,0.061029,0.057332,0.254787,0.258484,
o  gs_113_am1,-0.049048,-0.042124,0.109215,0.069787,0.042423,0.041056,0.027364,0.028731,
o  gs_114_am1,-0.038651,-0.032513,0.081317,0.050717,0.038452,0.037633,0.012265,0.013084,
o  gs_115_am1,-0.054547,-0.044645,0.098981,0.053614,0.040696,0.039878,0.012918,0.013736,
o  gs_116_am1,-0.047720,-0.039190,0.126698,0.089830,0.045227,0.043735,0.044603,0.046094,
o  gs_117_am1,0.001709,0.012094,0.182715,0.197973,0.053293,0.050273,0.144680,0.147700,
o  gs_118_am1_reopt,-0.037068,-0.028368,0.154358,0.129718,0.049490,0.047290,0.080228,0.082428,
o  gs_119_am1,-0.120484,-0.113396,0.115012,0.005064,0.045442,0.043653,-0.040378,-0.038589,
o  gs_11_am1,-0.083371,-0.075324,0.127783,0.054990,0.043297,0.042099,0.011692,0.012890,
o  gs_120_am1,0.004264,0.012779,0.165229,0.181860,0.050594,0.047941,0.131266,0.133920,
o  gs_121_am1,-0.024415,-0.018067,0.230835,0.220867,0.053180,0.050723,0.167688,0.170144,
o  gs_122_am1,-0.015839,-0.009816,0.203176,0.200025,0.048713,0.047001,0.151313,0.153025,
o  gs_123_am1,-0.030880,-0.021534,0.220510,0.203664,0.051791,0.049610,0.151874,0.154054,
o  gs_124_am1,-0.024358,-0.015942,0.248174,0.239555,0.056360,0.053470,0.183194,0.186084,
o  gs_125_am1,0.025705,0.034777,0.304177,0.348334,0.063950,0.059664,0.284384,0.288670,
o  gs_126_am1,-0.013111,-0.004844,0.275999,0.280113,0.059645,0.056549,0.220469,0.223564,
o  gs_127_am1,-0.097270,-0.090310,0.236680,0.154733,0.055391,0.052860,0.099342,0.101873,
o  gs_128_am1,0.030100,0.037393,0.286786,0.334109,0.060837,0.057163,0.273272,0.276946,
o  gs_129_am1,-0.022501,-0.016938,0.193672,0.185101,0.052433,0.050044,0.132668,0.135057,
o  gs_12_am1,-0.076926,-0.069796,0.155483,0.090837,0.047925,0.046098,0.042912,0.044740,
o  gs_130_am1,-0.013800,-0.006661,0.165888,0.164288,0.048212,0.046446,0.116076,0.117842,
o  gs_131_am1_reopt,-0.028290,-0.019032,0.183220,0.168559,0.051374,0.049242,0.117185,0.119317,
o  gs_132_am1_reopt,-0.021958,-0.013621,0.210949,0.204306,0.056120,0.053137,0.148186,0.151169,
o  gs_133_am1_reopt,0.029047,0.037595,0.266990,0.314025,0.063918,0.059434,0.250107,0.254591,
o  gs_134_am1,-0.010970,-0.002956,0.238693,0.244580,0.060261,0.056460,0.184318,0.188120,
o  gs_135_am1_reopt,-0.093619,-0.086991,0.199484,0.120697,0.054648,0.052189,0.066048,0.068508,
o  gs_136_am1,0.031901,0.038700,0.249629,0.298249,0.060114,0.056514,0.238135,0.241736,
o  gs_137_am1,-0.004394,0.001656,0.192962,0.202730,0.053498,0.051089,0.149233,0.151641,
o  gs_138_am1,0.006708,0.012564,0.164939,0.184268,0.049831,0.047908,0.134437,0.136360,
o  gs_139_am1,-0.009847,-0.000027,0.182504,0.186510,0.052255,0.050235,0.134255,0.136275,
o  gs_13_am1,-0.026556,-0.018521,0.211466,0.199920,0.056143,0.052822,0.143777,0.147097,
o  gs_140_am1,-0.003377,0.005408,0.210241,0.222402,0.057000,0.054096,0.165402,0.168306,
o  gs_141_am1_reopt,0.047501,0.056557,0.266280,0.331993,0.064693,0.060290,0.267299,0.271702,
