   GoodVibes v3.0.1 2024/01/09 09:17:07
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output dft_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  gs_1000_0,-422.986630,-422.979532,0.140919,-422.836077,0.041160,0.040113,-422.877238,-422.876190,
o  gs_100_0,-5473.176880,-422.979532,0.140919,-5473.026328,0.041160,0.040113,-5473.067488,-5473.066441,
o  gs_10_0,-730.179646,-730.170441,0.106367,-730.063906,0.039819,0.039353,-730.103725,-730.103259,
o  gs_101_1,-5664.913583,-5664.902993,0.166027,-5664.732314,0.057699,0.054613,-5664.790013,-5664.786926,
o  gs_102_0,-5512.483882,-5512.474444,0.141310,-5512.328787,0.052446,0.050864,-5512.381233,-5512.379652,
o  gs_103_0,-5493.035388,-5493.028637,0.101661,-5492.921678,0.048979,0.047551,-5492.970657,-5492.969229,
o  gs_104_0,-5609.533069,-5609.525536,0.148813,-5609.370174,0.054224,0.051925,-5609.424398,-5609.422098,
o  gs_105_1,-3075.240439,-3075.232883,0.185295,-3075.040780,0.053111,0.051238,-3075.093890,-3075.092018,
o  gs_106_0,-3035.917067,-3035.908971,0.158168,-3035.746223,0.049394,0.047842,-3035.795618,-3035.794066,
o  gs_107_0,-3091.312068,-3091.300286,0.175420,-3091.122593,0.052585,0.050530,-3091.175178,-3091.173123,
o  gs_108_0,-3130.620596,-3130.609831,0.203243,-3130.401695,0.056632,0.053994,-3130.458327,-3130.455689,
o  gs_109_0,-3322.358006,-3322.346741,0.255458,-3322.084074,0.064748,0.060443,-3322.148822,-3322.144517,
o  gs_1_0,-349.207614,-349.201185,0.170310,-349.025993,0.043866,0.042841,-349.069859,-349.068834,
o  gs_110_1,-3169.928159,-3169.918056,0.230701,-3169.680476,0.059138,0.056621,-3169.739613,-3169.737097,
o  gs_11_0,-785.572091,-785.563903,0.123959,-785.437525,0.042926,0.041912,-785.480451,-785.479437,
