   GoodVibes v3.0.1 2024/01/08 10:14:56
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts_1000_am1_reopt_2,-0.385321,-0.301450,0.272063,-0.093203,0.068272,0.063425,-0.161475,-0.156627,
o  ts_100_am1_reopt_2,-0.419794,-0.331857,0.242378,-0.155025,0.073695,0.068906,-0.228720,-0.223932,
o  ts_101_am1_reopt,-0.369070,-0.287312,0.298189,-0.045638,0.081567,0.075042,-0.127205,-0.120680,
o  ts_102_am1_reopt_2,-0.399319,-0.313037,0.270163,-0.105321,0.076913,0.071812,-0.182234,-0.177133,
o  ts_103_am1_reopt,-0.489445,-0.401584,0.230504,-0.236846,0.073102,0.068506,-0.309948,-0.305352,
o  ts_104_am1_reopt_2,-0.362013,-0.277525,0.280124,-0.057707,0.077998,0.072532,-0.135705,-0.130239,
o  ts_105_am1_reopt_2,-0.375580,-0.293300,0.318233,-0.033097,0.076726,0.071842,-0.109823,-0.104939,
o  ts_106_am1_reopt,-0.373320,-0.291446,0.290040,-0.060335,0.074463,0.069479,-0.134798,-0.129814,
o  ts_107_am1_reopt_2,-0.383436,-0.301599,0.308569,-0.051222,0.074553,0.070278,-0.125775,-0.121500,
o  ts_108_am1_reopt,-0.376414,-0.295333,0.336142,-0.014883,0.079042,0.074023,-0.093925,-0.088907,
o  ts_109_am1_reopt_2,-0.329581,-0.252499,0.392211,0.090669,0.085859,0.079658,0.004809,0.011011,
o  ts_10_am1_reopt_2,-0.456520,-0.371250,0.235771,-0.201407,0.064572,0.061212,-0.265979,-0.262618,
o  ts_110_am1_reopt_2,-0.355043,-0.272623,0.363684,0.035544,0.082697,0.077113,-0.047153,-0.041569,
o  ts_111_am1_reopt,-0.450978,-0.367477,0.323602,-0.101927,0.080295,0.074687,-0.182222,-0.176615,
o  ts_112_am1_reopt_2,-0.319876,-0.237610,0.373517,0.081024,0.084659,0.078312,-0.003636,0.002712,
o  ts_113_am1_reopt,-0.422778,-0.338108,0.235034,-0.168269,0.065562,0.062182,-0.233831,-0.230452,
o  ts_114_am1_reopt,-0.417766,-0.333911,0.206378,-0.192984,0.063131,0.059962,-0.256115,-0.252945,
o  ts_115_am1_reopt_2,-0.432145,-0.345342,0.224435,-0.188401,0.065105,0.061590,-0.253506,-0.249991,
o  ts_116_am1_reopt,-0.424816,-0.339389,0.252053,-0.151792,0.068969,0.065137,-0.220761,-0.216928,
o  ts_117_am1_reopt,-0.375166,-0.296190,0.307959,-0.043438,0.077032,0.071354,-0.120470,-0.114792,
o  ts_118_am1_reopt_2,-0.404844,-0.318140,0.279856,-0.102580,0.072172,0.068121,-0.174752,-0.170701,
o  ts_119_am1_reopt_2,-0.497401,-0.411841,0.240362,-0.236364,0.068398,0.064707,-0.304762,-0.301071,
o  ts_11_am1_reopt,-0.462298,-0.375155,0.254545,-0.187715,0.066318,0.062528,-0.254033,-0.250243,
