   GoodVibes v3.0.1 2024/01/08 11:31:34
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc water_SPE --csv --output dft_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
   **********************************************************************************************************************************************
o  ts_1000_dft_reopt,-918.802983,-918.722628,0.260447,-918.522712,0.065617,0.062190,-918.588329,-918.584902,
o  ts_100_dft_reopt4,-5968.976719,-5968.899805,0.233448,-5968.720681,0.072499,0.068847,-5968.793180,-5968.789528,
o  ts_101_dft_reopt9,-6160.719799,-6160.645931,0.285722,-6160.408622,0.080206,0.074779,-6160.488828,-6160.483401,
o  ts_102_dft_reopt4,-6008.268540,-6008.192747,0.260815,-6007.984119,0.074181,0.070624,-6008.058300,-6008.054743,
o  ts_103_dft_reopt3,-5988.840821,-5988.762080,0.221378,-5988.597377,0.071471,0.067859,-5988.668849,-5988.665237,
o  ts_104_dft_reopt,-6105.337843,-6105.261315,0.268346,-6105.045240,0.077047,0.072260,-6105.122287,-6105.117499,
o  ts_105_dft_reopt9,-3571.044349,-3570.966928,0.304998,-3570.715012,0.075188,0.071428,-3570.790200,-3570.786440,
o  ts_106_dft_reopt2,-3531.726820,-3531.648793,0.277822,-3531.426090,0.072663,0.068789,-3531.498753,-3531.494879,
o  ts_107_dft_reopt,-3587.109102,-3587.029208,0.295014,-3586.789893,0.075849,0.071296,-3586.865742,-3586.861189,
o  ts_108_dft_reopt,-3626.415063,-3626.337134,0.322619,-3626.066649,0.079452,0.074694,-3626.146101,-3626.141343,
o  ts_109_dft_reopt4,-3818.157373,-3818.080768,0.374656,-3817.754147,0.086249,0.080212,-3817.840396,-3817.834359,
o  ts_10_dft_reopt,-1225.996470,-1225.915788,0.226914,-1225.750389,0.062413,0.060339,-1225.812801,-1225.810728,
o  ts_110_dft_reopt10,-3665.709294,-3665.632361,0.349759,-3665.332607,0.080936,0.076515,-3665.413543,-3665.409122,
o  ts_111_dft_reopt9,-3646.282950,-3646.204709,0.310261,-3645.947278,0.078255,0.073836,-3646.025532,-3646.021114,
o  ts_112_dft_reopt10,-3762.779312,-3762.701778,0.357465,-3762.394347,0.083123,0.077856,-3762.477470,-3762.472203,
o  ts_113_dft_reopt,-3339.991367,-3339.910923,0.225814,-3339.746030,0.064382,0.061713,-3339.810412,-3339.807743,
o  ts_114_dft_reopt,-3300.673797,-3300.593298,0.198236,-3300.457456,0.061041,0.058848,-3300.518496,-3300.516304,
o  ts_115_dft_reopt2,-3356.059674,-3355.977171,0.215776,-3355.824584,0.063615,0.061117,-3355.888199,-3355.885702,
o  ts_116_dft_reopt3,-3395.364955,-3395.284909,0.243071,-3395.100841,0.067883,0.064860,-3395.168725,-3395.165702,
o  ts_117_dft_reopt2,-3587.108704,-3587.032863,0.295257,-3586.789566,0.075002,0.070703,-3586.864568,-3586.860269,
o  ts_118_dft_reopt4,-3434.664944,-3434.583760,0.270495,-3434.372268,0.070019,0.066977,-3434.442287,-3434.439244,
o  ts_119_dft_reopt,-3415.230534,-3415.148501,0.230899,-3414.979024,0.066952,0.064035,-3415.045977,-3415.043059,
o  ts_11_dft_reopt,-1281.384509,-1281.205066,0.244564,-1281.119229,0.066739,0.064073,-1281.185967,-1281.183301,
o  ts_120_dft_reopt5,-3531.730463,-3531.649436,0.278102,-3531.429709,0.072358,0.068431,-3531.502067,-3531.498140,
o  ts_121_dft_reopt9,-1036.738054,-1036.658010,0.342157,-1036.371731,0.073405,0.070162,-1036.445136,-1036.441894,
o  ts_122_dft_reopt3,-997.427494,-997.346976,0.316082,-997.089079,0.069033,0.066354,-997.158112,-997.155433,
o  ts_123_dft_reopt9,-1052.802883,-1052.721410,0.332738,-1052.446440,0.072138,0.069025,-1052.518579,-1052.515465,
o  ts_124_dft_reopt10,-1092.108399,-1092.028303,0.359706,-1091.723101,0.077150,0.073128,-1091.800252,-1091.796230,
o  ts_125_dft_reopt3,-1283.854289,-1283.778517,0.412197,-1283.413663,0.084665,0.079060,-1283.498328,-1283.492722,
o  ts_126_dft_reopt10,-1131.401730,-1131.326717,0.387950,-1130.987657,0.076767,0.073569,-1131.064425,-1131.061226,
o  ts_127_dft_reopt9,-1111.977891,-1111.899784,0.347251,-1111.605247,0.076918,0.072931,-1111.682165,-1111.678178,
o  ts_128_dft_reopt11,-1228.472806,-1228.395227,0.394546,-1228.050872,0.081947,0.076986,-1228.132820,-1228.127858,
o  ts_129_dft_reopt9,-1457.040101,-1456.961777,0.305806,-1456.710331,0.073710,0.070130,-1456.784041,-1456.780461,
o  ts_12_dft_reopt,-1320.678214,-1320.513986,0.272289,-1320.383454,0.071254,0.067940,-1320.454708,-1320.451393,
o  ts_130_dft_reopt3,-1417.726232,-1417.645959,0.279498,-1417.424512,0.069708,0.066646,-1417.494219,-1417.491158,
o  ts_131_dft_reopt9,-1473.104354,-1473.020594,0.296137,-1472.784558,0.072957,0.069481,-1472.857515,-1472.854039,
o  ts_132_dft_reopt9,-1512.410343,-1512.327860,0.323497,-1512.061448,0.077252,0.073102,-1512.138700,-1512.134550,
o  ts_133_dft_reopt3,-1704.153935,-1704.076330,0.375675,-1703.749945,0.085323,0.079331,-1703.835268,-1703.829275,
o  ts_134_dft_reopt9,-1551.705170,-1551.627277,0.351534,-1551.327569,0.077335,0.073969,-1551.404904,-1551.401538,
o  ts_135_dft_reopt9,-1532.277027,-1532.197345,0.311041,-1531.940981,0.076310,0.072455,-1532.017291,-1532.013437,
o  ts_136_dft_reopt3,-1648.771685,-1648.693709,0.357886,-1648.386523,0.082482,0.077192,-1648.469005,-1648.463715,
o  ts_137_dft_reopt9,-3571.044280,-3570.966515,0.304808,-3570.715060,0.075287,0.071560,-3570.790347,-3570.786621,
o  ts_138_dft_reopt,-3531.731019,-3531.651830,0.278862,-3531.429606,0.071224,0.067807,-3531.500830,-3531.497414,
o  ts_139_dft_reopt10,-3587.109208,-3587.026669,0.295740,-3586.789591,0.074118,0.070383,-3586.863709,-3586.859974,
o  ts_13_dft_reopt9,-1512.419223,-1512.341259,0.324109,-1512.070238,0.076575,0.072130,-1512.146813,-1512.142368,
o  ts_140_dft_reopt9,-3626.415522,-3626.333980,0.322957,-3626.066891,0.078384,0.074113,-3626.145274,-3626.141004,
