   GoodVibes v3.0.1 2023/07/28 12:29:42
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 --csv --output am1_solvent_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_0_reactant_1,0.020390,0.079466,0.104979,0.027390,0.027352,0.077589,0.077627,
o  ts_0_reactant_2,0.167288,0.071949,0.246403,0.033988,0.033884,0.212416,0.212520,
o  ts_1004_reactant_1,-0.002130,0.205705,0.217105,0.050470,0.048681,0.166635,0.168424,
o  ts_1004_reactant_2,0.009587,0.172970,0.192369,0.041347,0.040723,0.151023,0.151646,
o  ts_1005_reactant_1,0.000065,0.173408,0.183866,0.042625,0.041862,0.141240,0.142004,
o  ts_1005_reactant_2,0.012753,0.205738,0.231831,0.050260,0.048411,0.181571,0.183419,
o  ts_1006_reactant_1,-0.007910,0.172860,0.174903,0.041940,0.041167,0.132963,0.133736,
o  ts_1006_reactant_2,0.005234,0.205898,0.223454,0.046674,0.045937,0.176780,0.177517,
o  ts_1007_reactant_1,0.002307,0.205203,0.219339,0.045764,0.045089,0.173575,0.174250,
o  ts_1007_reactant_2,0.011753,0.173433,0.195541,0.042619,0.041765,0.152922,0.153777,
o  ts_1009_reactant_1,0.061066,0.196086,0.271828,0.053373,0.051596,0.218455,0.220232,
o  ts_1009_reactant_2,-0.044000,0.122168,0.086921,0.037596,0.037322,0.049325,0.049599,
o  ts_100_reactant_1,0.042995,0.100685,0.152041,0.037237,0.036789,0.114804,0.115252,
o  ts_100_reactant_2,0.125319,0.134255,0.267561,0.036914,0.036851,0.230646,0.230709,
o  ts_1011_reactant_1,-0.102687,0.155103,0.064751,0.047582,0.046439,0.017169,0.018312,
o  ts_1011_reactant_2,-0.186234,0.189160,0.014051,0.044481,0.043616,-0.030430,-0.029566,
o  ts_1012_reactant_1,-0.148560,0.141358,0.004821,0.046376,0.045396,-0.041555,-0.040575,
o  ts_1012_reactant_2,0.088605,0.206869,0.307787,0.046950,0.046176,0.260837,0.261611,
o  ts_1013_reactant_1,-0.132062,0.141860,0.021893,0.047740,0.045992,-0.025847,-0.024098,
o  ts_1013_reactant_2,0.087062,0.207409,0.306905,0.047485,0.046508,0.259420,0.260396,
o  ts_1014_reactant_1,0.092842,0.183447,0.288918,0.049069,0.047263,0.239849,0.241655,
o  ts_1014_reactant_2,-0.036091,0.172980,0.147041,0.042269,0.041579,0.104771,0.105462,
o  ts_1015_reactant_1,0.092914,0.183395,0.288980,0.049247,0.047326,0.239733,0.241654,
o  ts_1015_reactant_2,-0.042529,0.173132,0.141613,0.044876,0.043492,0.096737,0.098122,
o  ts_1018_reactant_1,-0.192240,0.189349,0.011725,0.053134,0.051212,-0.041409,-0.039487,
o  ts_1018_reactant_2,-0.013103,0.139135,0.133731,0.036412,0.036389,0.097318,0.097342,
o  ts_1019_reactant_1,-0.200324,0.190093,0.002995,0.049385,0.048249,-0.046390,-0.045254,
o  ts_1019_reactant_2,-0.008979,0.139033,0.137729,0.036351,0.036330,0.101378,0.101398,
o  ts_101_reactant_1,0.044440,0.100450,0.153336,0.037469,0.036980,0.115866,0.116356,
o  ts_101_reactant_2,0.117698,0.134525,0.260983,0.038880,0.038463,0.222103,0.222519,
o  ts_1020_reactant_1,-0.023988,0.200515,0.188488,0.046103,0.045550,0.142385,0.142938,
o  ts_1020_reactant_2,0.032085,0.117484,0.159489,0.041320,0.040971,0.118170,0.118518,
o  ts_1022_reactant_1,-0.029662,0.201019,0.184267,0.049001,0.047655,0.135266,0.136611,
o  ts_1022_reactant_2,0.029917,0.117144,0.157765,0.043186,0.042509,0.114579,0.115255,
o  ts_1023_reactant_1,-0.042773,0.200166,0.171542,0.054081,0.050868,0.117461,0.120674,
o  ts_1023_reactant_2,0.029286,0.117844,0.156940,0.041106,0.040735,0.115834,0.116205,
o  ts_1025_reactant_1,0.189465,0.252448,0.456574,0.053733,0.051474,0.402841,0.405100,
o  ts_1025_reactant_2,0.086028,0.105456,0.199317,0.036513,0.036436,0.162804,0.162882,
o  ts_1026_reactant_1,-0.133233,0.199250,0.082667,0.058773,0.056020,0.023895,0.026647,
o  ts_1026_reactant_2,-0.176521,0.068571,-0.099845,0.037707,0.037262,-0.137553,-0.137108,
o  ts_1027_reactant_1,-0.132288,0.199117,0.083547,0.059175,0.056207,0.024372,0.027339,
o  ts_1027_reactant_2,-0.178854,0.068581,-0.102160,0.037664,0.037298,-0.139824,-0.139459,
o  ts_1028_reactant_1,0.051970,0.082193,0.141489,0.034245,0.034179,0.107244,0.107310,
o  ts_1028_reactant_2,0.160786,0.274203,0.449480,0.053347,0.051253,0.396134,0.398227,
o  ts_1029_reactant_1,0.050110,0.082395,0.139804,0.034199,0.034134,0.105606,0.105670,
o  ts_1029_reactant_2,0.152618,0.274084,0.441304,0.054045,0.051672,0.387260,0.389632,
o  ts_102_reactant_1,0.044534,0.100440,0.153422,0.037479,0.036985,0.115943,0.116437,
o  ts_102_reactant_2,0.117536,0.134528,0.260825,0.038886,0.038467,0.221939,0.222359,
o  ts_1030_reactant_1,0.003273,0.201693,0.216816,0.046618,0.045522,0.170198,0.171294,
o  ts_1030_reactant_2,-0.139706,0.151313,0.022591,0.043812,0.043032,-0.021221,-0.020440,
o  ts_1031_reactant_1,-0.005584,0.201761,0.208015,0.046693,0.045513,0.161322,0.162503,
o  ts_1031_reactant_2,-0.141694,0.151580,0.020646,0.043881,0.042726,-0.023235,-0.022079,
o  ts_1036_reactant_1,-0.001651,0.201781,0.212027,0.046929,0.045593,0.165098,0.166434,
o  ts_1036_reactant_2,0.237396,0.123922,0.372365,0.044024,0.043326,0.328341,0.329039,
o  ts_1037_reactant_1,-0.004321,0.201329,0.208117,0.044585,0.043855,0.163532,0.164262,
o  ts_1037_reactant_2,0.239153,0.124039,0.374204,0.043905,0.043219,0.330299,0.330985,
o  ts_1040_reactant_1,0.094829,0.110917,0.217889,0.047706,0.045898,0.170183,0.171991,
o  ts_1040_reactant_2,-0.068421,0.141936,0.084602,0.045583,0.044444,0.039019,0.040158,
o  ts_1041_reactant_1,0.087597,0.110725,0.209650,0.045244,0.044147,0.164407,0.165504,
o  ts_1041_reactant_2,-0.064147,0.141907,0.088807,0.045170,0.044199,0.043637,0.044607,
o  ts_1042_reactant_1,0.094655,0.111324,0.217955,0.047254,0.045553,0.170702,0.172402,
o  ts_1042_reactant_2,-0.068530,0.141974,0.084547,0.046000,0.044646,0.038547,0.039900,
