   GoodVibes v3.0.1 2023/08/01 12:16:53
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 --SPC SPE --csv --output dft_3_2_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for B3LYP/def2SVP level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_0_reactant_1,-117.822628,0.078425,-117.739079,0.027259,0.027256,-117.766337,-117.766335,
o  ts_0_reactant_2,-264.035763,0.069421,-263.958751,0.035081,0.034830,-263.993831,-263.993581,
o  ts_1002_reactant_1,-608.705255,0.194671,-608.495879,0.053106,0.050990,-608.548985,-608.546869,
o  ts_1002_reactant_2,-881.072755,0.127077,-880.935974,0.041250,0.040772,-880.977224,-880.976746,
o  ts_1003_reactant_1,-608.705196,0.194634,-608.495824,0.053514,0.051204,-608.549338,-608.547029,
o  ts_1003_reactant_2,-881.072737,0.126938,-880.936036,0.041561,0.040925,-880.977597,-880.976961,
o  ts_1004_reactant_1,-576.398852,0.201253,-576.183808,0.051380,0.049253,-576.235188,-576.233061,
o  ts_1004_reactant_2,-499.004557,0.168182,-498.826173,0.041882,0.041271,-498.868055,-498.867444,
o  ts_1005_reactant_1,-499.013999,0.168183,-498.835576,0.041894,0.041396,-498.877470,-498.876972,
o  ts_1005_reactant_2,-576.378949,0.201552,-576.163986,0.049746,0.048136,-576.213731,-576.212122,
o  ts_1006_reactant_1,-499.020555,0.168555,-498.841098,0.043321,0.042708,-498.884419,-498.883806,
o  ts_1006_reactant_2,-576.388126,0.201968,-576.172946,0.049086,0.047659,-576.222033,-576.220605,
o  ts_1007_reactant_1,-576.396492,0.201070,-576.182487,0.048475,0.047273,-576.230962,-576.229760,
o  ts_1007_reactant_2,-499.005440,0.168730,-498.825946,0.042930,0.042336,-498.868876,-498.868282,
o  ts_1009_reactant_1,-1437.345751,0.190421,-1437.139749,0.054843,0.053186,-1437.194591,-1437.192935,
o  ts_1009_reactant_2,-345.465945,0.120479,-345.336585,0.037897,0.037549,-345.374482,-345.374134,
o  ts_100_reactant_1,-340.458798,0.097835,-340.352072,0.038590,0.037914,-340.390662,-340.389987,
o  ts_100_reactant_2,-438.638139,0.129767,-438.499254,0.039126,0.038955,-438.538380,-438.538209,
o  ts_1011_reactant_1,-552.151026,0.151203,-551.986747,0.050041,0.047965,-552.036788,-552.034711,
o  ts_1011_reactant_2,-648.628335,0.184367,-648.432582,0.044653,0.043890,-648.477235,-648.476472,
o  ts_1012_reactant_1,-881.300092,0.139218,-881.149272,0.045534,0.044523,-881.194806,-881.193795,
o  ts_1012_reactant_2,-572.585837,0.202452,-572.371434,0.046407,0.045384,-572.417841,-572.416818,
o  ts_1013_reactant_1,-881.303168,0.139476,-881.151399,0.046940,0.046001,-881.198339,-881.197400,
o  ts_1013_reactant_2,-572.577373,0.202326,-572.362909,0.047800,0.046007,-572.410709,-572.408915,
o  ts_1014_reactant_1,-571.380486,0.180408,-571.187325,0.049851,0.047512,-571.237176,-571.234838,
o  ts_1014_reactant_2,-536.043128,0.168440,-535.863294,0.045978,0.044233,-535.909272,-535.907527,
o  ts_1015_reactant_1,-571.382900,0.180557,-571.189604,0.049941,0.047552,-571.239545,-571.237157,
o  ts_1015_reactant_2,-536.043485,0.168420,-535.863891,0.044267,0.043316,-535.908157,-535.907207,
o  ts_1018_reactant_1,-666.635309,0.186189,-666.434694,0.051884,0.050554,-666.486577,-666.485247,
o  ts_1018_reactant_2,-831.168630,0.135185,-831.025336,0.037022,0.037001,-831.062358,-831.062337,
o  ts_1019_reactant_1,-666.650712,0.186576,-666.448919,0.055225,0.052467,-666.504144,-666.501386,
o  ts_1019_reactant_2,-831.167985,0.135028,-831.024851,0.037010,0.036989,-831.061861,-831.061840,
o  ts_101_reactant_1,-340.460404,0.097698,-340.353739,0.039219,0.038190,-340.392959,-340.391930,
o  ts_101_reactant_2,-438.643515,0.129956,-438.504490,0.038952,0.038844,-438.543442,-438.543334,
o  ts_1020_reactant_1,-667.587424,0.195803,-667.378516,0.048738,0.047781,-667.427254,-667.426297,
o  ts_1020_reactant_2,-491.809860,0.115507,-491.684157,0.042473,0.041498,-491.726629,-491.725655,
o  ts_1021_reactant_1,-667.602928,0.196212,-667.392962,0.050593,0.049164,-667.443555,-667.442126,
o  ts_1021_reactant_2,-491.816533,0.116240,-491.689625,0.042952,0.042382,-491.732577,-491.732008,
o  ts_1022_reactant_1,-667.579229,0.195633,-667.369302,0.052634,0.050414,-667.421936,-667.419716,
o  ts_1022_reactant_2,-491.818734,0.116008,-491.691867,0.044030,0.042842,-491.735897,-491.734710,
o  ts_1023_reactant_1,-667.602678,0.196322,-667.392654,0.050406,0.049017,-667.443060,-667.441670,
o  ts_1023_reactant_2,-491.815584,0.115858,-491.689713,0.041613,0.041095,-491.731326,-491.730808,
o  ts_1025_reactant_1,-650.951622,0.247394,-650.690209,0.051746,0.049996,-650.741955,-650.740205,
o  ts_1025_reactant_2,-407.316142,0.102333,-407.205796,0.036857,0.036760,-407.242654,-407.242556,
o  ts_1026_reactant_1,-776.075284,0.197043,-775.860665,0.062546,0.058501,-775.923211,-775.919166,
o  ts_1026_reactant_2,-528.482356,0.065850,-528.408300,0.037848,0.037412,-528.446148,-528.445712,
o  ts_1027_reactant_1,-776.071914,0.197222,-775.856330,0.064903,0.060228,-775.921233,-775.916557,
o  ts_1027_reactant_2,-528.485033,0.065916,-528.410845,0.038130,0.037575,-528.448976,-528.448420,
o  ts_1028_reactant_1,-285.119280,0.079816,-285.031575,0.035855,0.035312,-285.067430,-285.066887,
o  ts_1028_reactant_2,-769.009047,0.266265,-768.727833,0.054840,0.052216,-768.782673,-768.780049,
o  ts_1029_reactant_1,-285.124732,0.080247,-285.036790,0.035270,0.034887,-285.072060,-285.071677,
o  ts_1029_reactant_2,-769.014427,0.266683,-768.732863,0.053823,0.051768,-768.786686,-768.784632,
o  ts_102_reactant_1,-340.460151,0.097694,-340.353493,0.039193,0.038180,-340.392686,-340.391673,
o  ts_102_reactant_2,-438.643457,0.129965,-438.504423,0.038956,0.038847,-438.543379,-438.543269,
o  ts_1030_reactant_1,-939.890921,0.197560,-939.681040,0.047538,0.046305,-939.728579,-939.727345,
o  ts_1030_reactant_2,-514.089975,0.148724,-513.929136,0.046592,0.045344,-513.975728,-513.974480,
o  ts_1031_reactant_1,-939.906011,0.197662,-939.696967,0.044930,0.044261,-939.741897,-939.741229,
o  ts_1031_reactant_2,-514.096501,0.149036,-513.935536,0.046190,0.044927,-513.981725,-513.980462,
o  ts_1032_reactant_1,-640.518965,0.153453,-640.350186,0.055905,0.053064,-640.406091,-640.403250,
o  ts_1032_reactant_2,-499.015582,0.168419,-498.836212,0.043946,0.042836,-498.880158,-498.879048,
o  ts_1036_reactant_1,-939.900963,0.197718,-939.691887,0.044615,0.044184,-939.736502,-939.736070,
o  ts_1036_reactant_2,-488.901162,0.119224,-488.770015,0.046353,0.045257,-488.816368,-488.815272,
o  ts_1037_reactant_1,-939.904281,0.197657,-939.695239,0.044765,0.044218,-939.740005,-939.739457,
o  ts_1037_reactant_2,-488.902150,0.119465,-488.770910,0.045302,0.044758,-488.816212,-488.815668,
o  ts_1040_reactant_1,-545.853062,0.107684,-545.733833,0.045518,0.044532,-545.779351,-545.778365,
o  ts_1040_reactant_2,-994.356636,0.137200,-994.207954,0.046151,0.044986,-994.254106,-994.252940,
o  ts_1041_reactant_1,-545.861250,0.108065,-545.740772,0.048245,0.046447,-545.789017,-545.787219,
o  ts_1041_reactant_2,-994.358667,0.137463,-994.209798,0.045681,0.044724,-994.255479,-994.254522,
o  ts_1042_reactant_1,-545.848820,0.107689,-545.729506,0.046500,0.044832,-545.776007,-545.774338,
o  ts_1042_reactant_2,-994.357747,0.137338,-994.208933,0.046090,0.044969,-994.255023,-994.253902,
o  ts_1043_reactant_1,-545.865941,0.108198,-545.745391,0.047706,0.046434,-545.793096,-545.791825,
o  ts_1043_reactant_2,-994.361747,0.137497,-994.212817,0.045825,0.044800,-994.258642,-994.257617,
o  ts_1044_reactant_1,-629.489892,0.191506,-629.284956,0.050390,0.048529,-629.335346,-629.333485,
o  ts_1044_reactant_2,-550.898682,0.127753,-550.758683,0.047542,0.046138,-550.806225,-550.804821,
o  ts_1049_reactant_1,-436.622765,0.114312,-436.498749,0.040515,0.040043,-436.539265,-436.538792,
o  ts_1049_reactant_2,-777.143417,0.233844,-776.894561,0.052352,0.051336,-776.946913,-776.945897,
o  ts_1050_reactant_1,-579.605918,0.199819,-579.394243,0.045999,0.044936,-579.440242,-579.439178,
o  ts_1050_reactant_2,-604.987567,0.122156,-604.852320,0.050131,0.048291,-604.902451,-604.900611,
o  ts_1051_reactant_1,-579.605675,0.199608,-579.394979,0.044156,0.043359,-579.439135,-579.438337,
o  ts_1051_reactant_2,-604.988055,0.122120,-604.852838,0.049574,0.048019,-604.902412,-604.900857,
o  ts_1052_reactant_1,-587.658743,0.181315,-587.462471,0.056644,0.052910,-587.519115,-587.515381,
o  ts_1052_reactant_2,-644.970396,0.114958,-644.844629,0.046438,0.043994,-644.891067,-644.888623,
o  ts_1054_reactant_1,-599.433248,0.187147,-599.234758,0.044437,0.043869,-599.279196,-599.278628,
o  ts_1054_reactant_2,-517.282002,0.187826,-517.082152,0.046238,0.045138,-517.128390,-517.127290,
o  ts_1056_reactant_1,-692.604135,0.146706,-692.444465,0.049043,0.047741,-692.493508,-692.492206,
o  ts_1056_reactant_2,-573.195674,0.162152,-573.020497,0.049505,0.047682,-573.070002,-573.068179,
o  ts_1058_reactant_1,-663.547909,0.179133,-663.354268,0.053863,0.051397,-663.408131,-663.405665,
o  ts_1058_reactant_2,-404.036127,0.178288,-403.848170,0.040258,0.039946,-403.888428,-403.888116,
