   GoodVibes v3.0.1 2023/08/01 10:43:05
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 --csv --output am1_solvent_3_2_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_0_reactant_1_gs,0.014205,0.079827,0.099211,0.027577,0.027468,0.071634,0.071743,
o  ts_0_reactant_2_gs,0.147347,0.072105,0.227026,0.035130,0.034746,0.191896,0.192279,
o  ts_1004_reactant_1_gs,-0.018549,0.205882,0.200962,0.050489,0.048915,0.150473,0.152047,
o  ts_1004_reactant_2_gs,-0.013849,0.173593,0.170405,0.043800,0.042659,0.126605,0.127746,
o  ts_1005_reactant_1_gs,-0.013849,0.173594,0.170405,0.043793,0.042656,0.126611,0.127749,
o  ts_1005_reactant_2_gs,-0.018571,0.205779,0.200812,0.050378,0.048927,0.150434,0.151885,
o  ts_1006_reactant_1_gs,-0.013849,0.173587,0.170405,0.043843,0.042681,0.126562,0.127724,
o  ts_1006_reactant_2_gs,-0.018776,0.205811,0.200648,0.051455,0.049084,0.149193,0.151564,
o  ts_1007_reactant_1_gs,-0.018549,0.205882,0.200962,0.050489,0.048915,0.150473,0.152047,
o  ts_1007_reactant_2_gs,-0.013849,0.173593,0.170405,0.043798,0.042658,0.126607,0.127747,
o  ts_1009_reactant_1_gs,0.047999,0.196560,0.259061,0.052665,0.051175,0.206395,0.207886,
o  ts_1009_reactant_2_gs,-0.060370,0.122284,0.071227,0.040143,0.038984,0.031083,0.032243,
o  ts_100_reactant_1_gs,0.014980,0.101200,0.124979,0.039387,0.037970,0.085592,0.087010,
o  ts_100_reactant_2_gs,0.102912,0.135028,0.246782,0.039082,0.038660,0.207699,0.208122,
o  ts_1011_reactant_1_gs,-0.132955,0.155575,0.036088,0.050785,0.048628,-0.014697,-0.012540,
o  ts_1011_reactant_2_gs,-0.220195,0.190138,-0.018745,0.045867,0.044367,-0.064612,-0.063112,
o  ts_1012_reactant_1_gs,-0.175950,0.143056,-0.020832,0.047141,0.045717,-0.067973,-0.066549,
o  ts_1012_reactant_2_gs,0.054369,0.208511,0.276249,0.051577,0.048842,0.224671,0.227406,
o  ts_1013_reactant_1_gs,-0.175950,0.143057,-0.020832,0.047137,0.045714,-0.067969,-0.066547,
o  ts_1013_reactant_2_gs,0.058350,0.208620,0.280274,0.050986,0.048498,0.229289,0.231777,
o  ts_1014_reactant_1_gs,0.080029,0.183694,0.277463,0.052535,0.049697,0.224928,0.227766,
o  ts_1014_reactant_2_gs,-0.052532,0.173647,0.132126,0.044634,0.043398,0.087492,0.088729,
o  ts_1015_reactant_1_gs,0.080029,0.183694,0.277463,0.052536,0.049697,0.224928,0.227766,
o  ts_1015_reactant_2_gs,-0.052532,0.173646,0.132126,0.044637,0.043399,0.087489,0.088727,
o  ts_1018_reactant_1_gs,-0.217789,0.190848,-0.011858,0.054527,0.052096,-0.066385,-0.063954,
o  ts_1018_reactant_2_gs,-0.044641,0.139824,0.102983,0.036736,0.036702,0.066247,0.066281,
o  ts_1019_reactant_1_gs,-0.224675,0.191029,-0.018531,0.054913,0.052465,-0.073444,-0.070996,
o  ts_1019_reactant_2_gs,-0.044641,0.139824,0.102983,0.036736,0.036702,0.066247,0.066281,
o  ts_101_reactant_1_gs,0.014980,0.101200,0.124979,0.039387,0.037970,0.085592,0.087010,
o  ts_101_reactant_2_gs,0.102912,0.135028,0.246782,0.039082,0.038660,0.207699,0.208122,
o  ts_1020_reactant_1_gs,-0.060593,0.200901,0.154431,0.053124,0.050490,0.101307,0.103941,
o  ts_1020_reactant_2_gs,0.006952,0.118866,0.136436,0.043796,0.042531,0.092640,0.093905,
o  ts_1022_reactant_1_gs,-0.060593,0.200901,0.154431,0.053124,0.050490,0.101307,0.103941,
o  ts_1022_reactant_2_gs,0.006952,0.118866,0.136436,0.043792,0.042529,0.092644,0.093907,
o  ts_1023_reactant_1_gs,-0.060593,0.200902,0.154431,0.053122,0.050489,0.101309,0.103942,
o  ts_1023_reactant_2_gs,0.006952,0.118866,0.136436,0.043796,0.042531,0.092640,0.093905,
o  ts_1025_reactant_1_gs,0.169329,0.253219,0.437356,0.054468,0.051814,0.382888,0.385542,
o  ts_1025_reactant_2_gs,0.064147,0.105593,0.177814,0.037182,0.036932,0.140631,0.140881,
o  ts_1026_reactant_1_gs,-0.156315,0.200093,0.062230,0.063916,0.059845,-0.001686,0.002384,
o  ts_1026_reactant_2_gs,-0.204464,0.069128,-0.126317,0.040229,0.039294,-0.166546,-0.165611,
o  ts_1027_reactant_1_gs,-0.156592,0.200025,0.061930,0.064348,0.060052,-0.002417,0.001878,
o  ts_1027_reactant_2_gs,-0.204464,0.069128,-0.126316,0.040227,0.039293,-0.166543,-0.165609,
o  ts_1028_reactant_1_gs,0.027238,0.082639,0.117552,0.035558,0.034949,0.081994,0.082603,
o  ts_1028_reactant_2_gs,0.145278,0.274317,0.434304,0.054218,0.051773,0.380086,0.382531,
o  ts_1029_reactant_1_gs,0.027238,0.082640,0.117552,0.035553,0.034946,0.082000,0.082606,
o  ts_1029_reactant_2_gs,0.145278,0.274317,0.434304,0.054218,0.051773,0.380086,0.382531,
o  ts_102_reactant_1_gs,0.014980,0.101200,0.124979,0.039388,0.037970,0.085592,0.087009,
o  ts_102_reactant_2_gs,0.102912,0.135028,0.246782,0.039082,0.038660,0.207699,0.208122,
o  ts_1030_reactant_1_gs,-0.038798,0.202313,0.175609,0.047686,0.046145,0.127923,0.129464,
o  ts_1030_reactant_2_gs,-0.167567,0.152662,-0.003234,0.046291,0.044669,-0.049526,-0.047904,
o  ts_1031_reactant_1_gs,-0.038798,0.202313,0.175609,0.047686,0.046145,0.127923,0.129464,
o  ts_1031_reactant_2_gs,-0.167567,0.152662,-0.003234,0.046278,0.044663,-0.049512,-0.047897,
o  ts_1036_reactant_1_gs,-0.038798,0.202313,0.175609,0.047685,0.046144,0.127925,0.129465,
o  ts_1036_reactant_2_gs,0.209900,0.125328,0.346946,0.046055,0.044787,0.300891,0.302159,
o  ts_1037_reactant_1_gs,-0.038798,0.202314,0.175609,0.047678,0.046141,0.127931,0.129468,
o  ts_1037_reactant_2_gs,0.209900,0.125328,0.346945,0.046048,0.044784,0.300897,0.302162,
o  ts_1040_reactant_1_gs,0.083842,0.111581,0.207507,0.048024,0.046036,0.159483,0.161471,
o  ts_1040_reactant_2_gs,-0.078596,0.142290,0.074852,0.046135,0.044700,0.028717,0.030153,
o  ts_1041_reactant_1_gs,0.080392,0.111181,0.204007,0.049107,0.046950,0.154900,0.157057,
o  ts_1041_reactant_2_gs,-0.078596,0.142290,0.074852,0.046135,0.044699,0.028718,0.030153,
o  ts_1042_reactant_1_gs,0.083842,0.111581,0.207506,0.048022,0.046035,0.159484,0.161471,
o  ts_1042_reactant_2_gs,-0.078596,0.142290,0.074853,0.046142,0.044703,0.028711,0.030149,
o  ts_1043_reactant_1_gs,0.077217,0.110923,0.200731,0.049548,0.047231,0.151184,0.153501,
o  ts_1043_reactant_2_gs,-0.078596,0.142288,0.074854,0.046187,0.044727,0.028668,0.030128,
o  ts_1044_reactant_1_gs,-0.063725,0.196109,0.145390,0.049157,0.047685,0.096232,0.097705,
o  ts_1044_reactant_2_gs,-0.048841,0.132233,0.096456,0.051242,0.048468,0.045214,0.047989,
o  ts_1049_reactant_1_gs,-0.057531,0.116432,0.068895,0.042292,0.041067,0.026603,0.027828,
o  ts_1049_reactant_2_gs,-0.221187,0.239686,0.033986,0.054865,0.052822,-0.020878,-0.018836,
o  ts_1050_reactant_1_gs,-0.101930,0.203966,0.113851,0.046987,0.045265,0.066864,0.068586,
o  ts_1050_reactant_2_gs,-0.007832,0.127511,0.133047,0.050444,0.048774,0.082604,0.084274,
o  ts_1051_reactant_1_gs,-0.101930,0.203966,0.113851,0.046991,0.045266,0.066861,0.068585,
o  ts_1051_reactant_2_gs,-0.007420,0.127104,0.133262,0.052824,0.049943,0.080438,0.083319,
o  ts_1054_reactant_1_gs,-0.171336,0.192497,0.032426,0.045188,0.044156,-0.012762,-0.011730,
o  ts_1054_reactant_2_gs,0.019201,0.192147,0.223206,0.046232,0.045025,0.176975,0.178181,
