   GoodVibes v3.0.1 2023/08/01 09:42:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 --csv --output am1_solv_3_2_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
   ********************************************************************************************************************************
o  ts_0,0.179670,0.155091,0.345857,0.043415,0.042779,0.302442,0.303078,
o  ts_1004,0.011422,0.382180,0.416578,0.070020,0.067477,0.346558,0.349102,
o  ts_1005,0.010201,0.382281,0.415484,0.070953,0.067728,0.344531,0.347755,
o  ts_1006,-0.002122,0.381456,0.402897,0.074433,0.069744,0.328464,0.333153,
o  ts_1007,0.019801,0.382471,0.425077,0.069425,0.066996,0.355651,0.358080,
o  ts_1009,0.017702,0.321787,0.361710,0.068610,0.066152,0.293100,0.295558,
o  ts_100,0.175719,0.238034,0.430099,0.055584,0.054177,0.374515,0.375922,
o  ts_1011,-0.287770,0.346603,0.082351,0.072282,0.068881,0.010068,0.013470,
o  ts_1012,-0.063925,0.352331,0.312324,0.072648,0.069726,0.239676,0.242597,
o  ts_1013,-0.053258,0.352983,0.323923,0.074629,0.070633,0.249294,0.253290,
o  ts_1014,0.053068,0.359518,0.436188,0.073506,0.069566,0.362682,0.366622,
o  ts_1015,0.045501,0.359378,0.428860,0.076618,0.071048,0.352242,0.357812,
o  ts_1018,-0.207101,0.331225,0.146681,0.070485,0.067514,0.076196,0.079168,
o  ts_1019,-0.212880,0.332536,0.141539,0.069013,0.065860,0.072526,0.075679,
o  ts_101,0.163378,0.237848,0.417902,0.057594,0.055484,0.360308,0.362417,
o  ts_1020,0.002595,0.321864,0.347791,0.071687,0.068544,0.276104,0.279247,
o  ts_1022,0.002591,0.321319,0.347383,0.072765,0.068984,0.274618,0.278398,
o  ts_1023,-0.019699,0.321150,0.325762,0.077224,0.071783,0.248538,0.253979,
o  ts_1025,0.281293,0.358939,0.662716,0.072297,0.067621,0.590419,0.595095,
o  ts_1026,-0.317883,0.269613,-0.020906,0.085931,0.078442,-0.106836,-0.099347,
o  ts_1027,-0.320267,0.269823,-0.023191,0.086115,0.078399,-0.109306,-0.101590,
o  ts_1028,0.210788,0.358952,0.591124,0.068326,0.064828,0.522798,0.526297,
o  ts_1029,0.195974,0.358801,0.576485,0.070840,0.066165,0.505645,0.510320,
o  ts_102,0.163438,0.237840,0.417952,0.057569,0.055470,0.360383,0.362482,
o  ts_1030,-0.144723,0.357791,0.235389,0.068791,0.066416,0.166598,0.168972,
o  ts_1031,-0.148405,0.356770,0.230868,0.069702,0.066980,0.161166,0.163888,
o  ts_1036,0.232140,0.329673,0.584352,0.069204,0.066781,0.515149,0.517571,
o  ts_1037,0.233428,0.329111,0.585238,0.069473,0.067119,0.515765,0.518119,
o  ts_1040,0.022290,0.255221,0.300429,0.074291,0.069240,0.226138,0.231188,
o  ts_1041,0.027377,0.254912,0.305044,0.071539,0.068282,0.233504,0.236762,
o  ts_1042,0.024819,0.255732,0.303198,0.072320,0.068268,0.230878,0.234929,
o  ts_1043,0.021764,0.255114,0.299716,0.072144,0.068546,0.227573,0.231170,
o  ts_1044,-0.069493,0.331020,0.286146,0.074957,0.071368,0.211189,0.214778,
o  ts_1049,-0.246579,0.357774,0.136066,0.076445,0.072161,0.059620,0.063905,
o  ts_1050,-0.069538,0.332660,0.287512,0.074507,0.070900,0.213005,0.216612,
o  ts_1051,-0.063448,0.333341,0.293884,0.072352,0.069819,0.221532,0.224065,
o  ts_1054,-0.111690,0.386686,0.297047,0.068846,0.065918,0.228200,0.231129,
o  ts_1058,0.259856,0.369574,0.652884,0.073117,0.069073,0.579767,0.583811,
o  ts_1059,0.116561,0.322492,0.461723,0.073366,0.068426,0.388357,0.393297,
o  ts_105,0.018427,0.198237,0.234452,0.059847,0.057651,0.174605,0.176801,
o  ts_1060,0.136764,0.322714,0.481744,0.070395,0.066809,0.411348,0.414934,
o  ts_1062,-0.193292,0.270197,0.100421,0.072590,0.069310,0.027832,0.031111,
o  ts_1063,-0.202023,0.269800,0.091513,0.073469,0.069887,0.018044,0.021626,
o  ts_1064,-0.215806,0.270177,0.078342,0.076426,0.071320,0.001916,0.007021,
o  ts_1065,0.024420,0.366075,0.415634,0.076916,0.072369,0.338718,0.343265,
o  ts_1067,0.007633,0.367211,0.399988,0.077207,0.072766,0.322781,0.327222,
o  ts_1068,0.023947,0.368250,0.416230,0.071906,0.069334,0.344324,0.346896,
o  ts_1069,-0.136502,0.334187,0.221500,0.073712,0.069966,0.147788,0.151534,
o  ts_106,0.009317,0.197298,0.225028,0.063708,0.059793,0.161319,0.165235,
o  ts_1070,-0.146824,0.333281,0.210765,0.075493,0.071382,0.135272,0.139383,
o  ts_1071,-0.152417,0.331868,0.204318,0.077013,0.072636,0.127305,0.131683,
o  ts_1072,-0.144786,0.333368,0.212510,0.073010,0.069987,0.139501,0.142523,
o  ts_1073,0.073234,0.303973,0.402896,0.080186,0.074545,0.322709,0.328350,
o  ts_107,0.020327,0.148546,0.186979,0.062544,0.059071,0.124435,0.127908,
o  ts_1080,0.124239,0.406881,0.554879,0.069813,0.068297,0.485066,0.486582,
o  ts_1081,0.126465,0.406447,0.557105,0.071890,0.069408,0.485215,0.487697,
o  ts_1082,-0.010544,0.415285,0.428393,0.071682,0.068708,0.356711,0.359685,
