0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
2.04,1.61,1.45,1.39,1.39,1.38,1.36,1.32,1.38,Ridge,ridge_e_barrier_dft,e_barrier_dft,1.75 ± 0.14,1.59 ± 0.13,1.43 ± 0.12,1.36 ± 0.12,1.35 ± 0.11,1.31 ± 0.11,1.27 ± 0.10,1.24 ± 0.10,1.24 ± 0.10,1.78 ± 0.15,1.54 ± 0.13,1.41 ± 0.12,1.36 ± 0.12,1.32 ± 0.11,1.28 ± 0.10,1.26 ± 0.10,1.23 ± 0.10,1.22 ± 0.10
1.86,1.50,1.37,1.32,1.32,1.31,1.30,1.26,1.31,Ridge,ridge_q_barrier_dft,q_barrier_dft,1.63 ± 0.14,1.50 ± 0.13,1.36 ± 0.12,1.30 ± 0.11,1.29 ± 0.11,1.25 ± 0.10,1.21 ± 0.10,1.19 ± 0.10,1.18 ± 0.10,1.68 ± 0.14,1.46 ± 0.13,1.33 ± 0.12,1.28 ± 0.11,1.25 ± 0.11,1.22 ± 0.10,1.20 ± 0.10,1.17 ± 0.10,1.16 ± 0.10
1.55,1.27,1.16,1.11,1.13,1.12,1.12,1.10,1.10,Ridge,ridge_interaction_energies_dft,interaction_energies_dft,1.40 ± 0.13,1.19 ± 0.10,1.12 ± 0.10,1.07 ± 0.10,1.05 ± 0.10,1.02 ± 0.10,1.01 ± 0.10,0.99 ± 0.10,0.99 ± 0.10,1.42 ± 0.14,1.28 ± 0.12,1.19 ± 0.12,1.16 ± 0.11,1.11 ± 0.11,1.08 ± 0.10,1.05 ± 0.10,1.03 ± 0.10,1.02 ± 0.10
1.13,0.99,0.85,0.80,0.78,0.77,0.75,0.75,0.77,Ridge,ridge_distortion_energy_di_dft,distortion_energy_di_dft,1.08 ± 0.12,0.88 ± 0.10,0.81 ± 0.09,0.79 ± 0.09,0.77 ± 0.09,0.76 ± 0.09,0.76 ± 0.08,0.75 ± 0.08,0.75 ± 0.08,1.03 ± 0.12,0.80 ± 0.09,0.73 ± 0.08,0.71 ± 0.08,0.68 ± 0.08,0.65 ± 0.08,0.65 ± 0.08,0.64 ± 0.08,0.63 ± 0.08
1.24,0.93,0.85,0.87,0.86,0.83,0.82,0.81,0.81,Ridge,ridge_distortion_energy_dp_dft,distortion_energy_dp_dft,1.14 ± 0.11,1.01 ± 0.10,0.98 ± 0.10,0.96 ± 0.10,0.96 ± 0.10,0.92 ± 0.10,0.91 ± 0.09,0.90 ± 0.09,0.90 ± 0.09,1.09 ± 0.11,0.94 ± 0.09,0.88 ± 0.09,0.86 ± 0.09,0.84 ± 0.09,0.81 ± 0.08,0.80 ± 0.08,0.78 ± 0.08,0.78 ± 0.08
3.00,2.18,1.76,1.44,1.29,1.16,1.07,0.99,0.96,KRR,krr_e_barrier_dft,e_barrier_dft,2.87 ± 0.35,2.06 ± 0.22,1.67 ± 0.18,1.47 ± 0.16,1.28 ± 0.14,1.14 ± 0.12,1.04 ± 0.12,0.90 ± 0.11,0.82 ± 0.10,2.74 ± 0.35,1.94 ± 0.22,1.51 ± 0.17,1.22 ± 0.13,1.10 ± 0.12,0.96 ± 0.10,0.89 ± 0.09,0.80 ± 0.08,0.74 ± 0.08
4.08,2.70,2.09,1.65,1.49,1.32,1.18,1.08,1.06,KRR,krr_q_barrier_dft,q_barrier_dft,3.71 ± 0.49,2.44 ± 0.28,1.92 ± 0.23,1.63 ± 0.19,1.40 ± 0.17,1.22 ± 0.15,1.12 ± 0.14,0.95 ± 0.12,0.86 ± 0.11,3.60 ± 0.48,2.40 ± 0.31,1.79 ± 0.23,1.36 ± 0.17,1.18 ± 0.14,1.02 ± 0.12,0.93 ± 0.11,0.82 ± 0.10,0.76 ± 0.09
1.64,1.18,1.02,0.90,0.86,0.79,0.72,0.67,0.63,KRR,krr_interaction_energies_dft,interaction_energies_dft,1.56 ± 0.16,1.17 ± 0.11,0.98 ± 0.09,0.88 ± 0.09,0.81 ± 0.08,0.68 ± 0.07,0.63 ± 0.06,0.60 ± 0.07,0.57 ± 0.07,1.56 ± 0.15,1.20 ± 0.13,0.97 ± 0.10,0.83 ± 0.09,0.73 ± 0.07,0.65 ± 0.07,0.61 ± 0.06,0.57 ± 0.06,0.52 ± 0.06
2.19,1.59,1.30,1.11,1.02,0.93,0.84,0.79,0.77,KRR,krr_distortion_energy_di_dft,distortion_energy_di_dft,2.23 ± 0.27,1.52 ± 0.17,1.27 ± 0.15,1.11 ± 0.13,1.00 ± 0.12,0.91 ± 0.11,0.86 ± 0.11,0.79 ± 0.10,0.76 ± 0.10,2.04 ± 0.26,1.42 ± 0.19,1.16 ± 0.16,0.94 ± 0.12,0.82 ± 0.11,0.72 ± 0.10,0.69 ± 0.10,0.65 ± 0.10,0.63 ± 0.10
1.86,1.27,1.03,0.84,0.78,0.71,0.65,0.60,0.60,KRR,krr_distortion_energy_dp_dft,distortion_energy_dp_dft,1.77 ± 0.23,1.17 ± 0.15,0.99 ± 0.13,0.94 ± 0.13,0.80 ± 0.11,0.69 ± 0.09,0.66 ± 0.09,0.59 ± 0.08,0.54 ± 0.08,1.64 ± 0.22,1.09 ± 0.15,0.82 ± 0.11,0.73 ± 0.09,0.62 ± 0.08,0.54 ± 0.06,0.49 ± 0.06,0.45 ± 0.06,0.41 ± 0.06
