model,target,val,test,train
Ridge,e_barrier_dft,1.30 ± 0.11,1.32 ± 0.13,1.45
Ridge,q_barrier_dft,1.35 ± 0.15,1.30 ± 0.13,1.45
Ridge,interaction_energies_dft,1.79 ± 0.19,1.67 ± 0.17,1.74
Ridge,distortion_energy_1_dft,1.86 ± 0.18,1.85 ± 0.16,1.92
Ridge,distortion_energy_0_dft,0.61 ± 0.06,0.65 ± 0.06,0.61
KRR,e_barrier_dft,0.98 ± 0.09,1.04 ± 0.14,1.15
KRR,q_barrier_dft,1.30 ± 0.17,1.33 ± 0.16,1.48
KRR,interaction_energies_dft,1.62 ± 0.18,1.58 ± 0.19,1.67
KRR,distortion_energy_1_dft,1.83 ± 0.18,1.89 ± 0.21,2.04
KRR,distortion_energy_0_dft,0.62 ± 0.06,0.69 ± 0.07,0.68
SVR,e_barrier_dft,0.83 ± 0.08,0.90 ± 0.13,1.03
SVR,q_barrier_dft,0.95 ± 0.13,0.97 ± 0.13,1.09
SVR,interaction_energies_dft,1.28 ± 0.18,1.23 ± 0.17,1.34
SVR,distortion_energy_1_dft,1.28 ± 0.17,1.27 ± 0.17,1.45
SVR,distortion_energy_0_dft,0.50 ± 0.06,0.54 ± 0.06,0.54
2 Layer NN,e_barrier_dft,0.91 ± 0.08,0.96 ± 0.11,0.69 ± 0.04
4 Layer NN,e_barrier_dft,0.95 ± 0.08,1.01 ± 0.12,0.82 ± 0.04
2 Layer NN,q_barrier_dft,1.00 ± 0.13,1.02 ± 0.12,0.74 ± 0.04
4 Layer NN,q_barrier_dft,1.05 ± 0.13,1.05 ± 0.12,0.88 ± 0.05
2 Layer NN,interaction_energies_dft,1.27 ± 0.19,1.21 ± 0.17,0.76 ± 0.06
4 Layer NN,interaction_energies_dft,1.40 ± 0.19,1.30 ± 0.18,1.12 ± 0.07
2 Layer NN,distortion_energy_1_dft,1.44 ± 0.18,1.42 ± 0.16,0.98 ± 0.06
4 Layer NN,distortion_energy_1_dft,1.81 ± 0.18,1.75 ± 0.17,1.76 ± 0.07
2 Layer NN,distortion_energy_0_dft,0.51 ± 0.06,0.55 ± 0.06,0.32 ± 0.01
4 Layer NN,distortion_energy_0_dft,0.70 ± 0.06,0.70 ± 0.07,0.65 ± 0.02
