0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
2.02,1.73,1.61,1.55,1.52,1.51,1.49,1.45,1.46,Ridge,ridge_e_barrier_dft,e_barrier_dft,1.73 ± 0.15,1.52 ± 0.13,1.44 ± 0.12,1.39 ± 0.11,1.38 ± 0.11,1.35 ± 0.11,1.35 ± 0.11,1.33 ± 0.11,1.31 ± 0.11,1.82 ± 0.17,1.66 ± 0.15,1.56 ± 0.14,1.48 ± 0.14,1.44 ± 0.13,1.38 ± 0.13,1.36 ± 0.13,1.35 ± 0.13,1.33 ± 0.13
2.48,1.79,1.66,1.61,1.57,1.56,1.52,1.47,1.47,Ridge,ridge_q_barrier_dft,q_barrier_dft,2.05 ± 0.20,1.65 ± 0.17,1.51 ± 0.15,1.45 ± 0.15,1.44 ± 0.15,1.41 ± 0.15,1.41 ± 0.15,1.39 ± 0.15,1.37 ± 0.15,2.09 ± 0.20,1.74 ± 0.16,1.55 ± 0.14,1.46 ± 0.13,1.43 ± 0.13,1.39 ± 0.13,1.37 ± 0.13,1.35 ± 0.13,1.33 ± 0.13
2.68,2.08,1.97,1.85,1.86,1.80,1.82,1.78,1.76,Ridge,ridge_interaction_energies_dft,interaction_energies_dft,2.37 ± 0.22,2.10 ± 0.21,1.88 ± 0.19,1.90 ± 0.20,1.85 ± 0.20,1.81 ± 0.20,1.83 ± 0.20,1.82 ± 0.20,1.81 ± 0.20,2.45 ± 0.23,2.02 ± 0.19,1.86 ± 0.18,1.84 ± 0.18,1.78 ± 0.18,1.74 ± 0.17,1.72 ± 0.17,1.70 ± 0.17,1.69 ± 0.17
2.66,2.08,2.11,2.00,2.01,2.02,2.02,1.96,1.93,Ridge,ridge_distortion_energy_1_dft,distortion_energy_1_dft,2.37 ± 0.22,2.11 ± 0.19,1.99 ± 0.18,1.93 ± 0.19,1.90 ± 0.19,1.89 ± 0.18,1.90 ± 0.19,1.89 ± 0.18,1.87 ± 0.18,2.57 ± 0.22,2.18 ± 0.18,2.05 ± 0.18,1.94 ± 0.17,1.91 ± 0.17,1.88 ± 0.16,1.88 ± 0.16,1.88 ± 0.16,1.88 ± 0.16
0.82,0.72,0.69,0.64,0.63,0.64,0.63,0.62,0.62,Ridge,ridge_distortion_energy_0_dft,distortion_energy_0_dft,0.83 ± 0.08,0.72 ± 0.07,0.68 ± 0.06,0.65 ± 0.06,0.63 ± 0.06,0.62 ± 0.06,0.61 ± 0.06,0.62 ± 0.06,0.61 ± 0.06,0.90 ± 0.07,0.78 ± 0.07,0.73 ± 0.06,0.71 ± 0.06,0.68 ± 0.06,0.67 ± 0.06,0.66 ± 0.06,0.66 ± 0.06,0.66 ± 0.06
2.62,1.98,1.71,1.53,1.44,1.37,1.28,1.22,1.18,KRR,krr_e_barrier_dft,e_barrier_dft,2.20 ± 0.20,1.73 ± 0.17,1.48 ± 0.14,1.32 ± 0.12,1.20 ± 0.11,1.13 ± 0.11,1.09 ± 0.10,1.06 ± 0.10,1.00 ± 0.10,2.38 ± 0.24,1.88 ± 0.22,1.64 ± 0.19,1.46 ± 0.17,1.34 ± 0.15,1.26 ± 0.15,1.20 ± 0.14,1.14 ± 0.14,1.09 ± 0.14
4.11,2.96,2.48,2.24,2.02,1.86,1.71,1.62,1.55,KRR,krr_q_barrier_dft,q_barrier_dft,3.67 ± 0.34,2.64 ± 0.28,2.23 ± 0.23,1.91 ± 0.21,1.74 ± 0.19,1.57 ± 0.19,1.50 ± 0.18,1.42 ± 0.18,1.35 ± 0.17,3.81 ± 0.36,2.86 ± 0.30,2.40 ± 0.25,2.04 ± 0.21,1.83 ± 0.20,1.69 ± 0.18,1.59 ± 0.17,1.48 ± 0.17,1.41 ± 0.16
2.64,2.42,2.24,2.10,2.03,1.95,1.86,1.79,1.72,KRR,krr_interaction_energies_dft,interaction_energies_dft,2.98 ± 0.26,2.46 ± 0.24,2.18 ± 0.21,2.01 ± 0.20,1.91 ± 0.19,1.80 ± 0.19,1.74 ± 0.18,1.69 ± 0.18,1.66 ± 0.18,2.98 ± 0.28,2.47 ± 0.25,2.19 ± 0.23,1.99 ± 0.22,1.87 ± 0.21,1.78 ± 0.20,1.73 ± 0.20,1.67 ± 0.20,1.61 ± 0.19
3.69,3.07,2.79,2.57,2.46,2.38,2.27,2.18,2.10,KRR,krr_distortion_energy_1_dft,distortion_energy_1_dft,3.49 ± 0.31,2.77 ± 0.26,2.49 ± 0.22,2.30 ± 0.21,2.16 ± 0.20,2.03 ± 0.19,1.96 ± 0.19,1.92 ± 0.19,1.87 ± 0.19,3.57 ± 0.36,2.95 ± 0.31,2.66 ± 0.27,2.43 ± 0.25,2.26 ± 0.24,2.14 ± 0.22,2.07 ± 0.22,2.01 ± 0.22,1.95 ± 0.21
1.30,1.08,1.00,0.91,0.85,0.80,0.75,0.72,0.70,KRR,krr_distortion_energy_0_dft,distortion_energy_0_dft,1.32 ± 0.12,1.03 ± 0.10,0.89 ± 0.08,0.80 ± 0.07,0.75 ± 0.07,0.71 ± 0.07,0.68 ± 0.06,0.66 ± 0.06,0.64 ± 0.06,1.40 ± 0.14,1.15 ± 0.12,1.00 ± 0.10,0.91 ± 0.09,0.85 ± 0.08,0.81 ± 0.08,0.77 ± 0.08,0.73 ± 0.07,0.71 ± 0.07
