0.1_train,0.2_train,0.3_train,0.4_train,0.5_train,0.6_train,0.7_train,0.8_train,0.9_train,model,model_target,target,0.1_val,0.2_val,0.3_val,0.4_val,0.5_val,0.6_val,0.7_val,0.8_val,0.9_val,0.1_test,0.2_test,0.3_test,0.4_test,0.5_test,0.6_test,0.7_test,0.8_test,0.9_test
4.08,4.01,3.85,3.78,3.81,3.76,3.74,3.74,3.73,Ridge,ridge_q_barrier_dft,q_barrier_dft,4.19 ± 0.20,3.96 ± 0.18,3.88 ± 0.18,3.85 ± 0.17,3.85 ± 0.17,3.81 ± 0.17,3.82 ± 0.17,3.81 ± 0.17,3.81 ± 0.17,4.23 ± 0.23,3.88 ± 0.21,3.80 ± 0.20,3.77 ± 0.20,3.75 ± 0.21,3.70 ± 0.19,3.69 ± 0.20,3.69 ± 0.21,3.69 ± 0.20
4.20,4.16,3.97,3.90,3.94,3.89,3.86,3.86,3.86,Ridge,ridge_e_barrier_dft,e_barrier_dft,4.33 ± 0.20,4.10 ± 0.19,3.99 ± 0.18,3.98 ± 0.18,3.97 ± 0.18,3.93 ± 0.18,3.93 ± 0.18,3.93 ± 0.18,3.93 ± 0.18,4.37 ± 0.22,4.02 ± 0.20,3.94 ± 0.19,3.90 ± 0.20,3.88 ± 0.21,3.83 ± 0.19,3.82 ± 0.20,3.81 ± 0.21,3.80 ± 0.20
3.61,3.27,3.21,3.17,3.15,3.13,3.16,3.15,3.13,Ridge,ridge_interaction_energies_dft,interaction_energies_dft,3.37 ± 0.16,3.15 ± 0.15,3.15 ± 0.15,3.10 ± 0.15,3.10 ± 0.15,3.09 ± 0.15,3.09 ± 0.15,3.08 ± 0.15,3.07 ± 0.14,3.30 ± 0.18,3.17 ± 0.19,3.20 ± 0.20,3.17 ± 0.21,3.17 ± 0.21,3.15 ± 0.21,3.18 ± 0.21,3.18 ± 0.22,3.19 ± 0.22
3.73,3.41,3.29,3.23,3.24,3.20,3.19,3.21,3.22,Ridge,ridge_distortion_energy_1_dft,distortion_energy_1_dft,3.62 ± 0.17,3.45 ± 0.16,3.41 ± 0.16,3.38 ± 0.16,3.37 ± 0.16,3.36 ± 0.16,3.35 ± 0.16,3.34 ± 0.16,3.34 ± 0.16,3.61 ± 0.21,3.45 ± 0.20,3.39 ± 0.20,3.38 ± 0.20,3.35 ± 0.21,3.31 ± 0.21,3.31 ± 0.21,3.30 ± 0.21,3.29 ± 0.20
3.42,3.28,3.23,3.23,3.24,3.19,3.20,3.17,3.18,Ridge,ridge_distortion_energy_2_dft,distortion_energy_2_dft,3.38 ± 0.17,3.23 ± 0.16,3.15 ± 0.16,3.13 ± 0.15,3.12 ± 0.15,3.11 ± 0.15,3.12 ± 0.16,3.11 ± 0.15,3.11 ± 0.15,3.35 ± 0.17,3.11 ± 0.17,3.09 ± 0.17,3.09 ± 0.18,3.09 ± 0.19,3.08 ± 0.18,3.08 ± 0.18,3.08 ± 0.19,3.08 ± 0.20
5.29,4.74,4.40,4.17,4.05,3.93,3.83,3.78,3.71,KRR,krr_q_barrier_dft,q_barrier_dft,5.36 ± 0.29,4.72 ± 0.26,4.43 ± 0.24,4.21 ± 0.23,4.07 ± 0.22,3.96 ± 0.21,3.88 ± 0.21,3.80 ± 0.21,3.73 ± 0.20,5.07 ± 0.27,4.45 ± 0.23,4.18 ± 0.21,4.00 ± 0.20,3.86 ± 0.19,3.77 ± 0.19,3.69 ± 0.18,3.61 ± 0.18,3.56 ± 0.17
4.61,4.30,4.04,3.87,3.79,3.74,3.67,3.62,3.57,KRR,krr_e_barrier_dft,e_barrier_dft,4.71 ± 0.22,4.29 ± 0.21,4.11 ± 0.20,3.96 ± 0.19,3.87 ± 0.19,3.78 ± 0.18,3.72 ± 0.18,3.66 ± 0.18,3.61 ± 0.18,4.46 ± 0.20,4.07 ± 0.18,3.86 ± 0.17,3.75 ± 0.17,3.65 ± 0.16,3.57 ± 0.16,3.52 ± 0.16,3.46 ± 0.16,3.43 ± 0.15
4.22,3.74,3.53,3.36,3.25,3.15,3.05,2.99,2.94,KRR,krr_interaction_energies_dft,interaction_energies_dft,4.24 ± 0.21,3.66 ± 0.18,3.39 ± 0.17,3.21 ± 0.16,3.07 ± 0.15,2.96 ± 0.14,2.88 ± 0.14,2.84 ± 0.14,2.80 ± 0.14,4.27 ± 0.23,3.71 ± 0.19,3.43 ± 0.18,3.25 ± 0.17,3.10 ± 0.16,3.01 ± 0.16,2.96 ± 0.15,2.90 ± 0.15,2.86 ± 0.15
4.13,3.69,3.46,3.29,3.20,3.08,3.02,3.00,2.97,KRR,krr_distortion_energy_1_dft,distortion_energy_1_dft,4.17 ± 0.22,3.68 ± 0.19,3.45 ± 0.18,3.30 ± 0.18,3.19 ± 0.17,3.12 ± 0.16,3.07 ± 0.16,3.02 ± 0.16,2.98 ± 0.15,4.11 ± 0.21,3.66 ± 0.19,3.44 ± 0.17,3.30 ± 0.17,3.18 ± 0.16,3.11 ± 0.16,3.06 ± 0.15,3.02 ± 0.15,2.98 ± 0.15
3.75,3.50,3.32,3.22,3.13,3.07,2.99,2.94,2.90,KRR,krr_distortion_energy_2_dft,distortion_energy_2_dft,3.79 ± 0.21,3.42 ± 0.19,3.24 ± 0.17,3.11 ± 0.17,3.02 ± 0.16,2.96 ± 0.16,2.90 ± 0.15,2.86 ± 0.15,2.82 ± 0.15,3.78 ± 0.19,3.35 ± 0.16,3.13 ± 0.15,2.99 ± 0.15,2.90 ± 0.14,2.85 ± 0.14,2.81 ± 0.14,2.77 ± 0.13,2.73 ± 0.13
